area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,ALASKA,995,99501,EASTCHESTER,800 INGRA ST,ANCHORAGE,AK,99501,9998,,Z10090,S
WESTPAC,4E,ALASKA,995,99502,SAND LAKE,2200 STRAWBERRY RD,ANCHORAGE,AK,99502,9992,,Z10274,S
WESTPAC,4E,ALASKA,995,99503,MIDTOWN,3721 B ST,ANCHORAGE,AK,99503,9998,,Z10202,S
WESTPAC,4E,ALASKA,995,99504,MULDOON,2420 MULDOON RD,ANCHORAGE,AK,99504,3673,,Z10208,S
WESTPAC,4E,ALASKA,995,99505,FORT RICHARDSON,724 QUARTERMASTER RD,JBER,AK,99505,9998,,Z10113,B
WESTPAC,4E,ALASKA,995,99506,FORT RICHARDSON,724 QUARTERMASTER RD,JBER,AK,99505,9998,,Z10113,B
WESTPAC,4E,ALASKA,995,99507,LAKE OTIS,5855 LAKE OTIS PKWY,ANCHORAGE,AK,99507,1713,,Z10183,S
WESTPAC,4E,ALASKA,995,99508,RUSSIAN JACK,801 NORTHWAY DR,ANCHORAGE,AK,99508,9998,,Z10264,S
WESTPAC,4E,ALASKA,995,99509,SPENARD,1601 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517,3315,P,Z10296,S
WESTPAC,4E,ALASKA,995,99510,EASTCHESTER,800 INGRA ST,ANCHORAGE,AK,99501,9998,P,Z10090,S
WESTPAC,4E,ALASKA,995,99511,HUFFMAN,1221 HUFFMAN PARK DR,ANCHORAGE,AK,99515,9998,P,Z10141,S
WESTPAC,4E,ALASKA,995,99514,RUSSIAN JACK,801 NORTHWAY DR,ANCHORAGE,AK,99508,9998,P,Z10264,S
WESTPAC,4E,ALASKA,995,99515,HUFFMAN,1221 HUFFMAN PARK DR,ANCHORAGE,AK,99515,9998,,Z10141,S
WESTPAC,4E,ALASKA,995,99516,HUFFMAN,1221 HUFFMAN PARK DR,ANCHORAGE,AK,99515,9998,,Z10141,S
WESTPAC,4E,ALASKA,995,99517,SPENARD,1601 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517,3315,,Z10296,S
WESTPAC,4E,ALASKA,995,99518,SAND LAKE,2200 STRAWBERRY RD,ANCHORAGE,AK,99502,9992,,Z10274,S
WESTPAC,4E,ALASKA,995,99519,ANCHORAGE MAIN OFFICE,4141 POSTMARK DR,ANCHORAGE,AK,99530,9998,P,Z10188,S
WESTPAC,4E,ALASKA,995,99520,EASTCHESTER,800 INGRA ST,ANCHORAGE,AK,99501,9998,P,Z10090,S
WESTPAC,4E,ALASKA,995,99521,MULDOON,2420 MULDOON RD,ANCHORAGE,AK,99504,3673,P,Z10208,S
WESTPAC,4E,ALASKA,995,99522,SAND LAKE,2200 STRAWBERRY RD,ANCHORAGE,AK,99502,9992,P,Z10274,S
WESTPAC,4E,ALASKA,995,99523,LAKE OTIS,5855 LAKE OTIS PKWY,ANCHORAGE,AK,99507,1713,P,Z10183,S
WESTPAC,4E,ALASKA,995,99524,MIDTOWN,3721 B ST,ANCHORAGE,AK,99503,9998,P,Z10202,S
WESTPAC,4E,ALASKA,995,99540,HUFFMAN,1221 HUFFMAN PARK DR,ANCHORAGE,AK,99515,9998,,Z10141,S
