area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,AL-MS,350,35004,MOODY,2455 MOODY PKWY,MOODY,AL,35004,1600,,Y10818,P
SOUTHERN,4G,AL-MS,350,35005,ADAMSVILLE,3609 GRAY AVE,ADAMSVILLE,AL,35005,2238,,Y10006,P
SOUTHERN,4G,AL-MS,350,35006,ADGER,7313 JOHNS RD,ADGER,AL,35006,1409,,Y10008,P
SOUTHERN,4G,AL-MS,350,35007,ALABASTER,50 KENT STONE WAY,ALABASTER,AL,35007,5429,,Y10020,P
SOUTHERN,4G,AL-MS,350,35010,ALEXANDER CITY,233 LEE ST,ALEXANDER CITY,AL,35010,2654,,Y10026,P
SOUTHERN,4G,AL-MS,350,35011,ALEXANDER CITY,233 LEE ST,ALEXANDER CITY,AL,35010,2654,P,Y10026,P
SOUTHERN,4G,AL-MS,350,35013,ALLGOOD,26038 HIGHWAY 75 N,ALLGOOD,AL,35013,2000,P,Y10031,P
SOUTHERN,4G,AL-MS,350,35014,ALPINE,3585 GRIST MILL RD,ALPINE,AL,35014,5706,,Y10034,P
SOUTHERN,4G,AL-MS,350,35015,ALTON,5555 JOHNSON ST,ALTON,AL,35015,9900,P,Y10035,P
SOUTHERN,4G,AL-MS,350,35016,ARAB,819 N MAIN ST,ARAB,AL,35016,1026,,Y10045,P
SOUTHERN,4G,AL-MS,350,35019,BAILEYTON,12125 AL HIGHWAY 69 N,BAILEYTON,AL,35019,9321,,Y10073,P
SOUTHERN,4G,AL-MS,350,35019,CULLMAN,500 MAIN AVE SW,CULLMAN,AL,35055,4736,,Y10292,P
SOUTHERN,4G,AL-MS,350,35020,BESSEMER,1112 4TH AVE N,BESSEMER,AL,35020,5573,,Y10106,P
SOUTHERN,4G,AL-MS,350,35021,BESSEMER,1112 4TH AVE N,BESSEMER,AL,35020,5573,P,Y10106,P
SOUTHERN,4G,AL-MS,350,35022,BESSEMER,1112 4TH AVE N,BESSEMER,AL,35020,5573,,Y10106,P
SOUTHERN,4G,AL-MS,350,35023,HUEYTOWN,615 BROOKLANE DR,HUEYTOWN,AL,35023,2508,,Y10627,B
SOUTHERN,4G,AL-MS,350,35031,BLOUNTSVILLE,69210 MAIN ST,BLOUNTSVILLE,AL,35031,6832,,Y10122,P
SOUTHERN,4G,AL-MS,350,35032,BON AIR,205 FRONT ST,BON AIR,AL,35032,9998,P,Y10137,P
SOUTHERN,4G,AL-MS,350,35033,BREMEN,2313 COUNTY ROAD 54,BREMEN,AL,35033,3826,,Y10146,P
SOUTHERN,4G,AL-MS,350,35034,BRENT,2150 MAIN ST,BRENT,AL,35034,3500,,Y10147,P
SOUTHERN,4G,AL-MS,350,35035,BRIERFIELD,18323 HIGHWAY 139,BRIERFIELD,AL,35035,3605,,Y10150,P
SOUTHERN,4G,AL-MS,350,35036,BROOKSIDE CPO,4399 MUNICIPAL DR,BROOKSIDE,AL,35036,2104,P,012534,C
SOUTHERN,4G,AL-MS,350,35038,DORA,975 SHARON BLVD,DORA,AL,35062,4542,P,Y10336,P
SOUTHERN,4G,AL-MS,350,35040,CALERA,8088 HIGHWAY 31,CALERA,AL,35040,3900,,Y10180,P
SOUTHERN,4G,AL-MS,350,35042,CENTREVILLE,155 BIRMINGHAM RD STE 100,CENTREVILLE,AL,35042,2990,,Y10212,P
SOUTHERN,4G,AL-MS,350,35043,CHELSEA,16738 HIGHWAY 280,CHELSEA,AL,35043,1400,,Y10218,P
SOUTHERN,4G,AL-MS,350,35044,CHILDERSBURG,125 9TH AVE SW,CHILDERSBURG,AL,35044,1641,,Y10222,P
SOUTHERN,4G,AL-MS,350,35045,CLANTON,608 6TH ST S,CLANTON,AL,35045,3533,,Y10232,P
SOUTHERN,4G,AL-MS,350,35046,CLANTON,608 6TH ST S,CLANTON,AL,35045,3533,,Y10232,P
SOUTHERN,4G,AL-MS,350,35048,CLAY,6721 OLD SPRINGVILLE RD,CLAY,AL,35048,2000,P,Y10233,P
SOUTHERN,4G,AL-MS,350,35049,CLEVELAND,18095 STATE HIGHWAY 160,CLEVELAND,AL,35049,3684,,Y10236,P
SOUTHERN,4G,AL-MS,350,35051,COLUMBIANA,210 W COLLEGE ST,COLUMBIANA,AL,35051,9734,,Y10258,P
SOUTHERN,4G,AL-MS,350,35053,CRANE HILL,15051 COUNTY ROAD 222,CRANE HILL,AL,35053,3209,,Y10280,P
SOUTHERN,4G,AL-MS,350,35054,CROPWELL,2600 STEMLEY BRIDGE RD,CROPWELL,AL,35054,3844,,Y10286,P
SOUTHERN,4G,AL-MS,350,35055,CULLMAN,500 MAIN AVE SW,CULLMAN,AL,35055,4736,,Y10292,P
SOUTHERN,4G,AL-MS,350,35056,CULLMAN,500 MAIN AVE SW,CULLMAN,AL,35055,4736,P,Y10292,P
SOUTHERN,4G,AL-MS,350,35057,CULLMAN,500 MAIN AVE SW,CULLMAN,AL,35055,4736,,Y10292,P
SOUTHERN,4G,AL-MS,350,35058,CULLMAN,500 MAIN AVE SW,CULLMAN,AL,35055,4736,,Y10292,P
SOUTHERN,4G,AL-MS,350,35060,DOCENA,305 CIRCLE DR,DOCENA,AL,35060,2000,P,Y10334,P
SOUTHERN,4G,AL-MS,350,35061,DOLOMITE,827 ALLISON BONNETT MEMORIAL DR,DOLOMITE,AL,35061,1170,,Y10335,P
SOUTHERN,4G,AL-MS,350,35062,DORA,975 SHARON BLVD,DORA,AL,35062,4542,,Y10336,P
SOUTHERN,4G,AL-MS,350,35063,EMPIRE,5323 EMPIRE RD,EMPIRE,AL,35063,4202,,Y10388,P
SOUTHERN,4G,AL-MS,350,35064,FAIRFIELD,420 45TH ST,FAIRFIELD,AL,35064,9998,,Y10414,P
SOUTHERN,4G,AL-MS,350,35068,FULTONDALE,1515 STOUTS RD,FULTONDALE,AL,35068,2028,,Y10476,P
SOUTHERN,4G,AL-MS,350,35070,GARDEN CITY,311 1ST AVE S,GARDEN CITY,AL,35070,2001,P,Y10489,P
SOUTHERN,4G,AL-MS,350,35071,GARDENDALE,1753 DECATUR HWY,GARDENDALE,AL,35071,3803,,Y10492,P
SOUTHERN,4G,AL-MS,350,35072,GOODWATER,64 COOSA COUNTY ROAD 66,GOODWATER,AL,35072,9998,,Y10518,P
SOUTHERN,4G,AL-MS,350,35073,DORA,975 SHARON BLVD,DORA,AL,35062,4542,,Y10336,P
SOUTHERN,4G,AL-MS,350,35073,GRAYSVILLE,201 2ND AVE SW,GRAYSVILLE,AL,35073,1143,,Y10533,P
SOUTHERN,4G,AL-MS,350,35074,GREEN POND,20607 EASTERN VALLEY RD,GREEN POND,AL,35074,2000,P,Y10535,P
SOUTHERN,4G,AL-MS,350,35077,HANCEVILLE,630 MAIN ST NE,HANCEVILLE,AL,35077,4036,,Y10566,P
SOUTHERN,4G,AL-MS,350,35078,HARPERSVILLE,41 WHEAT ST,HARPERSVILLE,AL,35078,6317,,Y10569,P
SOUTHERN,4G,AL-MS,350,35079,HAYDEN,4425 STATE HIGHWAY 160,HAYDEN,AL,35079,6566,,Y10580,P
SOUTHERN,4G,AL-MS,350,35080,HELENA,800 HIGHWAY 52,HELENA,AL,35080,7760,,Y10591,P
SOUTHERN,4G,AL-MS,350,35082,SYLACAUGA,1 S BROADWAY AVE,SYLACAUGA,AL,35150,3051,P,Y11161,P
SOUTHERN,4G,AL-MS,350,35083,HOLLY POND,77 BROOKLYN RD,HOLLY POND,AL,35083,6475,,Y10609,P
SOUTHERN,4G,AL-MS,350,35085,JEMISON,24760 US HIGHWAY 31,JEMISON,AL,35085,4428,,Y10662,P
SOUTHERN,4G,AL-MS,350,35087,JOPPA,15960 AL HIGHWAY 69 N,JOPPA,AL,35087,2170,,Y10664,P
SOUTHERN,4G,AL-MS,350,35089,ALEXANDER CITY,233 LEE ST,ALEXANDER CITY,AL,35010,2654,,Y10026,P
SOUTHERN,4G,AL-MS,350,35089,KELLYTON,338 FIREHOUSE RD,KELLYTON,AL,35089,9998,,Y10670,P
SOUTHERN,4G,AL-MS,350,35091,KIMBERLY,9261 STOUTS RD,KIMBERLY,AL,35091,2103,,Y10677,P
SOUTHERN,4G,AL-MS,350,35094,LEEDS,1500 8TH ST,LEEDS,AL,35094,4101,,Y10696,P
SOUTHERN,4G,AL-MS,350,35096,LINCOLN,47645 US HIGHWAY 78,LINCOLN,AL,35096,8501,,Y10712,P
SOUTHERN,4G,AL-MS,350,35097,LOCUST FORK,20 PARK RD,LOCUST FORK,AL,35097,5809,,Y10724,P
SOUTHERN,4G,AL-MS,350,35098,CRANE HILL,15051 COUNTY ROAD 222,CRANE HILL,AL,35053,3209,,Y10280,P
SOUTHERN,4G,AL-MS,350,35098,LOGAN,4475 COUNTY ROAD 831,LOGAN,AL,35098,1552,,Y10725,P
SOUTHERN,4G,AL-MS,350,35111,MC CALLA,6301 OLD TUSCALOOSA HWY,MC CALLA,AL,35111,3600,,Y10766,P
SOUTHERN,4G,AL-MS,350,35112,MARGARET,25 POST OFFICE DR,MARGARET,AL,35112,2000,P,Y10751,P
SOUTHERN,4G,AL-MS,350,35114,ALABASTER,50 KENT STONE WAY,ALABASTER,AL,35007,5429,,Y10020,P
SOUTHERN,4G,AL-MS,350,35114,MAYLENE,10011 HIGHWAY 17,ALABASTER,AL,35114,5900,,Y10764,P
SOUTHERN,4G,AL-MS,350,35115,MONTEVALLO,720 VINE ST,MONTEVALLO,AL,35115,3705,,Y10812,P
SOUTHERN,4G,AL-MS,350,35116,GARDENDALE,1753 DECATUR HWY,GARDENDALE,AL,35071,3803,,Y10492,P
SOUTHERN,4G,AL-MS,350,35116,MORRIS,8315 OLD HIGHWAY 31,MORRIS,AL,35116,1230,,Y10824,P
SOUTHERN,4G,AL-MS,350,35117,GARDENDALE,1753 DECATUR HWY,GARDENDALE,AL,35071,3803,,Y10492,P
SOUTHERN,4G,AL-MS,350,35118,MULGA,203 1ST AVE,MULGA,AL,35118,9735,,Y10849,P
SOUTHERN,4G,AL-MS,350,35119,NEW CASTLE,4768 MULBERRY DR,NEW CASTLE,AL,35119,2001,P,Y10864,P
SOUTHERN,4G,AL-MS,350,35120,ODENVILLE,17 BURGESS DR,ODENVILLE,AL,35120,4102,,Y10889,P
SOUTHERN,4G,AL-MS,350,35121,ONEONTA,333 7TH ST N,ONEONTA,AL,35121,1572,,Y10892,P
SOUTHERN,4G,AL-MS,350,35123,PALMERDALE,8079 HIGHWAY 75,PALMERDALE,AL,35123,2001,P,Y10912,P
