area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,AR-OK,730,71601,PINE BLUFF,100 E 8TH AVE STE 105,PINE BLUFF,AR,71601,9998,,Y20972,P
SOUTHERN,4G,AR-OK,730,71602,WHITE HALL,7402 DOLLARWAY RD,WHITE HALL,AR,71602,9998,,Y28006,B
SOUTHERN,4G,AR-OK,730,71603,PINE BLUFF,100 E 8TH AVE STE 105,PINE BLUFF,AR,71601,9998,,Y20972,P
SOUTHERN,4G,AR-OK,730,71611,PINE BLUFF,100 E 8TH AVE STE 105,PINE BLUFF,AR,71601,9998,P,Y20972,P
SOUTHERN,4G,AR-OK,730,71612,WHITE HALL,7402 DOLLARWAY RD,WHITE HALL,AR,71602,9998,P,Y28006,B
SOUTHERN,4G,AR-OK,730,71613,OAK PARK,2901 S FIR ST,PINE BLUFF,AR,71603,9998,P,Y20891,S
SOUTHERN,4G,AR-OK,730,71630,ARKANSAS CITY,201 SPRAGUE ST,ARKANSAS CITY,AR,71630,9998,P,Y20042,P
SOUTHERN,4G,AR-OK,730,71631,BANKS,205 E BUCK FEVER HWY,BANKS,AR,71631,9998,,Y20066,P
SOUTHERN,4G,AR-OK,730,71635,CROSSETT,312 MAIN ST,CROSSETT,AR,71635,9998,,Y20279,P
SOUTHERN,4G,AR-OK,730,71638,DERMOTT,111 S FREEMAN ST,DERMOTT,AR,71638,9998,,Y20315,P
SOUTHERN,4G,AR-OK,730,71639,DUMAS,320 N MAIN ST,DUMAS,AR,71639,9998,,Y20340,P
SOUTHERN,4G,AR-OK,730,71640,EUDORA,112 N ARCHER ST,EUDORA,AR,71640,9998,,Y20381,P
SOUTHERN,4G,AR-OK,730,71642,FOUNTAIN HILL,209 PINE ST,FOUNTAIN HILL,AR,71642,9998,,Y20429,P
SOUTHERN,4G,AR-OK,730,71643,GOULD,305 W JACKSON ST,GOULD,AR,71643,9998,,Y20476,P
SOUTHERN,4G,AR-OK,730,71644,GRADY,118 HIGHWAY 65 S,GRADY,AR,71644,9998,,Y20478,P
SOUTHERN,4G,AR-OK,730,71646,HAMBURG,203 E ADAMS ST,HAMBURG,AR,71646,9998,,Y20514,P
SOUTHERN,4G,AR-OK,730,71647,HERMITAGE,300 MAIN ST,HERMITAGE,AR,71647,9998,,Y20559,P
SOUTHERN,4G,AR-OK,730,71651,BANKS,205 E BUCK FEVER HWY,BANKS,AR,71631,9998,,Y20066,P
SOUTHERN,4G,AR-OK,730,71651,JERSEY,198 BRADLEY ROAD 1 S,JERSEY,AR,71651,9998,,Y20630,P
SOUTHERN,4G,AR-OK,730,71652,KINGSLAND,80 FIRST ST,KINGSLAND,AR,71652,9998,,Y20657,P
