area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,NV-UT,890,84784,COLORADO CITY,85 S CENTRAL ST,COLORADO CITY,AZ,86021,6325,P,Z10456,P
WESTPAC,4E,AZ-NM,852,85001,DOWNTOWN PHOENIX,522 N CENTRAL AVE LBBY,PHOENIX,AZ,85004,9998,P,Z10499,S
WESTPAC,4E,AZ-NM,852,85002,DOWNTOWN PHOENIX,522 N CENTRAL AVE LBBY,PHOENIX,AZ,85004,9998,P,Z10499,S
WESTPAC,4E,AZ-NM,852,85003,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85004,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85005,CAPITOL,2 S 35TH AVE,PHOENIX,AZ,85009,9998,P,Z10419,S
WESTPAC,4E,AZ-NM,852,85006,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85007,CAPITOL,2 S 35TH AVE,PHOENIX,AZ,85009,9998,,Z10419,S
WESTPAC,4E,AZ-NM,852,85008,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85009,CAPITOL,2 S 35TH AVE,PHOENIX,AZ,85009,9998,,Z10419,S
WESTPAC,4E,AZ-NM,852,85010,ARCADIA,3920 E THOMAS RD,PHOENIX,AZ,85018,9998,P,Z10370,S
WESTPAC,4E,AZ-NM,852,85011,OSBORN,3905 N 7TH AVE,PHOENIX,AZ,85013,9998,P,Z10723,S
WESTPAC,4E,AZ-NM,852,85012,OSBORN,3905 N 7TH AVE,PHOENIX,AZ,85013,9998,,Z10723,S
WESTPAC,4E,AZ-NM,852,85013,OSBORN,3905 N 7TH AVE,PHOENIX,AZ,85013,9998,,Z10723,S
WESTPAC,4E,AZ-NM,852,85014,OSBORN,3905 N 7TH AVE,PHOENIX,AZ,85013,9998,,Z10723,S
WESTPAC,4E,AZ-NM,852,85015,NORTHWEST ANNEX,2727 W CAMELBACK RD,PHOENIX,AZ,85017,3272,,003567,4
WESTPAC,4E,AZ-NM,852,85016,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85017,NORTHWEST ANNEX,2727 W CAMELBACK RD,PHOENIX,AZ,85017,3272,,003567,4
WESTPAC,4E,AZ-NM,852,85018,PHOENIX RIO SALADO AZ S&DC,1441 E BUCKEYE RD LBBY,PHOENIX,AZ,85034,9111,,020660,4
WESTPAC,4E,AZ-NM,852,85019,MARYVALE,4415 N MARYVALE PKWY,PHOENIX,AZ,85031,9998,,Z10665,S
WESTPAC,4E,AZ-NM,852,85020,PHOENIX AZ NORTH VALLEY SDC,2502 W GRANDVIEW RD,PHOENIX,AZ,85023,9400,,021671,4
WESTPAC,4E,AZ-NM,852,85021,WASHINGTON,8155 N BLACK CANYON HWY,PHOENIX,AZ,85021,9998,,Z10967,S
WESTPAC,4E,AZ-NM,852,85022,PHOENIX AZ NORTH VALLEY SDC,2502 W GRANDVIEW RD,PHOENIX,AZ,85023,9400,,021671,4
WESTPAC,4E,AZ-NM,852,85023,SIERRA ADOBE,1902 W UNION HILLS DR,PHOENIX,AZ,85027,9998,,Z10836,S
WESTPAC,4E,AZ-NM,852,85024,BOULDER HILLS,2550 E ROSE GARDEN LN,PHOENIX,AZ,85050,9998,,002345,S
WESTPAC,4E,AZ-NM,852,85027,SIERRA ADOBE,1902 W UNION HILLS DR,PHOENIX,AZ,85027,9998,,Z10836,S
WESTPAC,4E,AZ-NM,852,85028,CACTUS,2901 E GREENWAY RD,PHOENIX,AZ,85032,9998,,Z10411,S
