area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,CALIFORNIA 5,900,90001,MAIN OFFICE LOS ANGELES,7101 S CENTRAL AVE,LOS ANGELES,CA,90001,9998,,Z21858,S
WESTPAC,4E,CALIFORNIA 5,900,90002,AUGUSTUS F HAWKINS,10301 COMPTON AVE,LOS ANGELES,CA,90002,9998,,Z23799,S
WESTPAC,4E,CALIFORNIA 5,900,90002,GREENMEAD ANNEX,900 E GAGE AVE,LOS ANGELES,CA,90059,9998,,020153,4
WESTPAC,4E,CALIFORNIA 5,900,90003,MAIN OFFICE LOS ANGELES,7101 S CENTRAL AVE,LOS ANGELES,CA,90001,9998,,Z21858,S
WESTPAC,4E,CALIFORNIA 5,900,90004,OAKWOOD,265 S WESTERN AVE,LOS ANGELES,CA,90004,9998,,Z22301,S
WESTPAC,4E,CALIFORNIA 5,900,90005,PICO HEIGHTS,2390 W PICO BLVD,LOS ANGELES,CA,90075,9997,,Z22468,S
WESTPAC,4E,CALIFORNIA 5,900,90006,DOCKWEILER,3585 S VERMONT AVE,LOS ANGELES,CA,90007,9998,,Z20899,S
WESTPAC,4E,CALIFORNIA 5,900,90007,DOCKWEILER,3585 S VERMONT AVE,LOS ANGELES,CA,90007,9998,,Z20899,S
WESTPAC,4E,CALIFORNIA 5,900,90008,CRENSHAW,3894 CRENSHAW BLVD,LOS ANGELES,CA,90008,9998,,Z20778,S
WESTPAC,4E,CALIFORNIA 5,900,90009,AIRPORT LOS ANGELES,8821 AVIATION BLVD,LOS ANGELES,CA,90009,9997,P,019317,S
WESTPAC,4E,CALIFORNIA 5,900,90011,WASHINGTON LOS ANGELES,4352 S CENTRAL AVE,LOS ANGELES,CA,90011,9998,,Z23791,S
WESTPAC,4E,CALIFORNIA 5,900,90011,GREENMEAD ANNEX,900 E GAGE AVE,LOS ANGELES,CA,90059,9998,,020153,4
WESTPAC,4E,CALIFORNIA 5,900,90012,ALAMEDA CARRIER ANNEX,1055 N VIGNES ST,LOS ANGELES,CA,90012,2930,,Z21105,4
WESTPAC,4E,CALIFORNIA 5,900,90013,ARCADE,506 S SPRING ST,LOS ANGELES,CA,90013,9998,,Z20117,S
WESTPAC,4E,CALIFORNIA 5,900,90013,ALAMEDA CARRIER ANNEX,1055 N VIGNES ST,LOS ANGELES,CA,90012,2930,,Z21105,4
