area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,CO-WY,800,80001,ARVADA,5885 ALLISON ST,ARVADA,CO,80004,9998,P,Z11044,P
WESTPAC,4E,CO-WY,800,80002,ARVADA,5885 ALLISON ST,ARVADA,CO,80004,9998,,Z11044,P
WESTPAC,4E,CO-WY,800,80003,INDIAN TREE,7765 WADSWORTH BLVD,ARVADA,CO,80003,9998,,Z11527,S
WESTPAC,4E,CO-WY,800,80004,ARVADA,5885 ALLISON ST,ARVADA,CO,80004,9998,,Z11044,P
WESTPAC,4E,CO-WY,800,80005,INDIAN TREE,7765 WADSWORTH BLVD,ARVADA,CO,80003,9998,,Z11527,S
WESTPAC,4E,CO-WY,800,80006,INDIAN TREE,7765 WADSWORTH BLVD,ARVADA,CO,80003,9998,P,Z11527,S
WESTPAC,4E,CO-WY,800,80007,INDIAN TREE,7765 WADSWORTH BLVD,ARVADA,CO,80003,9998,,Z11527,S
WESTPAC,4E,CO-WY,800,80010,HOFFMAN HEIGHTS,738 PEORIA ST STE D,AURORA,CO,80011,9995,,Z11501,S
WESTPAC,4E,CO-WY,800,80011,HOFFMAN HEIGHTS,738 PEORIA ST STE D,AURORA,CO,80011,9995,,Z11501,S
WESTPAC,4E,CO-WY,800,80012,GATEWAY,2500 S ABILENE ST,AURORA,CO,80014,9998,,Z11433,S
WESTPAC,4E,CO-WY,800,80013,AURORA CO SDC,16890 E ALAMEDA PKWY,AURORA,CO,80017,9997,,021644,4
WESTPAC,4E,CO-WY,800,80014,GATEWAY,2500 S ABILENE ST,AURORA,CO,80014,9998,,Z11433,S
WESTPAC,4E,CO-WY,800,80015,TOWER,18555 E SMOKY HILL RD,CENTENNIAL,CO,80015,9998,,000394,B
WESTPAC,4E,CO-WY,800,80016,TOWER,18555 E SMOKY HILL RD,CENTENNIAL,CO,80015,9998,,000394,B
WESTPAC,4E,CO-WY,800,80017,AURORA CO SDC,16890 E ALAMEDA PKWY,AURORA,CO,80017,9997,,021644,4
WESTPAC,4E,CO-WY,800,80018,AURORA CO SDC,16890 E ALAMEDA PKWY,AURORA,CO,80017,9997,,021644,4
WESTPAC,4E,CO-WY,800,80019,AURORA CO SDC,16890 E ALAMEDA PKWY,AURORA,CO,80017,9997,,021644,4
WESTPAC,4E,CO-WY,800,80020,BROOMFIELD,280 E 1ST AVE,BROOMFIELD,CO,80020,9998,,Z11120,P
WESTPAC,4E,CO-WY,800,80021,BROOMFIELD EAGLE VIEW,8800 W 116TH CIR,BROOMFIELD,CO,80021,9998,,001769,S
WESTPAC,4E,CO-WY,800,80022,ADAMS CITY,6655 BRIGHTON BLVD,COMMERCE CITY,CO,80022,2300,,Z11004,B
WESTPAC,4E,CO-WY,800,80022,COMMERCE CITY,7351 MAGNOLIA ST,COMMERCE CITY,CO,80022,9998,,Z11201,P
WESTPAC,4E,CO-WY,800,80023,BROOMFIELD,280 E 1ST AVE,BROOMFIELD,CO,80020,9998,,Z11120,P
WESTPAC,4E,CO-WY,800,80024,DUPONT,8096 BRIGHTON RD,COMMERCE CITY,CO,80022,5315,P,Z11328,P
WESTPAC,4E,CO-WY,800,80025,ELDORADO SPRINGS,3330 ELDORADO SPRINGS DR,ELDORADO SPRINGS,CO,80025,9900,P,Z11354,P
WESTPAC,4E,CO-WY,800,80026,LAFAYETTE,603 S PUBLIC RD,LAFAYETTE,CO,80026,9998,,Z11564,P
WESTPAC,4E,CO-WY,800,80026,LAFAYETTE CARRIER ANNEX,109 KIMBARK ST,LAFAYETTE,CO,80026,9997,,Z18283,4
WESTPAC,4E,CO-WY,800,80027,LOUISVILLE,566 S MCCASLIN BLVD,SUPERIOR,CO,80027,9998,,Z11603,P
WESTPAC,4E,CO-WY,800,80030,WESTMINSTER,3051 W 105TH AVE,WESTMINSTER,CO,80031,9998,,Z12024,P
WESTPAC,4E,CO-WY,800,80031,WESTMINSTER,3051 W 105TH AVE,WESTMINSTER,CO,80031,9998,,Z12024,P
WESTPAC,4E,CO-WY,800,80033,WHEAT RIDGE,4210 WADSWORTH BLVD,WHEAT RIDGE,CO,80033,9998,,Z12031,P
WESTPAC,4E,CO-WY,800,80034,WHEAT RIDGE,4210 WADSWORTH BLVD,WHEAT RIDGE,CO,80033,9998,P,Z12031,P
WESTPAC,4E,CO-WY,800,80035,WESTMINSTER,3051 W 105TH AVE,WESTMINSTER,CO,80031,9998,P,Z12024,P
WESTPAC,4E,CO-WY,800,80036,HARRIS PARK,7262 MEADE ST,WESTMINSTER,CO,80030,9998,P,Z18961,S
WESTPAC,4E,CO-WY,800,80037,COMMERCE CITY,7351 MAGNOLIA ST,COMMERCE CITY,CO,80022,9998,P,Z11201,P
WESTPAC,4E,CO-WY,800,80038,BROOMFIELD,280 E 1ST AVE,BROOMFIELD,CO,80020,9998,P,Z11120,P
WESTPAC,4E,CO-WY,800,80040,FLETCHER,1550 DAYTON ST,AURORA,CO,80010,9998,P,Z11392,S
WESTPAC,4E,CO-WY,800,80041,HOFFMAN HEIGHTS,738 PEORIA ST STE D,AURORA,CO,80011,9995,P,Z11501,S
WESTPAC,4E,CO-WY,800,80042,ALTURA,15355 E COLFAX AVE UNIT A,AURORA,CO,80011,9998,P,Z11022,S
WESTPAC,4E,CO-WY,800,80044,GATEWAY,2500 S ABILENE ST,AURORA,CO,80014,9998,P,Z11433,S
WESTPAC,4E,CO-WY,800,80045,FLETCHER,1550 DAYTON ST,AURORA,CO,80010,9998,,Z11392,S
WESTPAC,4E,CO-WY,800,80045,HOFFMAN HEIGHTS,738 PEORIA ST STE D,AURORA,CO,80011,9995,,Z11501,S
WESTPAC,4E,CO-WY,800,80046,TOWER,18555 E SMOKY HILL RD,CENTENNIAL,CO,80015,9998,P,000394,B
WESTPAC,4E,CO-WY,800,80047,AURORA CO SDC,16890 E ALAMEDA PKWY,AURORA,CO,80017,9997,P,021644,4
WESTPAC,4E,CO-WY,800,80101,AGATE,40992 US HIGHWAY 40,AGATE,CO,80101,9755,,Z11008,P
WESTPAC,4E,CO-WY,800,80101,DEER TRAIL,195 DATE ST,DEER TRAIL,CO,80105,9997,,Z11300,P
WESTPAC,4E,CO-WY,800,80102,BENNETT,205 S ASH ST,BENNETT,CO,80102,9997,,Z11080,P
WESTPAC,4E,CO-WY,800,80103,BYERS,47 CEDAR AVE,BYERS,CO,80103,9756,,Z11131,P
WESTPAC,4E,CO-WY,800,80104,CASTLE ROCK,220 S WILCOX ST,CASTLE ROCK,CO,80104,9997,,Z11150,P
WESTPAC,4E,CO-WY,800,80104,CASTLE ROCK ANNEX,300 E MILLER CT,CASTLE ROCK,CO,80104,8436,,020469,4
WESTPAC,4E,CO-WY,800,80105,DEER TRAIL,195 DATE ST,DEER TRAIL,CO,80105,9997,,Z11300,P
WESTPAC,4E,CO-WY,800,80106,ELBERT,24150 ELBERT ST,ELBERT,CO,80106,9135,,Z11353,P
WESTPAC,4E,CO-WY,800,80107,ELIZABETH,795 E KIOWA AVE,ELIZABETH,CO,80107,4109,,Z11355,P
WESTPAC,4E,CO-WY,800,80108,CASTLE ROCK ANNEX,300 E MILLER CT,CASTLE ROCK,CO,80104,8436,,020469,4
WESTPAC,4E,CO-WY,800,80109,CASTLE ROCK ANNEX,300 E MILLER CT,CASTLE ROCK,CO,80104,8436,,020469,4
WESTPAC,4E,CO-WY,800,80110,ENGLEWOOD,915 W LEHIGH AVE,ENGLEWOOD,CO,80110,9998,,Z11361,P
WESTPAC,4E,CO-WY,800,80111,GREENWOOD VILLAGE,6855 S DAYTON ST,GREENWOOD VILLAGE,CO,80112,9998,,Z11034,B
WESTPAC,4E,CO-WY,800,80112,GREENWOOD VILLAGE,6855 S DAYTON ST,GREENWOOD VILLAGE,CO,80112,9998,,Z11034,B
WESTPAC,4E,CO-WY,800,80113,ENGLEWOOD,915 W LEHIGH AVE,ENGLEWOOD,CO,80110,9998,,Z11361,P
WESTPAC,4E,CO-WY,800,80116,FRANKTOWN,7519 E STATE HIGHWAY 86,FRANKTOWN,CO,80116,8913,,Z11413,P
WESTPAC,4E,CO-WY,800,80117,KIOWA,708 COMANCHE ST,KIOWA,CO,80117,8608,,Z11548,P
WESTPAC,4E,CO-WY,800,80118,LARKSPUR,96 PERRY PARK AVE,LARKSPUR,CO,80118,9998,,Z11576,P
WESTPAC,4E,CO-WY,800,80120,LITTLETON,5753 S PRINCE ST,LITTLETON,CO,80120,9998,,Z11590,P
WESTPAC,4E,CO-WY,800,80121,CENTENNIAL,2221 E ARAPAHOE RD,CENTENNIAL,CO,80122,9998,,Z11881,B
WESTPAC,4E,CO-WY,800,80122,CENTENNIAL,2221 E ARAPAHOE RD,CENTENNIAL,CO,80122,9998,,Z11881,B
WESTPAC,4E,CO-WY,800,80123,COLUMBINE HILLS,6698 S IRIS ST,LITTLETON,CO,80123,3180,,Z11199,S
WESTPAC,4E,CO-WY,800,80124,HIGHLANDS RANCH,9609 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80130,9998,,Z11497,B
WESTPAC,4E,CO-WY,800,80125,KEN CARYL RANCH,8200 SHAFFER PKWY,LITTLETON,CO,80127,9997,,000842,B
WESTPAC,4E,CO-WY,800,80126,HIGHLANDS RANCH,9609 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80130,9998,,Z11497,B
WESTPAC,4E,CO-WY,800,80127,KEN CARYL RANCH,8200 SHAFFER PKWY,LITTLETON,CO,80127,9997,,000842,B
WESTPAC,4E,CO-WY,800,80128,KEN CARYL RANCH,8200 SHAFFER PKWY,LITTLETON,CO,80127,9997,,000842,B
WESTPAC,4E,CO-WY,800,80129,HIGHLANDS RANCH,9609 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80130,9998,,Z11497,B
WESTPAC,4E,CO-WY,800,80130,HIGHLANDS RANCH,9609 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80130,9998,,Z11497,B
WESTPAC,4E,CO-WY,800,80131,LOUVIERS,7895 LOUVIERS BLVD,LOUVIERS,CO,80131,9997,P,Z11604,P
WESTPAC,4E,CO-WY,800,80132,MONUMENT,545 3RD ST,MONUMENT,CO,80132,9998,,Z11659,P
WESTPAC,4E,CO-WY,800,80133,MONUMENT,545 3RD ST,MONUMENT,CO,80132,9998,,Z11659,P
WESTPAC,4E,CO-WY,800,80133,PALMER LAKE,10 PRIMROSE ST,PALMER LAKE,CO,80133,9998,,Z11729,P
WESTPAC,4E,CO-WY,800,80134,PARKER,18695 PONY EXPRESS DR,PARKER,CO,80134,9992,,Z11737,P
WESTPAC,4E,CO-WY,800,80135,SEDALIA,4195 DOUGLAS AVE,SEDALIA,CO,80135,8001,,Z11847,P
WESTPAC,4E,CO-WY,800,80136,BENNETT,205 S ASH ST,BENNETT,CO,80102,9997,,Z11080,P
WESTPAC,4E,CO-WY,800,80136,STRASBURG,56691 E COLFAX AVE,STRASBURG,CO,80136,9998,,Z11913,P
WESTPAC,4E,CO-WY,800,80137,WATKINS,33151 E 16TH DR,WATKINS,CO,80137,6826,,Z12004,P
WESTPAC,4E,CO-WY,800,80138,PARKER,18695 PONY EXPRESS DR,PARKER,CO,80134,9992,,Z11737,P
WESTPAC,4E,CO-WY,800,80150,ENGLEWOOD,915 W LEHIGH AVE,ENGLEWOOD,CO,80110,9998,P,Z11361,P
WESTPAC,4E,CO-WY,800,80151,DOWNTOWN ENGLEWOOD,3330 S BROADWAY,ENGLEWOOD,CO,80113,9997,P,Z11322,S
WESTPAC,4E,CO-WY,800,80155,GREENWOOD VILLAGE,6855 S DAYTON ST,GREENWOOD VILLAGE,CO,80112,9998,P,Z11034,B
WESTPAC,4E,CO-WY,800,80160,LITTLETON,5753 S PRINCE ST,LITTLETON,CO,80120,9998,P,Z11590,P
WESTPAC,4E,CO-WY,800,80161,CENTENNIAL,2221 E ARAPAHOE RD,CENTENNIAL,CO,80122,9998,P,Z11881,B
WESTPAC,4E,CO-WY,800,80162,COLUMBINE HILLS,6698 S IRIS ST,LITTLETON,CO,80123,3180,P,Z11199,S
WESTPAC,4E,CO-WY,800,80163,HIGHLANDS RANCH,9609 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80130,9998,P,Z11497,B
WESTPAC,4E,CO-WY,800,80201,DENVER,951 20TH ST,DENVER,CO,80202,9998,P,Z11306,P
WESTPAC,4E,CO-WY,800,80202,DENVER,951 20TH ST,DENVER,CO,80202,9998,,Z11306,P
WESTPAC,4E,CO-WY,800,80203,CAPITOL HILL,1541 N MARION ST,DENVER,CO,80218,9998,,Z11141,S
WESTPAC,4E,CO-WY,800,80203,CAPITOL HILL ANNEX,1551 N DOWNING ST,DENVER,CO,80218,9997,,Z11142,4
WESTPAC,4E,CO-WY,800,80204,MILE HIGH,450 W 14TH AVE,DENVER,CO,80204,9998,,Z11839,S
WESTPAC,4E,CO-WY,800,80205,CAPITOL HILL ANNEX,1551 N DOWNING ST,DENVER,CO,80218,9997,,Z11142,4
WESTPAC,4E,CO-WY,800,80206,CHERRY CREEK,201 COLUMBINE ST STE 150,DENVER,CO,80206,4745,,Z11160,S
WESTPAC,4E,CO-WY,800,80206,GLENDALE,945 S BIRCH ST,DENVER,CO,80246,9998,,Z18233,B
WESTPAC,4E,CO-WY,800,80207,PARK HILL,3355 HUDSON ST,DENVER,CO,80207,9998,,Z11735,S
WESTPAC,4E,CO-WY,800,80209,SOUTH DENVER,225 S BROADWAY,DENVER,CO,80209,9998,,Z11877,S
WESTPAC,4E,CO-WY,800,80209,UNIVERSITY PARK,3800 BUCHTEL BLVD,DENVER,CO,80210,9998,,Z11972,S
