area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,CONNECTICUT,060,06001,AVON,15 ENFORD ST,AVON,CT,06001,9998,,V20019,P
ATLANTIC,4B,CONNECTICUT,060,06002,BLOOMFIELD,40 JEROME AVE,BLOOMFIELD,CT,06002,9998,,V20052,P
ATLANTIC,4B,CONNECTICUT,060,06010,BRISTOL,151 N MAIN ST,BRISTOL,CT,06010,9998,,V20074,P
ATLANTIC,4B,CONNECTICUT,060,06011,BRISTOL,151 N MAIN ST,BRISTOL,CT,06010,9998,P,V20074,P
ATLANTIC,4B,CONNECTICUT,060,06011,FORESTVILLE,18 E MAIN ST,BRISTOL,CT,06010,9991,P,V20236,S
ATLANTIC,4B,CONNECTICUT,060,06013,BURLINGTON,715 GEORGE WASHINGTON TPKE,BURLINGTON,CT,06013,9998,,V20091,B
ATLANTIC,4B,CONNECTICUT,060,06016,BROAD BROOK,113 MAIN ST,BROAD BROOK,CT,06016,9998,,V20080,P
ATLANTIC,4B,CONNECTICUT,060,06018,CANAAN,9 CHURCH ST,CANAAN,CT,06018,9992,,V20097,P
ATLANTIC,4B,CONNECTICUT,060,06018,FALLS VILLAGE,5 MINER ST,FALLS VILLAGE,CT,06031,9998,,V20223,P
ATLANTIC,4B,CONNECTICUT,060,06019,CANTON,220 ALBANY TPKE,CANTON,CT,06019,9998,,V20105,P
ATLANTIC,4B,CONNECTICUT,060,06020,CANTON CENTER,178 CHERRY BROOK RD,CANTON CENTER,CT,06020,9997,P,V20106,P
ATLANTIC,4B,CONNECTICUT,060,06021,COLEBROOK,560 COLEBROOK RD,COLEBROOK,CT,06021,9998,,V20128,P
ATLANTIC,4B,CONNECTICUT,060,06022,COLLINSVILLE,34 BRIDGE ST,COLLINSVILLE,CT,06022,9992,P,V20129,P
ATLANTIC,4B,CONNECTICUT,060,06023,EAST BERLIN,115 MAIN ST,EAST BERLIN,CT,06023,9992,,V20182,P
ATLANTIC,4B,CONNECTICUT,060,06023,KENSINGTON,62 KENSINGTON RD,BERLIN,CT,06037,9998,,V20317,P
ATLANTIC,4B,CONNECTICUT,060,06024,EAST CANAAN,270 E CANAAN RD,EAST CANAAN,CT,06024,9998,,V20184,P
ATLANTIC,4B,CONNECTICUT,060,06024,FALLS VILLAGE,5 MINER ST,FALLS VILLAGE,CT,06031,9998,,V20223,P
ATLANTIC,4B,CONNECTICUT,060,06025,EAST GLASTONBURY,538 MANCHESTER RD,EAST GLASTONBURY,CT,06025,9992,P,V20187,P
ATLANTIC,4B,CONNECTICUT,060,06026,EAST GRANBY,1 CENTER ST,EAST GRANBY,CT,06026,9998,,V20188,P
ATLANTIC,4B,CONNECTICUT,060,06026,SUFFIELD,235 MOUNTAIN RD,SUFFIELD,CT,06078,9998,,V20690,P
