area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,MARYLAND,200,20001,LE DROIT PARK,416 FLORIDA AVE NW,WASHINGTON,DC,20001,9997,,V21037,S
ATLANTIC,4B,MARYLAND,200,20001,WASHINGTON,900 BRENTWOOD RD NE,WASHINGTON,DC,20018,9997,,V21178,P
ATLANTIC,4B,MARYLAND,200,20002,SECTION 2 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20018,9996,,004188,4
ATLANTIC,4B,MARYLAND,200,20002,NORTHEAST NEW,1701 H ST NE STE 300,WASHINGTON,DC,20002,9916,,021660,S
ATLANTIC,4B,MARYLAND,200,20003,SOUTHEAST,600 PENNSYLVANIA AVE SE FRNT 2,WASHINGTON,DC,20003,9998,,V21123,S
ATLANTIC,4B,MARYLAND,200,20003,SOUTHWEST,45 L ST SW,WASHINGTON,DC,20024,9997,,V21124,S
ATLANTIC,4B,MARYLAND,200,20004,WASHINGTON,900 BRENTWOOD RD NE,WASHINGTON,DC,20018,9997,,V21178,P
ATLANTIC,4B,MARYLAND,200,20005,WASHINGTON,900 BRENTWOOD RD NE,WASHINGTON,DC,20018,9997,,V21178,P
ATLANTIC,4B,MARYLAND,200,20005,14TH ST,1830 14TH ST NW,WASHINGTON,DC,20009,9903,,021050,S
ATLANTIC,4B,MARYLAND,200,20006,WARD PLACE CARRIER ANNEX,2121 WARD PL NW,WASHINGTON,DC,20037,9996,,016871,4
ATLANTIC,4B,MARYLAND,200,20007,CALVERT,2336 WISCONSIN AVE NW,WASHINGTON,DC,20007,1843,,V20903,S
ATLANTIC,4B,MARYLAND,200,20007,GEORGETOWN CARRIER ANNEX,4005 WISCONSIN AVE NW,WASHINGTON,DC,20016,9996,,009147,4
ATLANTIC,4B,MARYLAND,200,20008,CLEVELAND PARK,3430 CONNECTICUT AVE NW,WASHINGTON,DC,20008,9998,,V20911,S
ATLANTIC,4B,MARYLAND,200,20008,GEORGETOWN CARRIER ANNEX,4005 WISCONSIN AVE NW,WASHINGTON,DC,20016,9996,,009147,4
ATLANTIC,4B,MARYLAND,200,20009,KALORAMA,2300 18TH ST NW LBBY,WASHINGTON,DC,20009,9996,,V21032,S
ATLANTIC,4B,MARYLAND,200,20009,SECTION 9 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20018,9990,,018206,4
ATLANTIC,4B,MARYLAND,200,20009,TEMPLE HEIGHTS,1635 CONNECTICUT AVE NW,WASHINGTON,DC,20009,9901,,021038,S
ATLANTIC,4B,MARYLAND,200,20009,14TH ST,1830 14TH ST NW,WASHINGTON,DC,20009,9903,,021050,S
ATLANTIC,4B,MARYLAND,200,20010,COLUMBIA HEIGHTS,3321 GEORGIA AVE NW,WASHINGTON,DC,20010,9998,,V28228,S
ATLANTIC,4B,MARYLAND,200,20010,SECTION 10 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20066,0010,,019291,4
ATLANTIC,4B,MARYLAND,200,20011,LAMMOND RIGGS,6200 N CAPITOL ST NW,WASHINGTON,DC,20011,1408,,V20909,S
ATLANTIC,4B,MARYLAND,200,20012,SECTION 12 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20066,0012,,019682,4
ATLANTIC,4B,MARYLAND,200,20013,NATIONAL CAPITOL,2 MASSACHUSETTS AVE NE,WASHINGTON,DC,20002,9997,P,V21051,S
ATLANTIC,4B,MARYLAND,200,20015,NORTHWEST,5636 CONNECTICUT AVE NW,WASHINGTON,DC,20015,9998,,V21088,S
ATLANTIC,4B,MARYLAND,200,20015,SECTION 15 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20066,0015,,019683,4
ATLANTIC,4B,MARYLAND,200,20016,FRIENDSHIP,4005 WISCONSIN AVE NW,WASHINGTON,DC,20016,9997,,V20990,S
ATLANTIC,4B,MARYLAND,200,20016,PALISADES,5136 MACARTHUR BLVD NW,WASHINGTON,DC,20016,3316,,V21098,S
ATLANTIC,4B,MARYLAND,200,20017,BROOKLAND,3401 12TH ST NE,WASHINGTON,DC,20017,9997,,V20888,S
ATLANTIC,4B,MARYLAND,200,20018,CUSTOMS HOUSE,3178 BLADENSBURG RD NE,WASHINGTON,DC,20018,9998,,V20923,S
ATLANTIC,4B,MARYLAND,200,20018,WOODRIDGE,2211 RHODE ISLAND AVE NE,WASHINGTON,DC,20018,2826,,V21188,S
ATLANTIC,4B,MARYLAND,200,20019,SECTION 19 CARRIER ANNEX,900 BRENTWOOD RD NE,WASHINGTON,DC,20066,0019,,021018,4
ATLANTIC,4B,MARYLAND,200,20020,FORT DAVIS,3843 PENNSYLVANIA AVE SE,WASHINGTON,DC,20020,9994,,V20986,S
ATLANTIC,4B,MARYLAND,200,20020,RANDLE,2341 PENNSYLVANIA AVE SE,WASHINGTON,DC,20020,9996,,V21111,S
ATLANTIC,4B,MARYLAND,200,20024,SOUTHWEST,45 L ST SW,WASHINGTON,DC,20024,9997,,V21124,S
ATLANTIC,4B,MARYLAND,200,20026,LENFANT PLAZA,470 LENFANT PLZ SW STE 604,WASHINGTON,DC,20024,9995,P,V21038,S
ATLANTIC,4B,MARYLAND,200,20027,GEORGETOWN,1215 31ST ST NW,WASHINGTON,DC,20007,9998,P,V20999,S
ATLANTIC,4B,MARYLAND,200,20029,BENNING,3924 MINNESOTA AVE NE,WASHINGTON,DC,20019,9900,P,021049,S
ATLANTIC,4B,MARYLAND,200,20030,FREDERICK DOUGLASS,2833 ALABAMA AVE SE,WASHINGTON,DC,20020,9995,P,V27703,S
ATLANTIC,4B,MARYLAND,200,20032,BOLLING AFB,10 BROOKLEY AVE SW,BOLLING AFB,DC,20032,7701,,V20882,S
ATLANTIC,4B,MARYLAND,200,20032,CONGRESS HEIGHTS,400 SOUTHERN AVE SE,WASHINGTON,DC,20032,9997,,V20919,S
ATLANTIC,4B,MARYLAND,200,20033,FARRAGUT,1800 M ST NW FRNT 1,WASHINGTON,DC,20036,9998,P,V20967,S
ATLANTIC,4B,MARYLAND,200,20035,WASHINGTON SQUARE,1050 CONNECTICUT AVE NW,WASHINGTON,DC,20036,5303,P,V21184,S
ATLANTIC,4B,MARYLAND,200,20036,WARD PLACE CARRIER ANNEX,2121 WARD PL NW,WASHINGTON,DC,20037,9996,,016871,4
ATLANTIC,4B,MARYLAND,200,20036,22ND STREET,1255 22ND ST NW LBBY,WASHINGTON,DC,20037,9995,,016914,S
ATLANTIC,4B,MARYLAND,200,20037,WATERGATE,2512 VIRGINIA AVE NW,WASHINGTON,DC,20037,9997,,V21185,S
ATLANTIC,4B,MARYLAND,200,20037,WARD PLACE CARRIER ANNEX,2121 WARD PL NW,WASHINGTON,DC,20037,9996,,016871,4
ATLANTIC,4B,MARYLAND,200,20037,22ND STREET,1255 22ND ST NW LBBY,WASHINGTON,DC,20037,9995,,016914,S
ATLANTIC,4B,MARYLAND,200,20038,MCPHERSON,1750 PENNSYLVANIA AVE NW,WASHINGTON,DC,20006,9997,P,V20906,S
