area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,DE-PA 2,190,19701,BEAR,125 RICKEY BLVD,BEAR,DE,19701,9998,,V21192,P
ATLANTIC,4B,DE-PA 2,190,19702,NEWARK CARRIER ANNEX,125 RICKEY BLVD,BEAR,DE,19701,9997,,002414,4
ATLANTIC,4B,DE-PA 2,190,19703,CLAYMONT,3430 PHILADELPHIA PIKE,CLAYMONT,DE,19703,9998,,V21234,P
ATLANTIC,4B,DE-PA 2,190,19703,EDGEMOOR,4901 GOVERNOR PRINTZ BLVD,WILMINGTON,DE,19809,9998,,V21254,B
ATLANTIC,4B,DE-PA 2,190,19706,DELAWARE CITY,54 CLINTON ST,DELAWARE CITY,DE,19706,9998,P,V21240,P
ATLANTIC,4B,DE-PA 2,190,19707,HOCKESSIN,651 VALLEY RD,HOCKESSIN,DE,19707,9998,,V21294,P
ATLANTIC,4B,DE-PA 2,190,19708,KIRKWOOD,2501 RED LION RD,KIRKWOOD,DE,19708,9998,P,V21301,P
ATLANTIC,4B,DE-PA 2,190,19709,MIDDLETOWN,298 E MAIN ST,MIDDLETOWN,DE,19709,9998,,V21317,P
ATLANTIC,4B,DE-PA 2,190,19710,MONTCHANIN,101 STONE BLOCK ROW,MONTCHANIN,DE,19710,9998,P,V21329,P
ATLANTIC,4B,DE-PA 2,190,19711,NEWARK,401 OGLETOWN RD,NEWARK,DE,19711,9998,,V21334,P
ATLANTIC,4B,DE-PA 2,190,19711,CPU ZINGOS,1 POLLY DRUMMOND SHPG CTR,NEWARK,DE,19711,9996,,016595,5
ATLANTIC,4B,DE-PA 2,190,19713,NEWARK,401 OGLETOWN RD,NEWARK,DE,19711,9998,,V21334,P
ATLANTIC,4B,DE-PA 2,190,19714,NEWARK,401 OGLETOWN RD,NEWARK,DE,19711,9998,P,V21334,P
ATLANTIC,4B,DE-PA 2,190,19715,FEDERAL,110 E MAIN ST,NEWARK,DE,19711,9997,P,V21266,S
ATLANTIC,4B,DE-PA 2,190,19717,NEWARK,401 OGLETOWN RD,NEWARK,DE,19711,9998,,V21334,P
ATLANTIC,4B,DE-PA 2,190,19720,MANOR,100 MCMULLEN AVE,NEW CASTLE,DE,19720,9996,,V21312,B
ATLANTIC,4B,DE-PA 2,190,19720,NEW CASTLE,501 DELAWARE ST,NEW CASTLE,DE,19720,9998,,V21333,P
ATLANTIC,4B,DE-PA 2,190,19720,CENTERPOINT,105 JOHNSON WAY,NEW CASTLE,DE,19720,9997,,V27585,4
ATLANTIC,4B,DE-PA 2,190,19730,ODESSA,312 MAIN ST,ODESSA,DE,19730,9998,P,V21342,P
ATLANTIC,4B,DE-PA 2,190,19731,PORT PENN,3 S CONGRESS ST,PORT PENN,DE,19731,9998,P,V21345,P
ATLANTIC,4B,DE-PA 2,190,19732,ROCKLAND,700 ROCKLAND RD,ROCKLAND,DE,19732,9998,P,V21355,P
ATLANTIC,4B,DE-PA 2,190,19733,SAINT GEORGES,201 BROAD ST,SAINT GEORGES,DE,19733,9998,P,V21358,P
ATLANTIC,4B,DE-PA 2,190,19734,MIDDLETOWN,298 E MAIN ST,MIDDLETOWN,DE,19709,9998,,V21317,P
ATLANTIC,4B,DE-PA 2,190,19734,TOWNSEND,400 MAIN ST,TOWNSEND,DE,19734,9998,,V21373,P
ATLANTIC,4B,DE-PA 2,190,19736,YORKLYN,1149 YORKLYN RD,YORKLYN,DE,19736,9998,,V21390,P
ATLANTIC,4B,DE-PA 2,190,19801,RODNEY SQ,500 DELAWARE AVE STE 1,WILMINGTON,DE,19801,9998,,010806,S
ATLANTIC,4B,DE-PA 2,190,19802,EDGEMOOR,4901 GOVERNOR PRINTZ BLVD,WILMINGTON,DE,19809,9998,,V21254,B
ATLANTIC,4B,DE-PA 2,190,19803,TALLEYVILLE,3911 CONCORD PIKE,WILMINGTON,DE,19803,9995,,V27586,B
ATLANTIC,4B,DE-PA 2,190,19803,TALLEYVILLE CARRIER ANNEX,3505 SILVERSIDE RD STE 103,WILMINGTON,DE,19810,9998,,012351,4
ATLANTIC,4B,DE-PA 2,190,19804,NEWPORT,1704 W NEWPORT PIKE,WILMINGTON,DE,19804,9998,,010797,B
ATLANTIC,4B,DE-PA 2,190,19805,LANCASTER AVE,1500 LANCASTER AVE,WILMINGTON,DE,19805,9998,,V21302,S
