area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,FLORIDA 1,320,32003,RIDGEWOOD,225 COLLEGE DR,ORANGE PARK,FL,32065,9998,,002205,S
SOUTHERN,4G,FLORIDA 1,320,32004,PONTE VEDRA BEACH,130 CORRIDOR RD,PONTE VEDRA BEACH,FL,32082,9998,P,Y22734,P
SOUTHERN,4G,FLORIDA 1,320,32006,FLEMING ISLAND,1880 EASTWEST PKWY,FLEMING ISLAND,FL,32003,9998,P,002434,B
SOUTHERN,4G,FLORIDA 1,320,32007,BOSTWICK,1132 N HIGHWAY 17,BOSTWICK,FL,32007,2100,P,Y21487,P
SOUTHERN,4G,FLORIDA 1,320,32008,BRANFORD,104 SUWANNEE AVE NW,BRANFORD,FL,32008,9998,,Y21503,P
SOUTHERN,4G,FLORIDA 1,320,32009,BRYCEVILLE,7875 US HIGHWAY 301,BRYCEVILLE,FL,32009,9998,,Y21519,P
SOUTHERN,4G,FLORIDA 1,320,32009,CALLAHAN,450054 STATE ROAD 200,CALLAHAN,FL,32011,9998,,Y21527,P
SOUTHERN,4G,FLORIDA 1,320,32011,CALLAHAN,450054 STATE ROAD 200,CALLAHAN,FL,32011,9998,,Y21527,P
SOUTHERN,4G,FLORIDA 1,320,32013,DAY,4573 N COUNTY ROAD 53,DAY,FL,32013,9998,P,Y21684,P
SOUTHERN,4G,FLORIDA 1,320,32024,LAKE CITY,250 NW MAIN BLVD,LAKE CITY,FL,32055,9998,,Y22191,P
SOUTHERN,4G,FLORIDA 1,320,32025,LAKE CITY,250 NW MAIN BLVD,LAKE CITY,FL,32055,9998,,Y22191,P
SOUTHERN,4G,FLORIDA 1,320,32030,RIDGEWOOD,225 COLLEGE DR,ORANGE PARK,FL,32065,9998,P,002205,S
SOUTHERN,4G,FLORIDA 1,320,32033,ELKTON,5785 COUNTY ROAD 305,ELKTON,FL,32033,9998,,Y21795,P
SOUTHERN,4G,FLORIDA 1,320,32034,FERNANDINA BEACH,1997 SADLER RD,FERNANDINA BEACH,FL,32034,9998,,Y21828,P
SOUTHERN,4G,FLORIDA 1,320,32035,FERNANDINA BEACH,1997 SADLER RD,FERNANDINA BEACH,FL,32034,9998,P,Y21828,P
SOUTHERN,4G,FLORIDA 1,320,32035,DOWNTOWN FERNANDINA BEACH,401 CENTRE ST,FERNANDINA BEACH,FL,32034,4288,P,000251,S
SOUTHERN,4G,FLORIDA 1,320,32038,FORT WHITE,318 SW HOLSTEIN AVE,FORT WHITE,FL,32038,3512,,Y21892,P
SOUTHERN,4G,FLORIDA 1,320,32040,GLEN SAINT MARY,7345 W MOUNT VERNON ST,GLEN SAINT MARY,FL,32040,9998,,Y21937,P
SOUTHERN,4G,FLORIDA 1,320,32041,YULEE,463063 STATE ROAD 200,YULEE,FL,32097,9998,P,Y23292,P
SOUTHERN,4G,FLORIDA 1,320,32042,GRAHAM,9847 SW 104TH AVE,GRAHAM,FL,32042,9998,P,Y21961,P
SOUTHERN,4G,FLORIDA 1,320,32043,GREEN COVE SPRINGS,500 PALMER ST,GREEN COVE SPRINGS,FL,32043,9998,,Y21969,P
SOUTHERN,4G,FLORIDA 1,320,32044,HAMPTON,5627 NAVARRE AVE,HAMPTON,FL,32044,9998,,Y22007,P
SOUTHERN,4G,FLORIDA 1,320,32044,STARKE,122 N WALNUT ST,STARKE,FL,32091,9998,,Y23016,P
SOUTHERN,4G,FLORIDA 1,320,32046,HILLIARD,551835 US HIGHWAY 1,HILLIARD,FL,32046,8823,,Y22044,P
SOUTHERN,4G,FLORIDA 1,320,32050,MIDDLEBURG,2073 PALMETTO ST,MIDDLEBURG,FL,32068,9998,P,Y22411,P
SOUTHERN,4G,FLORIDA 1,320,32052,JASPER,105 MARTIN LUTHER KING DR SE,JASPER,FL,32052,6689,,Y22137,P
SOUTHERN,4G,FLORIDA 1,320,32053,JENNINGS,1269 PLUM ST,JENNINGS,FL,32053,9998,,Y22144,P
SOUTHERN,4G,FLORIDA 1,320,32054,LAKE BUTLER,215 NW 1ST ST,LAKE BUTLER,FL,32054,9998,,Y22189,P
SOUTHERN,4G,FLORIDA 1,320,32055,LAKE CITY,250 NW MAIN BLVD,LAKE CITY,FL,32055,9998,,Y22191,P
SOUTHERN,4G,FLORIDA 1,320,32056,LAKE CITY,250 NW MAIN BLVD,LAKE CITY,FL,32055,9998,P,Y22191,P
SOUTHERN,4G,FLORIDA 1,320,32058,LAWTEY,22706 US HIGHWAY 301 N,LAWTEY,FL,32058,9998,,Y22249,P
SOUTHERN,4G,FLORIDA 1,320,32059,LEE,7760 E US HIGHWAY 90,LEE,FL,32059,5762,,Y22252,P
SOUTHERN,4G,FLORIDA 1,320,32060,LIVE OAK,1415 OHIO AVE N,LIVE OAK,FL,32064,9998,,Y22271,P
