area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,GEORGIA,300,30002,AVONDALE ESTATES,15 FRANKLIN ST,AVONDALE ESTATES,GA,30002,9998,,X10071,P
SOUTHERN,4G,GEORGIA,300,30002,CLARKSTON,977 MONTREAL RD,CLARKSTON,GA,30021,9998,,X10244,P
SOUTHERN,4G,GEORGIA,300,30003,ROCKBRIDGE,4771 BRITT RD STE G4,NORCROSS,GA,30093,9998,P,X11069,S
SOUTHERN,4G,GEORGIA,300,30004,ALPHARETTA CARRIER ANNEX,1295 BLUEGRASS LAKES PKWY STE A,ALPHARETTA,GA,30004,9998,,011685,4
SOUTHERN,4G,GEORGIA,300,30005,WEBB BRIDGE,4575 WEBB BRIDGE RD,ALPHARETTA,GA,30005,9998,,X1C394,S
SOUTHERN,4G,GEORGIA,300,30006,WINDY HILL,3000 WINDY HILL RD SE STE T5,MARIETTA,GA,30067,9997,P,X11393,S
SOUTHERN,4G,GEORGIA,300,30007,EAST COBB,1395 E COBB DR,MARIETTA,GA,30068,9997,P,X10822,S
SOUTHERN,4G,GEORGIA,300,30008,WESTSIDE CARRIER ANNEX,2024 MACLAND CROSSING CIR SW,MARIETTA,GA,30008,9998,,001331,4
SOUTHERN,4G,GEORGIA,300,30009,ALPHARETTA,2400 OLD MILTON PKWY,ALPHARETTA,GA,30009,9998,,X10024,P
SOUTHERN,4G,GEORGIA,300,30010,PEACHTREE CORNERS,5600 SPALDING DR,PEACHTREE CORNERS,GA,30092,9998,P,X10972,S
SOUTHERN,4G,GEORGIA,300,30011,AUBURN,19 COLLEGE ST,AUBURN,GA,30011,9998,,X10063,P
SOUTHERN,4G,GEORGIA,300,30011,DACULA,470 DACULA RD,DACULA,GA,30019,9998,,X10312,P
SOUTHERN,4G,GEORGIA,300,30012,OLDE TOWN,1007 GREEN ST SE,CONYERS,GA,30012,9998,,X10949,S
SOUTHERN,4G,GEORGIA,300,30013,CONYERS,1705 HIGHWAY 138 SE,CONYERS,GA,30013,9998,,X10280,P
SOUTHERN,4G,GEORGIA,300,30014,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30015,COVINGTON,2131 STALLINGS ST NW,COVINGTON,GA,30014,9998,P,X10289,P
SOUTHERN,4G,GEORGIA,300,30016,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30017,GRAYSON,516 SOSEBEE FARM RD,GRAYSON,GA,30017,9998,,X10556,P
SOUTHERN,4G,GEORGIA,300,30018,JERSEY,133 MAIN ST,JERSEY,GA,30018,9900,P,X10668,P
SOUTHERN,4G,GEORGIA,300,30019,DACULA,470 DACULA RD,DACULA,GA,30019,9998,,X10312,P
SOUTHERN,4G,GEORGIA,300,30021,CLARKSTON,977 MONTREAL RD,CLARKSTON,GA,30021,9998,,X10244,P
SOUTHERN,4G,GEORGIA,300,30022,WEBB BRIDGE,4575 WEBB BRIDGE RD,ALPHARETTA,GA,30005,9998,,X1C394,S
SOUTHERN,4G,GEORGIA,300,30023,WEBB BRIDGE,4575 WEBB BRIDGE RD,ALPHARETTA,GA,30005,9998,P,X1C394,S
SOUTHERN,4G,GEORGIA,300,30024,SUWANEE,990 PEACHTREE INDUSTRIAL BLVD,SUWANEE,GA,30024,9998,,X11242,P
SOUTHERN,4G,GEORGIA,300,30025,SOCIAL CIRCLE,125 W HIGHTOWER TRL,SOCIAL CIRCLE,GA,30025,9998,,X11160,P
SOUTHERN,4G,GEORGIA,300,30025,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30028,CUMMING,525 TRIBBLE GAP RD,CUMMING,GA,30040,9998,,X10308,P
SOUTHERN,4G,GEORGIA,300,30029,NORTH METRO,1605 BOGGS RD,DULUTH,GA,30096,8608,P,X10916,P
SOUTHERN,4G,GEORGIA,300,30030,DECATUR,520 W PONCE DE LEON AVE,DECATUR,GA,30030,9998,,X10333,P
SOUTHERN,4G,GEORGIA,300,30031,DECATUR,520 W PONCE DE LEON AVE,DECATUR,GA,30030,9998,P,X10333,P
SOUTHERN,4G,GEORGIA,300,30032,DECATUR,520 W PONCE DE LEON AVE,DECATUR,GA,30030,9998,,X10333,P
SOUTHERN,4G,GEORGIA,300,30033,DECATUR,520 W PONCE DE LEON AVE,DECATUR,GA,30030,9998,,X10333,P
SOUTHERN,4G,GEORGIA,300,30034,WESLEY CHAPEL,2724 WESLEY CHAPEL RD,DECATUR,GA,30034,9998,,X11359,S
SOUTHERN,4G,GEORGIA,300,30035,WESLEY CHAPEL,2724 WESLEY CHAPEL RD,DECATUR,GA,30034,9998,,X11359,S
SOUTHERN,4G,GEORGIA,300,30036,WESLEY CHAPEL,2724 WESLEY CHAPEL RD,DECATUR,GA,30034,9998,P,X11359,S
SOUTHERN,4G,GEORGIA,300,30037,SOUTH DEKALB,2853 CANDLER RD SIDE,DECATUR,GA,30034,9997,P,X11165,S
SOUTHERN,4G,GEORGIA,300,30038,LITHONIA,3035 STONE MOUNTAIN ST,LITHONIA,GA,30058,4412,,X10738,P
SOUTHERN,4G,GEORGIA,300,30039,CENTERVILLE BRANCH,3375 CENTERVILLE HWY,SNELLVILLE,GA,30039,9997,,000736,B
SOUTHERN,4G,GEORGIA,300,30040,CUMMING,525 TRIBBLE GAP RD,CUMMING,GA,30040,9998,,X10308,P
SOUTHERN,4G,GEORGIA,300,30041,LANIER CARRIER ANNEX,2530 IVY ST E,CUMMING,GA,30041,9998,,002088,4
SOUTHERN,4G,GEORGIA,300,30042,LAWRENCEVILLE,35 PATTERSON RD,LAWRENCEVILLE,GA,30044,4717,P,X10712,P
SOUTHERN,4G,GEORGIA,300,30043,LAWRENCEVILLE NORTH,1557 BUFORD DR,LAWRENCEVILLE,GA,30043,9998,,000986,B
SOUTHERN,4G,GEORGIA,300,30044,DULUTH GA SDC,1605 BOGGS RD,DULUTH,GA,30096,9922,,020870,4
SOUTHERN,4G,GEORGIA,300,30045,LAWRENCEVILLE CARRIER ANNEX,748 WINER INDUSTRIAL WAY,LAWRENCEVILLE,GA,30046,9997,,012480,4
SOUTHERN,4G,GEORGIA,300,30046,CROGAN STREET,121 E CROGAN ST,LAWRENCEVILLE,GA,30046,9998,,X10965,S
SOUTHERN,4G,GEORGIA,300,30047,LILBURN,4370 LAWRENCEVILLE HWY NW,LILBURN,GA,30047,1100,,X10730,P
SOUTHERN,4G,GEORGIA,300,30048,LILBURN,4370 LAWRENCEVILLE HWY NW,LILBURN,GA,30047,1100,P,X10730,P
SOUTHERN,4G,GEORGIA,300,30049,LAWRENCEVILLE NORTH,1557 BUFORD DR,LAWRENCEVILLE,GA,30043,9998,P,000986,B
SOUTHERN,4G,GEORGIA,300,30052,LOGANVILLE,4160 LOGAN DR,LOGANVILLE,GA,30052,9998,,X10745,P
SOUTHERN,4G,GEORGIA,300,30054,OXFORD,907 EMORY ST,OXFORD,GA,30054,9998,,X10957,P
SOUTHERN,4G,GEORGIA,300,30054,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30055,MANSFIELD,3 W 1ST ST,MANSFIELD,GA,30055,9998,,X10777,P
SOUTHERN,4G,GEORGIA,300,30055,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30056,NEWBORN,103 N JOHNSON ST,NEWBORN,GA,30056,9998,,X10892,P
SOUTHERN,4G,GEORGIA,300,30056,COVINGTON CARRIER ANNEX,10721 COVINGTON BY PASS RD,COVINGTON,GA,30014,9997,,000375,4
SOUTHERN,4G,GEORGIA,300,30058,LITHONIA,3035 STONE MOUNTAIN ST,LITHONIA,GA,30058,4412,,X10738,P
SOUTHERN,4G,GEORGIA,300,30060,MARIETTA,257 LAWRENCE ST NE,MARIETTA,GA,30060,9998,,X10781,P
SOUTHERN,4G,GEORGIA,300,30061,MARIETTA,257 LAWRENCE ST NE,MARIETTA,GA,30060,9998,P,X10781,P
SOUTHERN,4G,GEORGIA,300,30062,WEST OAK CARRIER ANNEX,1891 W OAK PKWY,MARIETTA,GA,30062,9998,,004288,4
SOUTHERN,4G,GEORGIA,300,30064,WESTSIDE CARRIER ANNEX,2024 MACLAND CROSSING CIR SW,MARIETTA,GA,30008,9998,,001331,4
SOUTHERN,4G,GEORGIA,300,30065,GRESHAM ROAD,1290 GRESHAM RD,MARIETTA,GA,30062,9997,P,X10568,S
SOUTHERN,4G,GEORGIA,300,30066,SPRAYBERRY,2886 SANDY PLAINS RD,MARIETTA,GA,30066,9998,,X11176,S
SOUTHERN,4G,GEORGIA,300,30067,MOUNT BETHEL,4455 LOWER ROSWELL RD,MARIETTA,GA,30068,9998,,X1C278,S
SOUTHERN,4G,GEORGIA,300,30068,MOUNT BETHEL,4455 LOWER ROSWELL RD,MARIETTA,GA,30068,9998,,X1C278,S
SOUTHERN,4G,GEORGIA,300,30070,PORTERDALE,2600 MAIN ST,PORTERDALE,GA,30070,0977,P,X11014,P
SOUTHERN,4G,GEORGIA,300,30071,DULUTH GA SDC,1605 BOGGS RD,DULUTH,GA,30096,9922,,020870,4
SOUTHERN,4G,GEORGIA,300,30072,PINE LAKE,4567 ROCKBRIDGE RD,PINE LAKE,GA,30072,4266,P,X10989,P
SOUTHERN,4G,GEORGIA,300,30074,REDAN,1544 WELLBORN RD STE 4,LITHONIA,GA,30058,9997,P,X11037,P
SOUTHERN,4G,GEORGIA,300,30075,CROSSTOWN CARRIER ANNEX,225 E CROSSVILLE RD,ROSWELL,GA,30075,9998,,X10628,4
SOUTHERN,4G,GEORGIA,300,30076,ROSWELL,8920 EVES RD,ROSWELL,GA,30076,9998,,X11085,P
SOUTHERN,4G,GEORGIA,300,30077,ROSWELL POSTAL STORE,10719 ALPHARETTA HWY,ROSWELL,GA,30076,2432,P,000447,S
SOUTHERN,4G,GEORGIA,300,30078,SNELLVILLE,2440 WISTERIA DR,SNELLVILLE,GA,30078,3326,,X11154,P
SOUTHERN,4G,GEORGIA,300,30078,CENTERVILLE BRANCH,3375 CENTERVILLE HWY,SNELLVILLE,GA,30039,9997,,000736,B
SOUTHERN,4G,GEORGIA,300,30079,CLARKSTON,977 MONTREAL RD,CLARKSTON,GA,30021,9998,,X10244,P
SOUTHERN,4G,GEORGIA,300,30079,SCOTTDALE,3328 E PONCE DE LEON AVE,SCOTTDALE,GA,30079,9998,,X11118,P
SOUTHERN,4G,GEORGIA,300,30080,SMYRNA,850 WINDY HILL RD SE,SMYRNA,GA,30080,1910,,X11152,P
SOUTHERN,4G,GEORGIA,300,30081,CONCORD SQUARE,3315 S COBB DR SE STE 700,SMYRNA,GA,30080,9997,P,X10278,S
SOUTHERN,4G,GEORGIA,300,30081,SMYRNA,850 WINDY HILL RD SE,SMYRNA,GA,30080,1910,P,X11152,P
SOUTHERN,4G,GEORGIA,300,30082,SMYRNA,850 WINDY HILL RD SE,SMYRNA,GA,30080,1910,,X11152,P
