area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,HAWAII,967,96910,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,,Z12077,B
WESTPAC,4E,HAWAII,967,96912,MOU #3 NAV CAMS WESPAC,297 NOYES ST,DEDEDO,GU,96929,9996,P,Z12092,S
WESTPAC,4E,HAWAII,967,96912,CPU DEDEDO NEW,144 W SANTA MONICA AVE STE 101,DEDEDO,GU,96929,5093,P,020519,5
WESTPAC,4E,HAWAII,967,96913,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,,Z12077,B
WESTPAC,4E,HAWAII,967,96915,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,,Z12077,B
WESTPAC,4E,HAWAII,967,96915,NAVAL STATION,4 CHAPEL RD BLDG 4,YONA,GU,96915,4799,,Z12094,S
WESTPAC,4E,HAWAII,967,96916,MERIZO,76 ROSARIO ST,MERIZO,GU,96915,1299,P,Z12087,C
WESTPAC,4E,HAWAII,967,96921,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,P,Z12077,B
WESTPAC,4E,HAWAII,967,96923,CPU UNIV OF GUAM,303 UNIVERSITY DR,MANGILAO,GU,96913,1800,P,Z17811,5
WESTPAC,4E,HAWAII,967,96928,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,P,Z12077,B
WESTPAC,4E,HAWAII,967,96929,ANDERSEN AFB,24018 CAROLINES AVE,YIGO,GU,96929,1600,,Z12074,S
WESTPAC,4E,HAWAII,967,96929,BARRIGADA,489 ARMY DR,BARRIGADA,GU,96913,9998,,Z12077,B
WESTPAC,4E,HAWAII,967,96929,CPU YIGO,244 GAYINERO DR,YIGO,GU,96929,2398,,Z12104,5
WESTPAC,4E,HAWAII,967,96931,TAMUNING,143 EDWARD T CALVO MEMORIAL PKWY,TAMUNING,GU,96913,3598,P,Z12100,B
WESTPAC,4E,HAWAII,967,96932,HAGATNA,223 W CHALAN SANTO PAPA,HAGATNA,GU,96910,9998,P,Z12069,P
