area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,HAWAII,967,96701,AIEA,99-040 KAUHALE ST,AIEA,HI,96701,9998,,Z12107,P
WESTPAC,4E,HAWAII,967,96701,PEARL CITY,950 KAMEHAMEHA HWY,PEARL CITY,HI,96782,9998,,Z12311,P
WESTPAC,4E,HAWAII,967,96703,ANAHOLA,4-4350 KUHIO HWY,ANAHOLA,HI,96703,9997,P,Z12112,P
WESTPAC,4E,HAWAII,967,96704,CAPTAIN COOK,82-6110 MAMALAHOA HWY,CAPTAIN COOK,HI,96704,9998,,Z12124,P
WESTPAC,4E,HAWAII,967,96704,KEALAKEKUA,81-990 HALEKII ST,KEALAKEKUA,HI,96750,9998,,Z12228,P
WESTPAC,4E,HAWAII,967,96705,ELEELE,4485 WAIALO RD,ELEELE,HI,96705,9997,P,Z12136,P
WESTPAC,4E,HAWAII,967,96706,EWA BEACH,91-760 PAPIPI RD,EWA BEACH,HI,96706,9998,,Z12138,P
WESTPAC,4E,HAWAII,967,96706,EWA STATION,91-1202 RENTON RD,EWA BEACH,HI,96706,1999,,Z12139,S
WESTPAC,4E,HAWAII,967,96707,BARBERS POINT,91-1049 LEXINGTON ST,KAPOLEI,HI,96707,9996,,Z12118,B
WESTPAC,4E,HAWAII,967,96707,WAIPAHU,94-245 LEOKU ST,WAIPAHU,HI,96797,9998,,Z12368,P
WESTPAC,4E,HAWAII,967,96708,HAIKU,770 HAIKU RD,HAIKU,HI,96708,9998,,Z12147,P
WESTPAC,4E,HAWAII,967,96709,KAPOLEI,1001 KAMOKILA BLVD STE 115,KAPOLEI,HI,96707,9997,P,Z18776,S
WESTPAC,4E,HAWAII,967,96710,HONOMU,28-171 HONOMU RD,HONOMU,HI,96728,9997,P,Z12189,P
WESTPAC,4E,HAWAII,967,96712,HALEIWA,66-437 KAMEHAMEHA HWY STE 102,HALEIWA,HI,96712,9998,,Z12150,P
WESTPAC,4E,HAWAII,967,96712,WAIALUA,67-079 NAUAHI ST,WAIALUA,HI,96791,9998,,Z12356,P
WESTPAC,4E,HAWAII,967,96713,HANA,1 MILL ST,HANA,HI,96713,9997,,Z12152,P
WESTPAC,4E,HAWAII,967,96714,HANALEI,5-5226 KUHIO HWY,HANALEI,HI,96714,9997,P,Z12153,P
WESTPAC,4E,HAWAII,967,96715,LIHUE,4441 RICE ST,LIHUE,HI,96766,9998,P,Z12259,P
WESTPAC,4E,HAWAII,967,96716,HANAPEPE,3817 KOULA RD,HANAPEPE,HI,96716,9995,P,Z12155,P
WESTPAC,4E,HAWAII,967,96717,HAUULA,54-316 KAMEHAMEHA HWY,HAUULA,HI,96717,9998,,Z12156,P
WESTPAC,4E,HAWAII,967,96718,HAWAII NATIONAL PARK,1 KILAUEA MILITARY CP,HAWAII NATIONAL PARK,HI,96718,9997,P,Z12160,P
WESTPAC,4E,HAWAII,967,96719,HAWI,55-515 HAWI RD,HAWI,HI,96719,9997,P,Z12165,P
WESTPAC,4E,HAWAII,967,96720,HILO,1299 KEKUANAOA ST,HILO,HI,96720,9998,,Z12171,P
WESTPAC,4E,HAWAII,967,96721,DOWNTOWN HILO,154 WAIANUENUE AVE STE 1,HILO,HI,96720,2452,P,Z12128,S
WESTPAC,4E,HAWAII,967,96722,KILAUEA,2585 ALA NAMAHANA PKWY,KILAUEA,HI,96754,5389,,Z12236,P
WESTPAC,4E,HAWAII,967,96722,PRINCEVILLE,5-4280 KUHIO HWY,PRINCEVILLE,HI,96722,5438,,Z12324,B
WESTPAC,4E,HAWAII,967,96725,HOLUALOA,76-5921 MAMALAHOA HWY,HOLUALOA,HI,96725,9998,,Z12177,P
WESTPAC,4E,HAWAII,967,96726,HONAUNAU,84-4840 CITY OF REFUGE RD,HONAUNAU,HI,96726,9997,P,Z12179,P
WESTPAC,4E,HAWAII,967,96727,HONOKAA,45-490 LEHUA ST,HONOKAA,HI,96727,9998,,Z12182,P
WESTPAC,4E,HAWAII,967,96727,KUKUIHAELE,48-5300 KUKUIHAELE RD,HONOKAA,HI,96727,7211,,Z12246,B
WESTPAC,4E,HAWAII,967,96728,HONOMU,28-171 HONOMU RD,HONOMU,HI,96728,9997,P,Z12189,P
WESTPAC,4E,HAWAII,967,96729,HOOLEHUA,69-2 PUUPEELUA AVE,HOOLEHUA,HI,96729,9997,P,Z12190,P
WESTPAC,4E,HAWAII,967,96730,KAAAWA,51-480 KAMEHAMEHA HWY STE 101,KAAAWA,HI,96730,9998,,Z12195,P
WESTPAC,4E,HAWAII,967,96731,KAHUKU,56-565 KAMEHAMEHA HWY,KAHUKU,HI,96731,9998,,Z12197,P
