area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,IA-NE-SD,500,50002,ADAIR,317 AUDUBON ST,ADAIR,IA,50002,7711,,W10004,P
CENTRAL,4J,IA-NE-SD,500,50003,ADEL,904 NILE KINNICK DR S,ADEL,IA,50003,9998,,W10007,P
CENTRAL,4J,IA-NE-SD,500,50005,ALBION,103 W BROWN ST,ALBION,IA,50005,7781,,W10017,P
CENTRAL,4J,IA-NE-SD,500,50006,ALDEN,1223 WATER ST,ALDEN,IA,50006,9997,,W10019,P
CENTRAL,4J,IA-NE-SD,500,50006,IOWA FALLS,401 MAIN ST,IOWA FALLS,IA,50126,2203,,W10744,P
CENTRAL,4J,IA-NE-SD,500,50007,ALLEMAN,14172 NE 6TH ST,ALLEMAN,IA,50007,7702,,W10022,P
CENTRAL,4J,IA-NE-SD,500,50008,ALLERTON,108 N CENTRAL AVE,ALLERTON,IA,50008,7726,,W10024,P
CENTRAL,4J,IA-NE-SD,500,50009,ALTOONA,300 8TH ST SE,ALTOONA,IA,50009,9998,,W10032,P
CENTRAL,4J,IA-NE-SD,500,50009,PLEASANT HILL,1300 NE 56TH ST,DES MOINES,IA,50317,7073,,W11242,B
CENTRAL,4J,IA-NE-SD,500,50010,AMES,525 KELLOGG AVE,AMES,IA,50010,9998,,W10040,P
CENTRAL,4J,IA-NE-SD,500,50014,AMES,525 KELLOGG AVE,AMES,IA,50010,9998,,W10040,P
CENTRAL,4J,IA-NE-SD,500,50014,CYCLONE STATION,119 STANTON AVE STE 101,AMES,IA,50014,2531,,018658,S
CENTRAL,4J,IA-NE-SD,500,50020,ANITA,906 MAIN ST,ANITA,IA,50020,1056,,W10045,P
CENTRAL,4J,IA-NE-SD,500,50021,ANKENY,1011 N ANKENY BLVD,ANKENY,IA,50023,9998,,W10046,P
CENTRAL,4J,IA-NE-SD,500,50022,ATLANTIC,20 E 5TH ST,ATLANTIC,IA,50022,6400,,W10068,P
CENTRAL,4J,IA-NE-SD,500,50023,ANKENY,1011 N ANKENY BLVD,ANKENY,IA,50023,9998,,W10046,P
CENTRAL,4J,IA-NE-SD,500,50025,AUDUBON,428 TRACY ST,AUDUBON,IA,50025,1228,,W10071,P
CENTRAL,4J,IA-NE-SD,500,50026,BAGLEY,213 MAIN ST,BAGLEY,IA,50026,1015,,W10083,P
CENTRAL,4J,IA-NE-SD,500,50027,BARNES CITY,610 SPRUCE ST,BARNES CITY,IA,50027,9000,,W10090,P
CENTRAL,4J,IA-NE-SD,500,50028,BAXTER,105 E STATE ST,BAXTER,IA,50028,7771,,W10098,P
CENTRAL,4J,IA-NE-SD,500,50029,BAYARD,300 MAIN ST,BAYARD,IA,50029,1019,,W10099,P
CENTRAL,4J,IA-NE-SD,500,50031,BEAVER,117 3RD ST,BEAVER,IA,50031,7700,P,W10103,P
CENTRAL,4J,IA-NE-SD,500,50032,BERWICK,5760 NE BERWICK DR,BERWICK,IA,50032,7700,P,W10123,P
CENTRAL,4J,IA-NE-SD,500,50034,BLAIRSBURG,512 LAKE ST,BLAIRSBURG,IA,50034,7717,,W10132,P
CENTRAL,4J,IA-NE-SD,500,50035,BONDURANT,89 PAINE ST SE,BONDURANT,IA,50035,1052,,W10147,P
CENTRAL,4J,IA-NE-SD,500,50036,BOONE,815 ARDEN ST,BOONE,IA,50036,2923,,W10148,P
CENTRAL,4J,IA-NE-SD,500,50037,BOONE,815 ARDEN ST,BOONE,IA,50036,2923,P,W10148,P
CENTRAL,4J,IA-NE-SD,500,50038,BOONEVILLE,31080 MAIN ST,BOONEVILLE,IA,50038,7707,,W10149,P
CENTRAL,4J,IA-NE-SD,500,50039,BOUTON,108 E 1ST ST,BOUTON,IA,50039,7704,,W10151,P
CENTRAL,4J,IA-NE-SD,500,50040,BOXHOLM,402 2ND ST,BOXHOLM,IA,50040,7700,P,W10152,P
