area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,ID-MT-OR,970,83201,POCATELLO,730 E CLARK ST,POCATELLO,ID,83201,9998,,Z12819,P
WESTPAC,4E,ID-MT-OR,970,83202,POCATELLO,730 E CLARK ST,POCATELLO,ID,83201,9998,,Z12819,P
WESTPAC,4E,ID-MT-OR,970,83202,GATEWAY STATION,1750 FLANDRO DR,POCATELLO,ID,83202,1944,,Z18921,S
WESTPAC,4E,ID-MT-OR,970,83203,CPU FORT HALL,100 TRADING POST COMPLEX,FORT HALL,ID,83203,9998,P,Z12562,5
WESTPAC,4E,ID-MT-OR,970,83204,BANNOCK,102 S MAIN ST,POCATELLO,ID,83204,9998,,Z12410,S
WESTPAC,4E,ID-MT-OR,970,83204,POCATELLO,730 E CLARK ST,POCATELLO,ID,83201,9998,,Z12819,P
WESTPAC,4E,ID-MT-OR,970,83205,POCATELLO,730 E CLARK ST,POCATELLO,ID,83201,9998,P,Z12819,P
WESTPAC,4E,ID-MT-OR,970,83206,GATEWAY STATION,1750 FLANDRO DR,POCATELLO,ID,83202,1944,P,Z18921,S
WESTPAC,4E,ID-MT-OR,970,83210,ABERDEEN,82 W CENTRAL AVE,ABERDEEN,ID,83210,9998,,Z12376,P
WESTPAC,4E,ID-MT-OR,970,83211,AMERICAN FALLS,136 IDAHO ST,AMERICAN FALLS,ID,83211,9998,,Z12388,P
WESTPAC,4E,ID-MT-OR,970,83212,ARBON,4351 ARBON VALLEY HWY,ARBON,ID,83212,9998,,Z12396,P
WESTPAC,4E,ID-MT-OR,970,83213,ARCO,147 LOST RIVER AVE,ARCO,ID,83213,9998,,Z12398,P
WESTPAC,4E,ID-MT-OR,970,83214,ARIMO,25 N MEADOWVIEW ST,ARIMO,ID,83214,9998,,Z12400,P
WESTPAC,4E,ID-MT-OR,970,83217,BANCROFT,11 S MAIN ST,BANCROFT,ID,83217,9998,,Z12407,P
WESTPAC,4E,ID-MT-OR,970,83218,BASALT,678 E 825 N,BASALT,ID,83218,9998,P,Z12412,P
WESTPAC,4E,ID-MT-OR,970,83221,BLACKFOOT,165 W PACIFIC ST,BLACKFOOT,ID,83221,9998,,Z12424,P
WESTPAC,4E,ID-MT-OR,970,83223,BLOOMINGTON,11 N MAIN ST,BLOOMINGTON,ID,83223,9998,P,Z12427,P
