area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,ILLINOIS 1,606,60002,ANTIOCH,420 ORCHARD ST,ANTIOCH,IL,60002,3135,,W11865,P
CENTRAL,4J,ILLINOIS 1,606,60002,LAKE VILLA,206 CEDAR AVE,LAKE VILLA,IL,60046,8448,,W13619,P
CENTRAL,4J,ILLINOIS 1,606,60004,ARLINGTON HEIGHTS,909 W EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,9998,,W11888,P
CENTRAL,4J,ILLINOIS 1,606,60005,ARLINGTON HEIGHTS,909 W EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,9998,,W11888,P
CENTRAL,4J,ILLINOIS 1,606,60006,ARLINGTON HEIGHTS,909 W EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,9998,P,W11888,P
CENTRAL,4J,ILLINOIS 1,606,60007,ELK GROVE VILLAGE,611 LANDMEIER RD,ELK GROVE VILLAGE,IL,60007,4765,,W12839,B
CENTRAL,4J,ILLINOIS 1,606,60008,ARLINGTON HEIGHTS,909 W EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,9998,,W11888,P
CENTRAL,4J,ILLINOIS 1,606,60009,ELK GROVE VILLAGE,611 LANDMEIER RD,ELK GROVE VILLAGE,IL,60007,4765,P,W12839,B
CENTRAL,4J,ILLINOIS 1,606,60010,BARRINGTON,1515 S GROVE AVE,BARRINGTON,IL,60010,5268,,W11967,P
CENTRAL,4J,ILLINOIS 1,606,60011,BARRINGTON,1515 S GROVE AVE,BARRINGTON,IL,60010,5268,P,W11967,P
CENTRAL,4J,ILLINOIS 1,606,60011,DOWNTOWN BARRINGTON,106 BARRINGTON COMMONS CT,BARRINGTON,IL,60010,3222,P,W11968,S
CENTRAL,4J,ILLINOIS 1,606,60012,CRYSTAL LAKE,301 E CONGRESS PKWY,CRYSTAL LAKE,IL,60014,6286,,W12558,P
CENTRAL,4J,ILLINOIS 1,606,60013,CARY,2707 3 OAKS RD,CARY,IL,60013,9998,,W12313,P
CENTRAL,4J,ILLINOIS 1,606,60014,CRYSTAL LAKE,301 E CONGRESS PKWY,CRYSTAL LAKE,IL,60014,6286,,W12558,P
CENTRAL,4J,ILLINOIS 1,606,60015,DEERFIELD,707 OSTERMAN AVE,DEERFIELD,IL,60015,4421,,W12612,P
CENTRAL,4J,ILLINOIS 1,606,60016,DES PLAINES,1000 E OAKTON ST,DES PLAINES,IL,60018,6318,,W12634,P
CENTRAL,4J,ILLINOIS 1,606,60016,DOWNTOWN DES PLAINES,684 LEE ST,DES PLAINES,IL,60016,4579,,W12635,S
CENTRAL,4J,ILLINOIS 1,606,60017,DES PLAINES,1000 E OAKTON ST,DES PLAINES,IL,60018,6318,P,W12634,P
CENTRAL,4J,ILLINOIS 1,606,60018,DES PLAINES,1000 E OAKTON ST,DES PLAINES,IL,60018,6318,,W12634,P
CENTRAL,4J,ILLINOIS 1,606,60018,ROSEMONT BRANCH,9507 W HIGGINS RD,ROSEMONT,IL,60018,4934,,015363,B
CENTRAL,4J,ILLINOIS 1,606,60020,FOX LAKE,33 E GRAND AVE,FOX LAKE,IL,60020,1449,,W13010,P
CENTRAL,4J,ILLINOIS 1,606,60020,ROUND LAKE,1940 N MUNICIPAL WAY,ROUND LAKE,IL,60073,4957,,W14712,P
CENTRAL,4J,ILLINOIS 1,606,60021,FOX RIVER GROVE,938 IL ROUTE 22,FOX RIVER GROVE,IL,60021,1918,,W13014,P
CENTRAL,4J,ILLINOIS 1,606,60022,GLENCOE,336 HAZEL AVE,GLENCOE,IL,60022,2600,,W13119,P
CENTRAL,4J,ILLINOIS 1,606,60025,GLENVIEW,1400 PATRIOT BLVD,GLENVIEW,IL,60026,7702,,W13125,P
CENTRAL,4J,ILLINOIS 1,606,60026,GLENVIEW,1400 PATRIOT BLVD,GLENVIEW,IL,60026,7702,,W13125,P
CENTRAL,4J,ILLINOIS 1,606,60029,GOLF,1 BRIAR RD,GOLF,IL,60029,9998,P,W13139,P
CENTRAL,4J,ILLINOIS 1,606,60030,GRAYSLAKE,75 COMMERCE DR,GRAYSLAKE,IL,60030,9998,,W13177,P
CENTRAL,4J,ILLINOIS 1,606,60031,GURNEE,1 N OPLAINE RD,GURNEE,IL,60031,2601,,W13209,P
CENTRAL,4J,ILLINOIS 1,606,60033,HARVARD,300 N EASTMAN ST,HARVARD,IL,60033,2760,,W13259,P
CENTRAL,4J,ILLINOIS 1,606,60034,HEBRON,9912 ILLINOIS ST,HEBRON,IL,60034,8912,,W13279,P
CENTRAL,4J,ILLINOIS 1,606,60035,HIGHLAND PARK,833 CENTRAL AVE,HIGHLAND PARK,IL,60035,3266,,W13313,P
CENTRAL,4J,ILLINOIS 1,606,60039,CRYSTAL LAKE,301 E CONGRESS PKWY,CRYSTAL LAKE,IL,60014,6286,P,W12558,P
CENTRAL,4J,ILLINOIS 1,606,60040,HIGHWOOD,130 HIGHWOOD AVE,HIGHWOOD,IL,60040,1540,,W13320,P
CENTRAL,4J,ILLINOIS 1,606,60041,INGLESIDE,604 ROLLINS RD,INGLESIDE,IL,60041,1000,,W13442,P
CENTRAL,4J,ILLINOIS 1,606,60041,ROUND LAKE,1940 N MUNICIPAL WAY,ROUND LAKE,IL,60073,4957,,W14712,P
CENTRAL,4J,ILLINOIS 1,606,60042,ISLAND LAKE,129 E STATE RD,ISLAND LAKE,IL,60042,1000,,W13458,P
CENTRAL,4J,ILLINOIS 1,606,60043,KENILWORTH,408 GREEN BAY RD,KENILWORTH,IL,60043,1098,,W13536,P
CENTRAL,4J,ILLINOIS 1,606,60043,WILMETTE,1241 CENTRAL AVE,WILMETTE,IL,60091,2571,,W15553,P
CENTRAL,4J,ILLINOIS 1,606,60044,LAKE BLUFF,26 E SCRANTON AVE,LAKE BLUFF,IL,60044,1788,,W13602,P
