area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,OHIO 2,450,45390,UNION CITY,102 W PEARL ST,UNION CITY,IN,47390,9998,,X13888,P
CENTRAL,4J,INDIANA,460,46001,ALEXANDRIA,205 W CHURCH ST,ALEXANDRIA,IN,46001,9998,,X11435,P
CENTRAL,4J,INDIANA,460,46011,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46012,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46013,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46015,ANDERSON,1001 MAIN ST,ANDERSON,IN,46016,9997,P,X11512,S
CENTRAL,4J,INDIANA,460,46016,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46017,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46017,CHESTERFIELD,7 N WASHINGTON ST,ANDERSON,IN,46017,9998,,X11838,B
CENTRAL,4J,INDIANA,460,46018,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,P,X11453,P
CENTRAL,4J,INDIANA,460,46030,ARCADIA,104 N WASHINGTON ST,ARCADIA,IN,46030,9998,,X11469,P
CENTRAL,4J,INDIANA,460,46030,CICERO,69 WASHINGTON AVE,CICERO,IN,46034,9998,,X11851,P
CENTRAL,4J,INDIANA,460,46031,ATLANTA,150 W MAIN ST,ATLANTA,IN,46031,9998,,X11495,P
CENTRAL,4J,INDIANA,460,46031,TIPTON,203 E JEFFERSON ST,TIPTON,IN,46072,9998,,X13848,P
CENTRAL,4J,INDIANA,460,46032,CARMEL,275 MEDICAL DR,CARMEL,IN,46032,9998,,X11782,P
CENTRAL,4J,INDIANA,460,46033,CARMEL,275 MEDICAL DR,CARMEL,IN,46032,9998,,X11782,P
CENTRAL,4J,INDIANA,460,46034,CICERO,69 WASHINGTON AVE,CICERO,IN,46034,9998,,X11851,P
CENTRAL,4J,INDIANA,460,46035,COLFAX,114 W MAIN ST,COLFAX,IN,46035,9998,,X11901,P
CENTRAL,4J,INDIANA,460,46036,ELWOOD,119 N ANDERSON ST,ELWOOD,IN,46036,9998,,X12142,P
CENTRAL,4J,INDIANA,460,46037,FISHERS,8500 E 116TH ST,FISHERS,IN,46038,9998,,X12200,P
CENTRAL,4J,INDIANA,460,46038,FISHERS,8500 E 116TH ST,FISHERS,IN,46038,9998,,X12200,P
CENTRAL,4J,INDIANA,460,46039,FOREST,9333 E COUNTY ROAD 600 N,FOREST,IN,46039,9998,,X12216,P
CENTRAL,4J,INDIANA,460,46039,KOKOMO IN S&DC,2719 S WEBSTER ST,KOKOMO,IN,46902,9960,,020512,4
CENTRAL,4J,INDIANA,460,46040,FORTVILLE,101 S MAIN ST,FORTVILLE,IN,46040,9998,,X12226,P
CENTRAL,4J,INDIANA,460,46041,FRANKFORT,100 WASHINGTON AVE,FRANKFORT,IN,46041,9998,,X12242,P
CENTRAL,4J,INDIANA,460,46044,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46044,FRANKTON,106 E SIGLER ST,FRANKTON,IN,46044,9998,,X12250,P
CENTRAL,4J,INDIANA,460,46047,HOBBS,3484 E 150 S,HOBBS,IN,46047,9998,P,X12494,P
CENTRAL,4J,INDIANA,460,46048,INGALLS,151 W BROADWAY ST,INGALLS,IN,46048,9998,,X12564,P
CENTRAL,4J,INDIANA,460,46049,KEMPTON,101 S WEST ST,KEMPTON,IN,46049,9998,,X12632,P
CENTRAL,4J,INDIANA,460,46050,KIRKLIN,102 S OHIO ST,KIRKLIN,IN,46050,9998,,X12656,P
CENTRAL,4J,INDIANA,460,46051,ANDERSON,1505 RAIBLE AVE,ANDERSON,IN,46011,9998,,X11453,P
CENTRAL,4J,INDIANA,460,46051,LAPEL,803 N MAIN ST,LAPEL,IN,46051,9998,,X12723,P
CENTRAL,4J,INDIANA,460,46052,LEBANON,304 W MAIN ST,LEBANON,IN,46052,9998,,X12737,P
CENTRAL,4J,INDIANA,460,46055,MCCORDSVILLE,7397 N 600 W STE 1000,MCCORDSVILLE,IN,46055,9998,,X12884,P
