area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,KS-MO,630,66002,ATCHISON,621 KANSAS AVE,ATCHISON,KS,66002,9998,,W20074,P
CENTRAL,4J,KS-MO,630,66006,BALDWIN CITY,702 HIGH ST,BALDWIN CITY,KS,66006,9998,,W20097,P
CENTRAL,4J,KS-MO,630,66007,BASEHOR,2402 N 155TH ST,BASEHOR,KS,66007,9998,,W20112,P
CENTRAL,4J,KS-MO,630,66008,BENDENA,206 COMMERCIAL ST,BENDENA,KS,66008,9998,,W20145,P
CENTRAL,4J,KS-MO,630,66010,BLUE MOUND,409 E MAIN ST,BLUE MOUND,KS,66010,9998,,W20183,P
CENTRAL,4J,KS-MO,630,66010,PLEASANTON,1004 MAIN ST,PLEASANTON,KS,66075,9998,,W21230,P
CENTRAL,4J,KS-MO,630,66012,BONNER SPRINGS,135 CEDAR AVE,BONNER SPRINGS,KS,66012,9998,,W20193,P
CENTRAL,4J,KS-MO,630,66013,BUCYRUS,112 4TH AVE,BUCYRUS,KS,66013,9998,,W20232,P
CENTRAL,4J,KS-MO,630,66013,STILWELL,19800 METCALF AVE,STILWELL,KS,66085,9998,,W21563,P
CENTRAL,4J,KS-MO,630,66014,CENTERVILLE,206 E MARKET ST,CENTERVILLE,KS,66014,9998,,W20302,P
CENTRAL,4J,KS-MO,630,66015,COLONY,206 E BROAD ST,COLONY,KS,66015,9998,,W20361,P
CENTRAL,4J,KS-MO,630,66015,GARNETT,304 S OAK ST,GARNETT,KS,66032,9998,,W20592,P
CENTRAL,4J,KS-MO,630,66016,ATCHISON,621 KANSAS AVE,ATCHISON,KS,66002,9998,,W20074,P
CENTRAL,4J,KS-MO,630,66016,CUMMINGS,13906 FRONT ST,CUMMINGS,KS,66016,9998,,W20400,P
CENTRAL,4J,KS-MO,630,66017,DENTON,506 MAIN ST,DENTON,KS,66017,9998,,W20426,P
CENTRAL,4J,KS-MO,630,66017,TROY,205 S MAIN ST,TROY,KS,66087,9998,,W21627,P
CENTRAL,4J,KS-MO,630,66018,DE SOTO,33155 W 83RD ST,DE SOTO,KS,66018,9998,,W20413,P
CENTRAL,4J,KS-MO,630,66020,EASTON,220 W RILEY ST,EASTON,KS,66020,9998,,W20467,P
CENTRAL,4J,KS-MO,630,66020,OSKALOOSA,302 WASHINGTON ST,OSKALOOSA,KS,66066,9998,,W21161,P
CENTRAL,4J,KS-MO,630,66021,EDGERTON,328 E NELSON ST,EDGERTON,KS,66021,9998,,W20470,P
CENTRAL,4J,KS-MO,630,66021,GARDNER,18325 S GARDNER RD,GARDNER,KS,66030,9998,,W20588,P
CENTRAL,4J,KS-MO,630,66023,EFFINGHAM,407 MAIN ST,EFFINGHAM,KS,66023,9998,,W20477,P
