area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,LOUISIANA,700,70001,JOHNSON STREET,3517 JOHNSON ST,METAIRIE,LA,70001,5100,,Y23927,S
SOUTHERN,4G,LOUISIANA,700,70002,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70003,PARK MANOR,6550 PARK MANOR DR,METAIRIE,LA,70003,3900,,Y24290,S
SOUTHERN,4G,LOUISIANA,700,70004,JOHNSON STREET,3517 JOHNSON ST,METAIRIE,LA,70001,5100,P,Y23927,S
SOUTHERN,4G,LOUISIANA,700,70005,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70006,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70009,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,P,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70010,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,P,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70011,METAIRIE,3301 17TH ST,METAIRIE,LA,70002,9998,P,Y24128,P
SOUTHERN,4G,LOUISIANA,700,70030,DES ALLEMANDS,17242 HIGHWAY 90,DES ALLEMANDS,LA,70030,9998,,Y23616,P
SOUTHERN,4G,LOUISIANA,700,70031,AMA,10833 RIVER RD,AMA,LA,70031,9998,,Y23320,P
SOUTHERN,4G,LOUISIANA,700,70032,ARABI,748 MEHLE ST,ARABI,LA,70032,1100,,Y23331,P
SOUTHERN,4G,LOUISIANA,700,70032,CHALMETTE,3340 PARIS RD,CHALMETTE,LA,70043,9998,,Y23517,P
SOUTHERN,4G,LOUISIANA,700,70033,PARK MANOR FINANCE,7044 VETERANS MEMORIAL BLVD,METAIRIE,LA,70003,4467,P,Y24291,S
SOUTHERN,4G,LOUISIANA,700,70036,BARATARIA,4164 PRIVATEER BLVD,BARATARIA,LA,70036,9998,,Y23360,P
SOUTHERN,4G,LOUISIANA,700,70036,LAFITTE,2630 JEAN LAFITTE BLVD,LAFITTE,LA,70067,9998,,Y23987,P
SOUTHERN,4G,LOUISIANA,700,70037,BELLE CHASSE,8710 HIGHWAY 23,BELLE CHASSE,LA,70037,2228,,Y23387,P
SOUTHERN,4G,LOUISIANA,700,70038,BURAS,37823 HIGHWAY 23,BURAS,LA,70041,5807,P,Y23459,P
SOUTHERN,4G,LOUISIANA,700,70039,BOUTTE,13322 HIGHWAY 90,BOUTTE,LA,70039,9998,,Y23435,P
SOUTHERN,4G,LOUISIANA,700,70039,LULING,1363 PAUL MAILLARD RD,LULING,LA,70070,9998,,Y24075,P
SOUTHERN,4G,LOUISIANA,700,70040,BRAITHWAITE,2729 ENGLISH TURN RD,BRAITHWAITE,LA,70040,9998,,Y23437,P
SOUTHERN,4G,LOUISIANA,700,70041,BURAS,37823 HIGHWAY 23,BURAS,LA,70041,5807,,Y23459,P
SOUTHERN,4G,LOUISIANA,700,70043,CHALMETTE,3340 PARIS RD,CHALMETTE,LA,70043,9998,,Y23517,P
SOUTHERN,4G,LOUISIANA,700,70044,CHALMETTE,3340 PARIS RD,CHALMETTE,LA,70043,9998,P,Y23517,P
SOUTHERN,4G,LOUISIANA,700,70047,DESTREHAN,13 PLANTATION RD,DESTREHAN,LA,70047,9998,,Y23617,P
SOUTHERN,4G,LOUISIANA,700,70049,EDGARD,2447 HIGHWAY 18,EDGARD,LA,70049,9998,,Y23663,P
SOUTHERN,4G,LOUISIANA,700,70050,BURAS,37823 HIGHWAY 23,BURAS,LA,70041,5807,P,Y23459,P
