area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,MA-RI,020,01001,AGAWAM,600 SUFFIELD ST,AGAWAM,MA,01001,9998,,V21399,P
ATLANTIC,4B,MA-RI,020,01002,AMHERST,145 UNIVERSITY DR,AMHERST,MA,01002,9998,,V21413,P
ATLANTIC,4B,MA-RI,020,01004,AMHERST,145 UNIVERSITY DR,AMHERST,MA,01002,9998,P,V21413,P
ATLANTIC,4B,MA-RI,020,01004,NORTH PLEASANT ST,141 N PLEASANT ST,AMHERST,MA,01002,9997,P,001136,S
ATLANTIC,4B,MA-RI,020,01005,BARRE,500 SOUTH ST,BARRE,MA,01005,9998,,V21458,P
ATLANTIC,4B,MA-RI,020,01007,BELCHERTOWN,35 MAIN ST,BELCHERTOWN,MA,01007,9998,,V21473,P
ATLANTIC,4B,MA-RI,020,01008,BLANDFORD,102 MAIN ST,BLANDFORD,MA,01008,9998,,V21495,P
ATLANTIC,4B,MA-RI,020,01009,BONDSVILLE,3069 MAIN ST,BONDSVILLE,MA,01009,9998,P,V21502,P
ATLANTIC,4B,MA-RI,020,01010,BRIMFIELD,1 MAIN ST,BRIMFIELD,MA,01010,9998,,V21552,P
ATLANTIC,4B,MA-RI,020,01011,CHESTER,309 ROUTE 20,CHESTER,MA,01011,9998,,V21612,P
ATLANTIC,4B,MA-RI,020,01011,HUNTINGTON,16 RUSSELL RD,HUNTINGTON,MA,01050,9998,,V21918,P
ATLANTIC,4B,MA-RI,020,01012,CHESTERFIELD,6A SOUTH ST,CHESTERFIELD,MA,01012,9998,,V21613,P
ATLANTIC,4B,MA-RI,020,01013,CHICOPEE,28 MAIN ST,CHICOPEE,MA,01020,9998,,V21617,P
ATLANTIC,4B,MA-RI,020,01014,CHICOPEE CENTER,100 CENTER ST,CHICOPEE,MA,01013,9998,P,V21619,S
ATLANTIC,4B,MA-RI,020,01020,CHICOPEE,28 MAIN ST,CHICOPEE,MA,01020,9998,,V21617,P
