area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,DE-PA 2,190,19964,MARYDEL,114 HALLTOWN RD,MARYDEL,MD,21649,9998,,V23935,P
ATLANTIC,4B,MARYLAND,200,20020,ANACOSTIA CARRIER ANNEX,3719 BRANCH AVE,TEMPLE HILLS,MD,20748,9993,,006783,4
ATLANTIC,4B,MARYLAND,200,20601,WALDORF MD SDC,110 PAUL MELLON CT,WALDORF,MD,20602,9900,,021023,4
ATLANTIC,4B,MARYLAND,200,20602,WALDORF MD SDC,110 PAUL MELLON CT,WALDORF,MD,20602,9900,,021023,4
ATLANTIC,4B,MARYLAND,200,20603,SAINT CHARLES CENTER,11110 MALL CIR,WALDORF,MD,20603,4803,,V24324,S
ATLANTIC,4B,MARYLAND,200,20603,WALDORF MD SDC,110 PAUL MELLON CT,WALDORF,MD,20602,9900,,021023,4
ATLANTIC,4B,MARYLAND,200,20604,WALDORF,150 POST OFFICE RD,WALDORF,MD,20602,9996,P,V24586,P
ATLANTIC,4B,MARYLAND,200,20606,ABELL,21388 ABELL RD,ABELL,MD,20606,9998,,V22872,P
ATLANTIC,4B,MARYLAND,200,20607,ACCOKEEK,16405 LIVINGSTON RD,ACCOKEEK,MD,20607,9997,,V22878,P
ATLANTIC,4B,MARYLAND,200,20607,WALDORF MD SDC,110 PAUL MELLON CT,WALDORF,MD,20602,9900,,021023,4
ATLANTIC,4B,MARYLAND,200,20608,HUGHESVILLE,15485 PRINCE FREDERICK RD,HUGHESVILLE,MD,20637,9998,,V23725,P
ATLANTIC,4B,MARYLAND,200,20609,AVENUE,21535 COLTON POINT RD,AVENUE,MD,20609,9998,,V22921,P
ATLANTIC,4B,MARYLAND,200,20610,BARSTOW,2485 HALLOWING POINT RD,BARSTOW,MD,20610,9998,P,V22942,P
ATLANTIC,4B,MARYLAND,200,20611,FAULKNER,9977 FAULKNER RD,FAULKNER,MD,20632,9998,,V23445,P
ATLANTIC,4B,MARYLAND,200,20611,WALDORF MD SDC,110 PAUL MELLON CT,WALDORF,MD,20602,9900,,021023,4
ATLANTIC,4B,MARYLAND,200,20612,BENEDICT,7240 BENEDICT AVE,BENEDICT,MD,20612,9998,P,V22968,P
ATLANTIC,4B,MARYLAND,200,20613,BRANDYWINE,14109 BRANDYWINE RD,BRANDYWINE,MD,20613,9998,,V23024,P
ATLANTIC,4B,MARYLAND,200,20615,BROOMES ISLAND,8320 BROOMES ISLAND RD,BROOMES ISLAND,MD,20615,9998,,V23050,P
ATLANTIC,4B,MARYLAND,200,20616,BRYANS ROAD,6960 INDIAN HEAD HWY,BRYANS ROAD,MD,20616,9997,,V23054,P
ATLANTIC,4B,MARYLAND,200,20617,BRYANTOWN,6425 LEONARDTOWN RD,BRYANTOWN,MD,20617,9998,,V23056,P
ATLANTIC,4B,MARYLAND,200,20618,BUSHWOOD,22840 BUSHWOOD RD,BUSHWOOD,MD,20618,9998,,V23067,P
ATLANTIC,4B,MARYLAND,200,20619,CALIFORNIA,22576 MACARTHUR BLVD STE 330,CALIFORNIA,MD,20619,9997,,V23076,P
ATLANTIC,4B,MARYLAND,200,20620,CALLAWAY,20293 PINEY POINT RD,CALLAWAY,MD,20620,9998,,V23077,P
ATLANTIC,4B,MARYLAND,200,20621,CHAPTICO,25749 BUDDS CREEK RD,CHAPTICO,MD,20621,9998,,V23136,P
ATLANTIC,4B,MARYLAND,200,20622,CHARLOTTE HALL,29948 THREE NOTCH RD,CHARLOTTE HALL,MD,20622,9998,,V23142,P
ATLANTIC,4B,MARYLAND,200,20623,BRANDYWINE,14109 BRANDYWINE RD,BRANDYWINE,MD,20613,9998,,V23024,P
ATLANTIC,4B,MARYLAND,200,20623,CHELTENHAM,11505 CHERRY TREE CROSSING RD,CHELTENHAM,MD,20623,9998,,V23150,P
ATLANTIC,4B,MARYLAND,200,20624,CLEMENTS,24015 COLTON POINT RD,CLEMENTS,MD,20624,9998,,V23193,P
ATLANTIC,4B,MARYLAND,200,20625,COBB ISLAND,17009 COBB ISLAND RD,COBB ISLAND,MD,20625,9998,P,V23207,P
ATLANTIC,4B,MARYLAND,200,20626,COLTONS POINT,20254 COLTON POINT RD,COLTONS POINT,MD,20626,9998,,V23237,P
ATLANTIC,4B,MARYLAND,200,20627,COMPTON,22173 BAYSIDE RD,COMPTON,MD,20627,9998,P,V23242,P
ATLANTIC,4B,MARYLAND,200,20628,DAMERON,17679 THREE NOTCH RD,DAMERON,MD,20628,9998,,V23314,P
ATLANTIC,4B,MARYLAND,200,20632,FAULKNER,9977 FAULKNER RD,FAULKNER,MD,20632,9998,,V23445,P
ATLANTIC,4B,MARYLAND,200,20634,GREAT MILLS,20041 POINT LOOKOUT RD,GREAT MILLS,MD,20634,9900,,V23596,P
ATLANTIC,4B,MARYLAND,200,20636,HOLLYWOOD,24351 MERVELL DEAN RD,HOLLYWOOD,MD,20636,9997,,V23710,P
ATLANTIC,4B,MARYLAND,200,20637,HUGHESVILLE,15485 PRINCE FREDERICK RD,HUGHESVILLE,MD,20637,9998,,V23725,P
