area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,ME-NH-VT,040,03901,BERWICK,43 ROUTE 236,BERWICK,ME,03901,9998,,V24742,P
ATLANTIC,4B,ME-NH-VT,040,03901,SOUTH BERWICK,300 MAIN ST,SOUTH BERWICK,ME,03908,9998,,V25195,P
ATLANTIC,4B,ME-NH-VT,040,03902,CAPE NEDDICK,1268 US ROUTE 1,CAPE NEDDICK,ME,03902,9998,,V24787,P
ATLANTIC,4B,ME-NH-VT,040,03903,ELIOT,33 LEVESQUE DR STE C,ELIOT,ME,03903,9998,,V24874,P
ATLANTIC,4B,ME-NH-VT,040,03904,KITTERY,10 SHAPLEIGH RD STE 9998,KITTERY,ME,03904,9998,,V24966,P
ATLANTIC,4B,ME-NH-VT,040,03905,KITTERY POINT,91 PEPPERRELL RD,KITTERY POINT,ME,03905,9998,,V24967,P
ATLANTIC,4B,ME-NH-VT,040,03906,NORTH BERWICK,36 WELLS ST,NORTH BERWICK,ME,03906,9998,,V25062,P
ATLANTIC,4B,ME-NH-VT,040,03907,OGUNQUIT,172 MAIN ST,OGUNQUIT,ME,03907,9998,,V25088,P
ATLANTIC,4B,ME-NH-VT,040,03907,WELLS,1886 POST RD,WELLS,ME,04090,9998,,V25282,P
ATLANTIC,4B,ME-NH-VT,040,03908,SOUTH BERWICK,300 MAIN ST,SOUTH BERWICK,ME,03908,9998,,V25195,P
ATLANTIC,4B,ME-NH-VT,040,03909,YORK,10 WOODBRIDGE RD,YORK,ME,03909,9998,,V25326,P
ATLANTIC,4B,ME-NH-VT,040,03910,YORK BEACH,420 RIDGE RD,YORK BEACH,ME,03910,9998,P,V27444,S
ATLANTIC,4B,ME-NH-VT,040,03911,YORK HARBOR,445 YORK ST,YORK HARBOR,ME,03911,9998,P,V25328,P
ATLANTIC,4B,ME-NH-VT,040,04001,ACTON,179 SAM PAGE RD,ACTON,ME,04001,9998,,V24707,P
ATLANTIC,4B,ME-NH-VT,040,04002,ALFRED,50 KENNEBUNK RD,ALFRED,ME,04002,9998,,V24710,P
ATLANTIC,4B,ME-NH-VT,040,04002,SANFORD,30 SCHOOL ST,SANFORD,ME,04073,9998,,V25164,P
ATLANTIC,4B,ME-NH-VT,040,04003,BAILEY ISLAND,2120 HARPSWELL ISLANDS RD,BAILEY ISLAND,ME,04003,9998,,V24724,P
ATLANTIC,4B,ME-NH-VT,040,04004,BAR MILLS,59 MAIN ST,BAR MILLS,ME,04004,9998,P,V24729,P
ATLANTIC,4B,ME-NH-VT,040,04005,BIDDEFORD,100 ALFRED ST,BIDDEFORD,ME,04005,9998,,V24744,P
ATLANTIC,4B,ME-NH-VT,040,04005,INDUSTRIAL PARK ANNEX,81 INDUSTRIAL PARK RD,SACO,ME,04072,1872,,V27568,4
ATLANTIC,4B,ME-NH-VT,040,04006,BIDDEFORD POOL,8 LESTER B ORCUTT BLVD,BIDDEFORD POOL,ME,04006,9998,P,V24745,P
ATLANTIC,4B,ME-NH-VT,040,04008,BOWDOINHAM,49 POND RD,BOWDOINHAM,ME,04008,9998,,V24755,P
ATLANTIC,4B,ME-NH-VT,040,04009,BRIDGTON,6 ELM ST,BRIDGTON,ME,04009,9998,,V24760,P
ATLANTIC,4B,ME-NH-VT,040,04010,BROWNFIELD,106 MAIN ST,BROWNFIELD,ME,04010,9998,,V24767,P
ATLANTIC,4B,ME-NH-VT,040,04011,BRUNSWICK,30 PLEASANT ST,BRUNSWICK,ME,04011,9998,,V24770,P
ATLANTIC,4B,ME-NH-VT,040,04011,CPU SWEET DREAMS,256 BATH RD,BRUNSWICK,ME,04011,9996,,001610,5
ATLANTIC,4B,ME-NH-VT,040,04015,CASCO,942 MEADOW RD,CASCO,ME,04015,9998,,V24795,P
ATLANTIC,4B,ME-NH-VT,040,04016,CENTER LOVELL,11 OLD STAGE RD,CENTER LOVELL,ME,04016,9998,P,V24797,P
ATLANTIC,4B,ME-NH-VT,040,04017,CHEBEAGUE ISLAND,24 NIBLIC CIR STE 9998,CHEBEAGUE ISLAND,ME,04017,9998,,V24801,P
ATLANTIC,4B,ME-NH-VT,040,04019,CLIFF ISLAND,11 SUNSET RD UNIT 1,CLIFF ISLAND,ME,04019,9998,P,V24805,P
ATLANTIC,4B,ME-NH-VT,040,04020,CORNISH,202 MAPLE ST STE 1,CORNISH,ME,04020,9998,,V24813,P
ATLANTIC,4B,ME-NH-VT,040,04021,CUMBERLAND CENTER,1 FARWELL AVE,CUMBERLAND CENTER,ME,04021,9998,,V24819,P
ATLANTIC,4B,ME-NH-VT,040,04021,YARMOUTH,36 FOREST FALLS DR,YARMOUTH,ME,04096,9998,,V25325,P
ATLANTIC,4B,ME-NH-VT,040,04022,DENMARK,39 E MAIN ST,DENMARK,ME,04022,9998,,V24830,P
ATLANTIC,4B,ME-NH-VT,040,04024,EAST BALDWIN,213 PEQUAWKET TRL,EAST BALDWIN,ME,04024,9998,,V24846,P
ATLANTIC,4B,ME-NH-VT,040,04027,LEBANON,5 LITTLE RIVER RD,LEBANON,ME,04027,9998,,V24855,P
ATLANTIC,4B,ME-NH-VT,040,04027,SANFORD,30 SCHOOL ST,SANFORD,ME,04073,9998,,V25164,P
ATLANTIC,4B,ME-NH-VT,040,04028,CORNISH,202 MAPLE ST STE 1,CORNISH,ME,04020,9998,P,V24813,P
ATLANTIC,4B,ME-NH-VT,040,04029,SEBAGO,222 SEBAGO RD,SEBAGO,ME,04029,9998,,V24863,P
ATLANTIC,4B,ME-NH-VT,040,04030,WATERBORO,997 MAIN ST,WATERBORO,ME,04087,9998,,V25275,P
ATLANTIC,4B,ME-NH-VT,040,04032,FREEPORT,141 MAIN ST,FREEPORT,ME,04032,9998,,V24898,P
ATLANTIC,4B,ME-NH-VT,040,04037,FRYEBURG,488 MAIN ST,FRYEBURG,ME,04037,9998,,V24903,P
ATLANTIC,4B,ME-NH-VT,040,04038,GORHAM,1 POST OFFICE SQ,GORHAM,ME,04038,9998,,V24911,P
ATLANTIC,4B,ME-NH-VT,040,04039,GRAY,10 TURNPIKE ACRES RD,GRAY,ME,04039,9998,,V24915,P
ATLANTIC,4B,ME-NH-VT,040,04040,HARRISON,5 FRONT ST,HARRISON,ME,04040,9998,,V24934,P
ATLANTIC,4B,ME-NH-VT,040,04041,CORNISH,202 MAPLE ST STE 1,CORNISH,ME,04020,9998,,V24813,P
ATLANTIC,4B,ME-NH-VT,040,04041,HIRAM,17 SCHOOLHOUSE RD,HIRAM,ME,04041,9998,,V24939,P
ATLANTIC,4B,ME-NH-VT,040,04042,HOLLIS CENTER,14 BAR MILLS RD,HOLLIS CENTER,ME,04042,9998,,V24941,P
ATLANTIC,4B,ME-NH-VT,040,04043,KENNEBUNK,3 POST OFFICE SQ,KENNEBUNK,ME,04043,9998,,V24959,P
ATLANTIC,4B,ME-NH-VT,040,04046,KENNEBUNKPORT,5 TEMPLE ST,KENNEBUNKPORT,ME,04046,6046,,V24961,P
ATLANTIC,4B,ME-NH-VT,040,04047,PARSONSFIELD,15 FEDERAL RD,PARSONSFIELD,ME,04047,9998,,V24963,P
ATLANTIC,4B,ME-NH-VT,040,04048,LIMERICK,19 MAIN ST,LIMERICK,ME,04048,9998,,V24980,P
ATLANTIC,4B,ME-NH-VT,040,04049,LIMINGTON,189 OSSIPEE TRL,LIMINGTON,ME,04049,9998,,V24982,P
ATLANTIC,4B,ME-NH-VT,040,04050,LONG ISLAND,280 ISLAND AVE,LONG ISLAND,ME,04050,9998,,V24997,P
ATLANTIC,4B,ME-NH-VT,040,04051,LOVELL,216 MAIN ST,LOVELL,ME,04051,9998,,V24999,P
ATLANTIC,4B,ME-NH-VT,040,04054,MOODY,243 POST RD,MOODY,ME,04054,9998,P,V25037,P
ATLANTIC,4B,ME-NH-VT,040,04055,NAPLES,17 VILLAGE GREEN LN,NAPLES,ME,04055,9998,,V25043,P
ATLANTIC,4B,ME-NH-VT,040,04056,NEWFIELD,68 ELM ST,NEWFIELD,ME,04056,9998,P,V25055,P
ATLANTIC,4B,ME-NH-VT,040,04057,NORTH BRIDGTON,101 N BRIDGTON RD,NORTH BRIDGTON,ME,04057,9998,P,V25063,P
ATLANTIC,4B,ME-NH-VT,040,04061,NORTH WATERBORO,977 SOKOKIS TRL,NORTH WATERBORO,ME,04061,9998,,V25077,P
ATLANTIC,4B,ME-NH-VT,040,04062,WINDHAM,765 ROOSEVELT TRL STE 7,WINDHAM,ME,04062,9998,,V25310,P
ATLANTIC,4B,ME-NH-VT,040,04063,OCEAN PARK,15 COLBY AVE,OCEAN PARK,ME,04063,9998,P,V25087,C
ATLANTIC,4B,ME-NH-VT,040,04064,OLD ORCHARD BEACH,2 CASCADE RD STE 8,OLD ORCHARD BEACH,ME,04064,9998,,V25090,P
ATLANTIC,4B,ME-NH-VT,040,04064,INDUSTRIAL PARK ANNEX,81 INDUSTRIAL PARK RD,SACO,ME,04072,1872,,V27568,4
ATLANTIC,4B,ME-NH-VT,040,04066,ORRS ISLAND,1729 HARPSWELL ISLANDS RD,ORRS ISLAND,ME,04066,9998,,V25097,P
ATLANTIC,4B,ME-NH-VT,040,04068,PARSONSFIELD,15 FEDERAL RD,PARSONSFIELD,ME,04047,9998,,V24963,P
ATLANTIC,4B,ME-NH-VT,040,04068,PORTER,548 OSSIPEE TRL,PORTER,ME,04068,9998,,V25130,P
ATLANTIC,4B,ME-NH-VT,040,04069,POWNAL,195 ALLEN RD,POWNAL,ME,04069,9998,,V25133,P
ATLANTIC,4B,ME-NH-VT,040,04070,SCARBOROUGH,31 GORHAM RD,SCARBOROUGH,ME,04074,9998,P,V25167,P
ATLANTIC,4B,ME-NH-VT,040,04071,RAYMOND,1235 ROOSEVELT TRL,RAYMOND,ME,04071,9998,,V25143,P
ATLANTIC,4B,ME-NH-VT,040,04072,SACO,225 MAIN ST,SACO,ME,04072,9998,,V25156,P
ATLANTIC,4B,ME-NH-VT,040,04072,INDUSTRIAL PARK ANNEX,81 INDUSTRIAL PARK RD,SACO,ME,04072,1872,,V27568,4
ATLANTIC,4B,ME-NH-VT,040,04073,SANFORD,30 SCHOOL ST,SANFORD,ME,04073,9998,,V25164,P
ATLANTIC,4B,ME-NH-VT,040,04074,SOUTHERN MAINE CARRIER UNIT,79 POSTAL SERVICE WAY RM 1058,SCARBOROUGH,ME,04074,7085,,013428,4
ATLANTIC,4B,ME-NH-VT,040,04076,SHAPLEIGH,994 SHAPLEIGH CORNER RD,SHAPLEIGH,ME,04076,9998,,V25179,P
ATLANTIC,4B,ME-NH-VT,040,04077,SOUTH CASCO,326 ROOSEVELT TRL,SOUTH CASCO,ME,04077,9998,P,V25197,P
ATLANTIC,4B,ME-NH-VT,040,04078,SOUTH FREEPORT,95 S FREEPORT RD,SOUTH FREEPORT,ME,04078,9998,P,V25199,P
ATLANTIC,4B,ME-NH-VT,040,04079,HARPSWELL,1212 HARPSWELL NECK RD,HARPSWELL,ME,04079,9998,,V25202,P
ATLANTIC,4B,ME-NH-VT,040,04082,SOUTH WINDHAM,57 MAIN ST,SOUTH WINDHAM,ME,04082,9998,P,V25210,B
ATLANTIC,4B,ME-NH-VT,040,04083,SANFORD,30 SCHOOL ST,SANFORD,ME,04073,9998,,V25164,P
ATLANTIC,4B,ME-NH-VT,040,04083,SPRINGVALE,492 MAIN ST,SPRINGVALE,ME,04083,9998,,V25214,P
ATLANTIC,4B,ME-NH-VT,040,04084,GORHAM,1 POST OFFICE SQ,GORHAM,ME,04038,9998,,V24911,P
ATLANTIC,4B,ME-NH-VT,040,04084,STANDISH,111 OSSIPEE TRL E STE 9998,STANDISH,ME,04084,9998,,V25223,P
ATLANTIC,4B,ME-NH-VT,040,04085,LIMINGTON,189 OSSIPEE TRL,LIMINGTON,ME,04049,9998,,V24982,P
ATLANTIC,4B,ME-NH-VT,040,04085,STEEP FALLS,1090 PEQUAWKET TRL,STEEP FALLS,ME,04085,9998,,V25226,P
ATLANTIC,4B,ME-NH-VT,040,04086,BRUNSWICK,30 PLEASANT ST,BRUNSWICK,ME,04011,9998,,V24770,P
ATLANTIC,4B,ME-NH-VT,040,04086,TOPSHAM,101 MAIN ST,TOPSHAM,ME,04086,9998,,V25251,P
ATLANTIC,4B,ME-NH-VT,040,04087,WATERBORO,997 MAIN ST,WATERBORO,ME,04087,9998,,V25275,P
ATLANTIC,4B,ME-NH-VT,040,04088,WATERFORD,965 WATERFORD RD,WATERFORD,ME,04088,9998,,V25276,P
ATLANTIC,4B,ME-NH-VT,040,04090,WELLS,1886 POST RD,WELLS,ME,04090,9998,,V25282,P
ATLANTIC,4B,ME-NH-VT,040,04091,WEST BALDWIN,932 PEQUAWKET TRL,WEST BALDWIN,ME,04091,9998,,V25285,P
ATLANTIC,4B,ME-NH-VT,040,04092,PORTLAND ME SDC,151 FOREST AVE,PORTLAND,ME,04101,9801,,020703,4
ATLANTIC,4B,ME-NH-VT,040,04093,GORHAM,1 POST OFFICE SQ,GORHAM,ME,04038,9998,,V24911,P
ATLANTIC,4B,ME-NH-VT,040,04093,BUXTON,379 LONG PLAINS RD,BUXTON,ME,04093,9998,,V25289,P
ATLANTIC,4B,ME-NH-VT,040,04094,WEST KENNEBUNK,116 ALFRED RD,WEST KENNEBUNK,ME,04094,9998,P,V25293,P
ATLANTIC,4B,ME-NH-VT,040,04095,WEST NEWFIELD,24 S EFFINGHAM RD,WEST NEWFIELD,ME,04095,9998,,V25296,P
ATLANTIC,4B,ME-NH-VT,040,04096,YARMOUTH,36 FOREST FALLS DR,YARMOUTH,ME,04096,9998,,V25325,P
ATLANTIC,4B,ME-NH-VT,040,04097,YARMOUTH,36 FOREST FALLS DR,YARMOUTH,ME,04096,9998,,V25325,P
ATLANTIC,4B,ME-NH-VT,040,04098,WESTBROOK,775 MAIN ST,WESTBROOK,ME,04092,3438,P,V25305,P
