area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,MICHIGAN 1,481,48001,ALGONAC,801 SAINT CLAIR RIVER DR,ALGONAC,MI,48001,9998,,Y11330,P
CENTRAL,4J,MICHIGAN 1,481,48002,ALLENTON,770 CAPAC RD,ALLENTON,MI,48002,9998,,Y11336,P
CENTRAL,4J,MICHIGAN 1,481,48002,ARMADA,74260 BURK ST,ARMADA,MI,48005,9998,,Y11359,P
CENTRAL,4J,MICHIGAN 1,481,48003,ALMONT,116 N MAIN ST,ALMONT,MI,48003,9998,,Y11340,P
CENTRAL,4J,MICHIGAN 1,481,48003,ALMONT PO BOX ANNEX,138 N MAIN ST,ALMONT,MI,48003,1109,,002091,6
CENTRAL,4J,MICHIGAN 1,481,48004,ANCHORVILLE,9828 DIXIE HWY,ANCHORVILLE,MI,48004,9998,P,Y11348,P
CENTRAL,4J,MICHIGAN 1,481,48005,ARMADA,74260 BURK ST,ARMADA,MI,48005,9998,,Y11359,P
CENTRAL,4J,MICHIGAN 1,481,48006,AVOCA,8810 AVOCA RD,AVOCA,MI,48006,9998,,Y11384,P
CENTRAL,4J,MICHIGAN 1,481,48006,YALE,211 JONES ST,YALE,MI,48097,9998,,Y13134,P
CENTRAL,4J,MICHIGAN 1,481,48007,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,P,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48009,BIRMINGHAM,1221 BOWERS ST,BIRMINGHAM,MI,48012,9998,,Y11454,P
CENTRAL,4J,MICHIGAN 1,481,48012,BIRMINGHAM,1221 BOWERS ST,BIRMINGHAM,MI,48012,9998,P,Y11454,P
CENTRAL,4J,MICHIGAN 1,481,48014,CAPAC,102 W MILL ST,CAPAC,MI,48014,9998,,Y11576,P
CENTRAL,4J,MICHIGAN 1,481,48015,CENTER LINE,26056 VAN DYKE AVE,CENTER LINE,MI,48015,9998,,Y11607,P
CENTRAL,4J,MICHIGAN 1,481,48015,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48017,CLAWSON,345 N MAIN ST,CLAWSON,MI,48017,9998,,Y11645,P
CENTRAL,4J,MICHIGAN 1,481,48021,EAST DETROIT,22430 GRATIOT AVE,EASTPOINTE,MI,48021,9998,,Y11794,P
CENTRAL,4J,MICHIGAN 1,481,48022,CAPAC,102 W MILL ST,CAPAC,MI,48014,9998,,Y11576,P
CENTRAL,4J,MICHIGAN 1,481,48022,EMMETT,3120 MAIN ST,EMMETT,MI,48022,9998,,Y11832,P
CENTRAL,4J,MICHIGAN 1,481,48023,FAIR HAVEN,8680 DIXIE HWY,FAIR HAVEN,MI,48023,9998,,Y11848,P
CENTRAL,4J,MICHIGAN 1,481,48025,FRANKLIN,32406 FRANKLIN RD,FRANKLIN,MI,48025,9998,,Y11911,B
CENTRAL,4J,MICHIGAN 1,481,48025,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,,021226,4
CENTRAL,4J,MICHIGAN 1,481,48026,FRASER,16925 MASONIC,FRASER,MI,48026,9998,,Y11912,P
CENTRAL,4J,MICHIGAN 1,481,48026,ROSEVILLE,30550 GRATIOT AVE,ROSEVILLE,MI,48066,9998,,Y12693,P
CENTRAL,4J,MICHIGAN 1,481,48027,GOODELLS,2585 GOODELLS RD,GOODELLS,MI,48027,9998,,Y11962,P
CENTRAL,4J,MICHIGAN 1,481,48027,CHINA TWP CARRIER ANNEX,3080 KING RD,CHINA,MI,48054,9998,,007270,4
CENTRAL,4J,MICHIGAN 1,481,48028,ALGONAC,801 SAINT CLAIR RIVER DR,ALGONAC,MI,48001,9998,,Y11330,P
CENTRAL,4J,MICHIGAN 1,481,48028,HARSENS ISLAND,235 LA CROIX RD,HARSENS ISLAND,MI,48028,9998,,Y12046,P
CENTRAL,4J,MICHIGAN 1,481,48030,HAZEL PARK,23200 JOHN R RD,HAZEL PARK,MI,48030,9998,,Y12057,P
CENTRAL,4J,MICHIGAN 1,481,48032,JEDDO,8511 WILDCAT RD,JEDDO,MI,48032,9998,,Y12141,P
CENTRAL,4J,MICHIGAN 1,481,48033,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,,021226,4
CENTRAL,4J,MICHIGAN 1,481,48034,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,,021226,4
CENTRAL,4J,MICHIGAN 1,481,48035,MOUNT CLEMENS,155 S MAIN ST,MOUNT CLEMENS,MI,48046,9998,,Y12413,P
CENTRAL,4J,MICHIGAN 1,481,48036,MOUNT CLEMENS,155 S MAIN ST,MOUNT CLEMENS,MI,48046,9998,,Y12413,P
CENTRAL,4J,MICHIGAN 1,481,48037,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,P,021226,4
CENTRAL,4J,MICHIGAN 1,481,48038,CLINTON TOWNSHIP,42383 GARFIELD RD,CLINTON TOWNSHIP,MI,48038,9997,,Y11653,B
CENTRAL,4J,MICHIGAN 1,481,48038,CLINTON MACOMB ANNEX,15285 SAMOHIN DR,MACOMB,MI,48044,9991,,012599,4
CENTRAL,4J,MICHIGAN 1,481,48039,MARINE CITY,460 S WATER ST,MARINE CITY,MI,48039,9998,,Y12314,P
CENTRAL,4J,MICHIGAN 1,481,48040,MARYSVILLE,1238 MICHIGAN AVE,MARYSVILLE,MI,48040,9998,,Y12322,P
CENTRAL,4J,MICHIGAN 1,481,48040,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48041,MEMPHIS,34805 POTTER ST,MEMPHIS,MI,48041,9998,,Y12353,P
CENTRAL,4J,MICHIGAN 1,481,48042,CLINTON MACOMB ANNEX,15285 SAMOHIN DR,MACOMB,MI,48044,9991,,012599,4
CENTRAL,4J,MICHIGAN 1,481,48043,MOUNT CLEMENS,155 S MAIN ST,MOUNT CLEMENS,MI,48046,9998,,Y12413,P
CENTRAL,4J,MICHIGAN 1,481,48044,CLINTON MACOMB ANNEX,15285 SAMOHIN DR,MACOMB,MI,48044,9991,,012599,4
CENTRAL,4J,MICHIGAN 1,481,48045,MOUNT CLEMENS,155 S MAIN ST,MOUNT CLEMENS,MI,48046,9998,,Y12413,P
CENTRAL,4J,MICHIGAN 1,481,48045,SELFRIDGE ANGB,44580 N JEFFERSON AVE,SELFRIDGE ANGB,MI,48045,9998,,Y12758,B
CENTRAL,4J,MICHIGAN 1,481,48046,MOUNT CLEMENS,155 S MAIN ST,MOUNT CLEMENS,MI,48046,9998,P,Y12413,P
CENTRAL,4J,MICHIGAN 1,481,48047,NEW BALTIMORE,35339 23 MILE RD,NEW BALTIMORE,MI,48047,9998,,Y12448,P
CENTRAL,4J,MICHIGAN 1,481,48048,NEW HAVEN,58480 MAIN ST,NEW HAVEN,MI,48048,9998,,Y12452,P
CENTRAL,4J,MICHIGAN 1,481,48049,NORTH STREET,5201 NORTH RD,NORTH STREET,MI,48049,9998,,Y12474,P
CENTRAL,4J,MICHIGAN 1,481,48049,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48050,NEW HAVEN,58480 MAIN ST,NEW HAVEN,MI,48048,9998,,Y12452,P
CENTRAL,4J,MICHIGAN 1,481,48051,NEW BALTIMORE,35339 23 MILE RD,NEW BALTIMORE,MI,48047,9998,,Y12448,P
CENTRAL,4J,MICHIGAN 1,481,48054,CHINA TWP CARRIER ANNEX,3080 KING RD,CHINA,MI,48054,9998,,007270,4
CENTRAL,4J,MICHIGAN 1,481,48059,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48059,BIRCHWOOD MALL,4350 24TH AVE STE 324,FORT GRATIOT,MI,48059,9998,,Y18493,B
CENTRAL,4J,MICHIGAN 1,481,48060,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48061,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,P,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48062,RICHMOND,36511 DIVISION RD,RICHMOND,MI,48062,9998,,Y12656,P
CENTRAL,4J,MICHIGAN 1,481,48063,RICHMOND,36511 DIVISION RD,RICHMOND,MI,48062,9998,,Y12656,P
CENTRAL,4J,MICHIGAN 1,481,48064,RICHMOND,36511 DIVISION RD,RICHMOND,MI,48062,9998,,Y12656,P
CENTRAL,4J,MICHIGAN 1,481,48065,ROMEO,119 CHURCH ST,ROMEO,MI,48065,9998,,Y12680,P
CENTRAL,4J,MICHIGAN 1,481,48066,ROSEVILLE,30550 GRATIOT AVE,ROSEVILLE,MI,48066,9998,,Y12693,P
CENTRAL,4J,MICHIGAN 1,481,48067,ROYAL OAK,200 W 2ND ST,ROYAL OAK,MI,48068,9998,,Y12697,P
CENTRAL,4J,MICHIGAN 1,481,48068,ROYAL OAK,200 W 2ND ST,ROYAL OAK,MI,48068,9998,P,Y12697,P
CENTRAL,4J,MICHIGAN 1,481,48069,ROYAL OAK,200 W 2ND ST,ROYAL OAK,MI,48068,9998,,Y12697,P
CENTRAL,4J,MICHIGAN 1,481,48070,ROYAL OAK,200 W 2ND ST,ROYAL OAK,MI,48068,9998,,Y12697,P
CENTRAL,4J,MICHIGAN 1,481,48070,HUNTINGTON WOODS,26815 SCOTIA RD,HUNTINGTON WOODS,MI,48070,1131,,013309,6
CENTRAL,4J,MICHIGAN 1,481,48071,MADISON HEIGHTS,29441 JOHN R RD,MADISON HEIGHTS,MI,48071,9991,,Y12296,B
CENTRAL,4J,MICHIGAN 1,481,48071,MADISON HTS CARRIER ANNEX,2351 BELLINGHAM DR,TROY,MI,48083,9005,,012556,4
CENTRAL,4J,MICHIGAN 1,481,48072,BERKLEY,2886 12 MILE RD,BERKLEY,MI,48072,9998,,Y11434,B
CENTRAL,4J,MICHIGAN 1,481,48072,ROYAL OAK,200 W 2ND ST,ROYAL OAK,MI,48068,9998,,Y12697,P
CENTRAL,4J,MICHIGAN 1,481,48073,MADISON HTS CARRIER ANNEX,2351 BELLINGHAM DR,TROY,MI,48083,9005,,012556,4
CENTRAL,4J,MICHIGAN 1,481,48074,PORT HURON,852 32ND ST,PORT HURON,MI,48061,9998,,Y12596,P
CENTRAL,4J,MICHIGAN 1,481,48074,SMITHS CREEK,425 HENRY ST,SMITHS CREEK,MI,48074,9998,,Y12790,P
CENTRAL,4J,MICHIGAN 1,481,48075,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,,021226,4
CENTRAL,4J,MICHIGAN 1,481,48076,LATHRUP VILLAGE,28211 SOUTHFIELD RD,LATHRUP VILLAGE,MI,48076,9998,,Y12223,B
CENTRAL,4J,MICHIGAN 1,481,48076,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,,021226,4
CENTRAL,4J,MICHIGAN 1,481,48079,SAINT CLAIR,202 TRUMBULL ST,SAINT CLAIR,MI,48079,9998,,Y12717,P
CENTRAL,4J,MICHIGAN 1,481,48079,CHINA TWP CARRIER ANNEX,3080 KING RD,CHINA,MI,48054,9998,,007270,4
CENTRAL,4J,MICHIGAN 1,481,48080,SAINT CLAIR SHORES,23125 GREATER MACK AVE,SAINT CLAIR SHORES,MI,48080,9998,,Y12718,P
CENTRAL,4J,MICHIGAN 1,481,48081,SAINT CLAIR SHORES,23125 GREATER MACK AVE,SAINT CLAIR SHORES,MI,48080,9998,,Y12718,P
CENTRAL,4J,MICHIGAN 1,481,48082,SAINT CLAIR SHORES,23125 GREATER MACK AVE,SAINT CLAIR SHORES,MI,48080,9998,,Y12718,P
CENTRAL,4J,MICHIGAN 1,481,48083,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48084,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48085,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48086,SOUTHFIELD MI SDC,22200 W 11 MILE RD,SOUTHFIELD,MI,48037,9913,P,021226,4
CENTRAL,4J,MICHIGAN 1,481,48088,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48089,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48090,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,P,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48091,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48092,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48093,WARREN,28401 MOUND RD,WARREN,MI,48090,9998,,Y13064,P
CENTRAL,4J,MICHIGAN 1,481,48094,WASHINGTON,58757 VAN DYKE RD,WASHINGTON,MI,48094,9998,,Y13065,P
CENTRAL,4J,MICHIGAN 1,481,48095,WASHINGTON,58757 VAN DYKE RD,WASHINGTON,MI,48094,9998,,Y13065,P
CENTRAL,4J,MICHIGAN 1,481,48096,ROMEO,119 CHURCH ST,ROMEO,MI,48065,9998,,Y12680,P
CENTRAL,4J,MICHIGAN 1,481,48097,YALE,211 JONES ST,YALE,MI,48097,9998,,Y13134,P
CENTRAL,4J,MICHIGAN 1,481,48098,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48099,TROY,2844 LIVERNOIS RD,TROY,MI,48099,9998,P,Y12991,P
CENTRAL,4J,MICHIGAN 1,481,48101,ALLEN PARK,6800 ROOSEVELT AVE,ALLEN PARK,MI,48101,9998,,Y11333,P
CENTRAL,4J,MICHIGAN 1,481,48103,ANN ARBOR,2075 W STADIUM BLVD,ANN ARBOR,MI,48103,9998,,Y11351,P
CENTRAL,4J,MICHIGAN 1,481,48104,ANN ARBOR,2075 W STADIUM BLVD,ANN ARBOR,MI,48103,9998,,Y11351,P
CENTRAL,4J,MICHIGAN 1,481,48105,GREEN ROAD,3000 GREEN RD,ANN ARBOR,MI,48105,9998,,Y11998,S
CENTRAL,4J,MICHIGAN 1,481,48106,ANN ARBOR,2075 W STADIUM BLVD,ANN ARBOR,MI,48103,9998,P,Y11351,P
CENTRAL,4J,MICHIGAN 1,481,48106,LIBERTY,200 E LIBERTY ST LBBY,ANN ARBOR,MI,48104,9998,P,Y12243,S
CENTRAL,4J,MICHIGAN 1,481,48106,CPU DOMINOS FARMS,24 FRANK LLOYD WRIGHT DR,ANN ARBOR,MI,48105,9484,P,010426,5
CENTRAL,4J,MICHIGAN 1,481,48107,LIBERTY,200 E LIBERTY ST LBBY,ANN ARBOR,MI,48104,9998,P,Y12243,S
CENTRAL,4J,MICHIGAN 1,481,48108,LIBERTY,200 E LIBERTY ST LBBY,ANN ARBOR,MI,48104,9998,,Y12243,S
CENTRAL,4J,MICHIGAN 1,481,48109,ANN ARBOR,2075 W STADIUM BLVD,ANN ARBOR,MI,48103,9998,,Y11351,P
CENTRAL,4J,MICHIGAN 1,481,48111,BELLEVILLE,45601 S INTERSTATE 94 SERVICE DR,BELLEVILLE,MI,48111,9998,,Y11425,P
CENTRAL,4J,MICHIGAN 1,481,48112,BELLEVILLE,45601 S INTERSTATE 94 SERVICE DR,BELLEVILLE,MI,48111,9998,P,Y11425,P
CENTRAL,4J,MICHIGAN 1,481,48113,GREEN ROAD,3000 GREEN RD,ANN ARBOR,MI,48105,9998,P,Y11998,S
CENTRAL,4J,MICHIGAN 1,481,48114,BRIGHTON,100 ORNDORF DR,BRIGHTON,MI,48116,9998,,Y11509,P
CENTRAL,4J,MICHIGAN 1,481,48116,BRIGHTON,100 ORNDORF DR,BRIGHTON,MI,48116,9998,,Y11509,P
CENTRAL,4J,MICHIGAN 1,481,48117,CARLETON,12840 GRAFTON RD,CARLETON,MI,48117,9998,,Y11578,P
CENTRAL,4J,MICHIGAN 1,481,48118,CHELSEA,1101 S MAIN ST STE 100,CHELSEA,MI,48118,1642,,Y11624,P
CENTRAL,4J,MICHIGAN 1,481,48120,DEARBORN,3800 GREENFIELD RD,DEARBORN,MI,48120,9998,,Y11725,P
CENTRAL,4J,MICHIGAN 1,481,48121,DEARBORN,3800 GREENFIELD RD,DEARBORN,MI,48120,9998,P,Y11725,P
CENTRAL,4J,MICHIGAN 1,481,48122,DEARBORN,3800 GREENFIELD RD,DEARBORN,MI,48120,9998,,Y11725,P
CENTRAL,4J,MICHIGAN 1,481,48122,MELVINDALE,17081 ALLEN RD,MELVINDALE,MI,48122,9998,,Y12352,B
CENTRAL,4J,MICHIGAN 1,481,48123,FORT DEARBORN,23169 MICHIGAN AVE,DEARBORN,MI,48124,0001,P,Y11893,S
CENTRAL,4J,MICHIGAN 1,481,48124,FT DEARBORN ANNEX,22599 VAN BORN RD,DEARBORN,MI,48124,9998,,Y19222,4
CENTRAL,4J,MICHIGAN 1,481,48125,FT DEARBORN ANNEX,22599 VAN BORN RD,DEARBORN,MI,48124,9998,,Y19222,4
CENTRAL,4J,MICHIGAN 1,481,48126,DEARBORN,3800 GREENFIELD RD,DEARBORN,MI,48120,9998,,Y11725,P
CENTRAL,4J,MICHIGAN 1,481,48127,DEARBORN HEIGHTS,26200 FORD RD,DEARBORN HEIGHTS,MI,48127,9998,,Y11726,P
CENTRAL,4J,MICHIGAN 1,481,48128,DEARBORN HEIGHTS,26200 FORD RD,DEARBORN HEIGHTS,MI,48127,9998,,Y11726,P
CENTRAL,4J,MICHIGAN 1,481,48130,DEXTER,3140 BAKER RD,DEXTER,MI,48130,9998,,Y11748,P
CENTRAL,4J,MICHIGAN 1,481,48131,DUNDEE,319 W MONROE ST,DUNDEE,MI,48131,9998,,Y11774,P
CENTRAL,4J,MICHIGAN 1,481,48133,ERIE,9780 S DIXIE HWY,ERIE,MI,48133,9998,,Y11837,B
CENTRAL,4J,MICHIGAN 1,481,48134,FLAT ROCK,26216 GIBRALTAR RD,FLAT ROCK,MI,48134,9998,,Y11885,P
