area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,MN-ND,553,55001,AFTON,3121 SAINT CROIX TRL S,AFTON,MN,55001,9419,,Y24703,P
CENTRAL,4J,MN-ND,553,55003,BAYPORT,209 3RD ST N,BAYPORT,MN,55003,1028,,Y24796,P
CENTRAL,4J,MN-ND,553,55003,OAK PARK HTS CARRIER ANNEX,5520 MEMORIAL AVE N,STILLWATER,MN,55082,1086,,001948,4
CENTRAL,4J,MN-ND,553,55005,BETHEL,103 MAIN ST NW,BETHEL,MN,55005,9509,,Y24829,P
CENTRAL,4J,MN-ND,553,55006,BRAHAM,120 2ND ST SW,BRAHAM,MN,55006,3074,,Y24880,P
CENTRAL,4J,MN-ND,553,55007,BROOK PARK,509 3RD ST N,BROOK PARK,MN,55007,9531,,Y24901,P
CENTRAL,4J,MN-ND,553,55008,CAMBRIDGE,209 MAIN ST S,CAMBRIDGE,MN,55008,1526,,Y24954,P
CENTRAL,4J,MN-ND,553,55009,CANNON FALLS,419 MAIN ST W,CANNON FALLS,MN,55009,2044,,Y24958,P
CENTRAL,4J,MN-ND,553,55010,CASTLE ROCK,4379 280TH ST,CASTLE ROCK,MN,55010,7000,P,Y24974,P
CENTRAL,4J,MN-ND,553,55011,CEDAR,21427 ABERDEEN ST NE,CEDAR,MN,55011,2000,,Y24975,P
CENTRAL,4J,MN-ND,553,55012,CENTER CITY,280 ANDREWS AVE,CENTER CITY,MN,55012,9677,,Y24982,P
CENTRAL,4J,MN-ND,553,55013,CHISAGO CITY,29385 OLD TOWNE RD,CHISAGO CITY,MN,55013,9407,,Y25001,P
CENTRAL,4J,MN-ND,553,55014,CIRCLE PINES,300 CIVIC HEIGHTS DR,CIRCLE PINES,MN,55014,1793,,Y25007,P
CENTRAL,4J,MN-ND,553,55016,COTTAGE GROVE,7523 95TH ST S,COTTAGE GROVE,MN,55016,5529,,018924,P
CENTRAL,4J,MN-ND,553,55017,DALBO,5180 HIGHWAY 47 NW STE 1,DALBO,MN,55017,8641,,Y25104,P
CENTRAL,4J,MN-ND,553,55018,DENNISON,37598 GOODHUE AVE,DENNISON,MN,55018,7443,,Y25137,P
CENTRAL,4J,MN-ND,553,55018,NORTHFIELD CARRIER ANNEX,2101 CANNON RD,NORTHFIELD,MN,55057,3608,,001310,4
CENTRAL,4J,MN-ND,553,55019,DUNDAS,211 COUNTY ROAD 1 E,DUNDAS,MN,55019,2000,,Y25166,P
CENTRAL,4J,MN-ND,553,55020,ELKO NEW MARKET,26045 MARKET PLACE BLVD,ELKO NEW MARKET,MN,55020,5000,,Y25942,P
CENTRAL,4J,MN-ND,553,55021,FARIBAULT,28 3RD ST NE,FARIBAULT,MN,55021,9992,,Y25253,P
CENTRAL,4J,MN-ND,553,55024,FARMINGTON,113 ELM ST,FARMINGTON,MN,55024,1052,,Y25255,P
CENTRAL,4J,MN-ND,553,55025,FOREST LAKE,78 6TH AVE SW,FOREST LAKE,MN,55025,1574,,Y25297,P
CENTRAL,4J,MN-ND,553,55026,FRONTENAC,33923 HIGHWAY 61 BLVD,FRONTENAC,MN,55026,2009,,Y25321,P
CENTRAL,4J,MN-ND,553,55027,GOODHUE,205 N BROADWAY,GOODHUE,MN,55027,9205,,Y25362,P
CENTRAL,4J,MN-ND,553,55029,GRANDY,2961 369TH AVE NE,GRANDY,MN,55029,7000,P,Y25376,P
CENTRAL,4J,MN-ND,553,55030,GRASSTON,200 PINE ST,GRASSTON,MN,55030,9743,,Y25384,P
CENTRAL,4J,MN-ND,553,55031,CANNON FALLS,419 MAIN ST W,CANNON FALLS,MN,55009,2044,,Y24958,P
CENTRAL,4J,MN-ND,553,55031,HAMPTON,23335 WATER ST,HAMPTON,MN,55031,9798,,Y25424,P
CENTRAL,4J,MN-ND,553,55032,HARRIS,43812 GINGER AVE,HARRIS,MN,55032,3267,,Y25436,P
CENTRAL,4J,MN-ND,553,55033,HASTINGS,300 2ND ST E,HASTINGS,MN,55033,1206,,Y25440,P
CENTRAL,4J,MN-ND,553,55037,HINCKLEY,204 MAIN ST E,HINCKLEY,MN,55037,9368,,Y25473,P
CENTRAL,4J,MN-ND,553,55038,HUGO,5615 150TH ST N,HUGO,MN,55038,8482,,Y25504,P
CENTRAL,4J,MN-ND,553,55040,ISANTI,25 W MAIN ST,ISANTI,MN,55040,5001,,Y25536,P
CENTRAL,4J,MN-ND,553,55041,LAKE CITY,111 S HIGH ST,LAKE CITY,MN,55041,1637,,Y25605,P
