area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,KS-MO,630,63005,CHESTERFIELD,16105 SWINGLEY RIDGE RD,CHESTERFIELD,MO,63017,9998,,W16165,P
CENTRAL,4J,KS-MO,630,63006,CHESTERFIELD,16105 SWINGLEY RIDGE RD,CHESTERFIELD,MO,63017,9998,P,W16165,P
CENTRAL,4J,KS-MO,630,63006,TOWN AND COUNTRY,1100 TOWN AND COUNTRY COMMONS DR,CHESTERFIELD,MO,63017,9997,P,W18459,B
CENTRAL,4J,KS-MO,630,63010,ARNOLD,2184 MICHIGAN AVE,ARNOLD,MO,63010,9934,,W15741,P
CENTRAL,4J,KS-MO,630,63011,BALLWIN,15455 MANCHESTER RD,BALLWIN,MO,63011,9998,,W15781,P
CENTRAL,4J,KS-MO,630,63011,MANCHESTER,613 BIG BEND RD,MANCHESTER,MO,63021,9998,,018355,B
CENTRAL,4J,KS-MO,630,63012,BARNHART,1635 MARRIOTT LN,BARNHART,MO,63012,9998,,W15787,P
CENTRAL,4J,KS-MO,630,63012,IMPERIAL,6035 W OUTER RD,IMPERIAL,MO,63052,9998,,W16833,P
CENTRAL,4J,KS-MO,630,63013,BEAUFORT,6611 HIGHWAY 185,BEAUFORT,MO,63013,9998,,W15796,P
CENTRAL,4J,KS-MO,630,63014,BERGER,211 MARKET ST,BERGER,MO,63014,9998,,W15831,P
CENTRAL,4J,KS-MO,630,63015,CATAWISSA,3016 HIGHWAY N,CATAWISSA,MO,63015,9998,,W16119,P
CENTRAL,4J,KS-MO,630,63015,VILLA RIDGE,461 HIGHWAY M,VILLA RIDGE,MO,63089,9998,,W18544,P
CENTRAL,4J,KS-MO,630,63016,CEDAR HILL,7050 STATE ROAD BB,CEDAR HILL,MO,63016,9998,,W16130,P
CENTRAL,4J,KS-MO,630,63017,TOWN AND COUNTRY,1100 TOWN AND COUNTRY COMMONS DR,CHESTERFIELD,MO,63017,9997,,W18459,B
CENTRAL,4J,KS-MO,630,63019,CRYSTAL CITY,324 BAILEY RD,CRYSTAL CITY,MO,63019,9998,,W16288,P
CENTRAL,4J,KS-MO,630,63019,FESTUS,109 WALNUT ST,FESTUS,MO,63028,9998,,W16486,P
CENTRAL,4J,KS-MO,630,63020,DE SOTO,950 BOYD ST,DE SOTO,MO,63020,9998,,W16319,P
CENTRAL,4J,KS-MO,630,63021,BALLWIN,15455 MANCHESTER RD,BALLWIN,MO,63011,9998,,W15781,P
CENTRAL,4J,KS-MO,630,63022,BALLWIN,15455 MANCHESTER RD,BALLWIN,MO,63011,9998,P,W15781,P
CENTRAL,4J,KS-MO,630,63023,DITTMER,7768 STATE ROUTE 30,DITTMER,MO,63023,9998,,W16350,P
CENTRAL,4J,KS-MO,630,63024,MANCHESTER,613 BIG BEND RD,MANCHESTER,MO,63021,9998,P,018355,B
CENTRAL,4J,KS-MO,630,63025,EUREKA,101 THRESHER DR,EUREKA,MO,63025,9998,,W16449,P
CENTRAL,4J,KS-MO,630,63026,FENTON,10 FENTON PLZ,FENTON,MO,63026,9998,,W16481,P
CENTRAL,4J,KS-MO,630,63028,FESTUS,109 WALNUT ST,FESTUS,MO,63028,9998,,W16486,P
CENTRAL,4J,KS-MO,630,63030,DE SOTO,950 BOYD ST,DE SOTO,MO,63020,9998,,W16319,P
CENTRAL,4J,KS-MO,630,63030,FLETCHER,7682 OLD HIGHWAY H,FLETCHER,MO,63030,9998,,W16498,P
CENTRAL,4J,KS-MO,630,63031,CARR,1650 SHACKELFORD RD,FLORISSANT,MO,63031,9998,,W16092,S
CENTRAL,4J,KS-MO,630,63031,FLORISSANT,2200 N HIGHWAY 67,FLORISSANT,MO,63033,9998,,W16507,P
CENTRAL,4J,KS-MO,630,63032,FLORISSANT,2200 N HIGHWAY 67,FLORISSANT,MO,63033,9998,P,W16507,P
