area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,AL-MS,350,38601,ABBEVILLE,8 E LONG ST,ABBEVILLE,MS,38601,9998,,Y13153,P
SOUTHERN,4G,AL-MS,350,38602,ARKABUTLA,8294 ARKABUTLA RD,ARKABUTLA,MS,38602,9998,P,Y13182,P
SOUTHERN,4G,AL-MS,350,38603,ASHLAND,16010 BOUNDARY DR,ASHLAND,MS,38603,9998,,Y13187,P
SOUTHERN,4G,AL-MS,350,38606,BATESVILLE,375 LAKEWOOD DR,BATESVILLE,MS,38606,9998,,Y13215,P
SOUTHERN,4G,AL-MS,350,38610,BLUE MOUNTAIN,120 N GUYTON BLVD,BLUE MOUNTAIN,MS,38610,9998,,Y13282,P
SOUTHERN,4G,AL-MS,350,38611,BYHALIA,8140 HIGHWAY 178,BYHALIA,MS,38611,9998,,Y13338,P
SOUTHERN,4G,AL-MS,350,38614,CLARKSDALE,236 SHARKEY AVE RM 100,CLARKSDALE,MS,38614,9998,,Y13404,P
SOUTHERN,4G,AL-MS,350,38617,COAHOMA,100 W WALNUT ST,COAHOMA,MS,38617,9998,,Y13416,P
SOUTHERN,4G,AL-MS,350,38618,COLDWATER,686 2ND ST,COLDWATER,MS,38618,9998,,Y13422,P
SOUTHERN,4G,AL-MS,350,38619,COMO,209 N MAIN ST,COMO,MS,38619,9998,,Y13439,P
SOUTHERN,4G,AL-MS,350,38620,COURTLAND,252 OLD HIGHWAY 51,COURTLAND,MS,38620,9998,,Y13446,P
SOUTHERN,4G,AL-MS,350,38621,CRENSHAW,609 BROAD ST,CRENSHAW,MS,38621,9998,,Y13452,P
SOUTHERN,4G,AL-MS,350,38622,CROWDER,131A 3RD ST,CROWDER,MS,38622,9998,P,Y13459,P
SOUTHERN,4G,AL-MS,350,38623,DARLING,580 DARLING RD,DARLING,MS,38623,9998,P,Y13480,P
SOUTHERN,4G,AL-MS,350,38625,DUMAS,3481A HIGHWAY 370,DUMAS,MS,38625,9998,,Y13532,P
SOUTHERN,4G,AL-MS,350,38625,RIPLEY,919 CITY AVE S,RIPLEY,MS,38663,9998,,Y14310,P
SOUTHERN,4G,AL-MS,350,38626,DUNDEE,1028 RYALS RD,DUNDEE,MS,38626,9998,,Y13534,P
SOUTHERN,4G,AL-MS,350,38627,ETTA,1947 STATE ROAD 355,ETTA,MS,38627,9998,,Y13587,P
SOUTHERN,4G,AL-MS,350,38629,FALKNER,20610 HIGHWAY 15,FALKNER,MS,38629,9998,,Y13603,P
SOUTHERN,4G,AL-MS,350,38631,FRIARS POINT,774 2ND ST,FRIARS POINT,MS,38631,9998,P,Y13631,P
SOUTHERN,4G,AL-MS,350,38632,HERNANDO,12 W COMMERCE ST,HERNANDO,MS,38632,9998,,Y13733,P
SOUTHERN,4G,AL-MS,350,38633,HICKORY FLAT,535 HIGHWAY 5,HICKORY FLAT,MS,38633,9998,,Y13736,P
SOUTHERN,4G,AL-MS,350,38634,IDA B WELLS,365 MARTIN LUTHER KING JR DR,HOLLY SPRINGS,MS,38635,9998,P,000427,S
SOUTHERN,4G,AL-MS,350,38635,HOLLY SPRINGS,110 N MEMPHIS ST,HOLLY SPRINGS,MS,38635,9996,,Y13766,P
SOUTHERN,4G,AL-MS,350,38635,IDA B WELLS,365 MARTIN LUTHER KING JR DR,HOLLY SPRINGS,MS,38635,9998,,000427,S
SOUTHERN,4G,AL-MS,350,38637,HORN LAKE,3724 GOODMAN RD W,HORN LAKE,MS,38637,9998,,Y13771,P
SOUTHERN,4G,AL-MS,350,38638,INDEPENDENCE,15 BILL HANCOCK RD,INDEPENDENCE,MS,38638,9998,P,Y13784,P
SOUTHERN,4G,AL-MS,350,38639,JONESTOWN,195 LONGINO ST,JONESTOWN,MS,38639,9998,P,Y13815,P
SOUTHERN,4G,AL-MS,350,38641,LAKE CORMORANT,12744 STAR LANDING RD W,LAKE CORMORANT,MS,38641,9998,,Y13850,P
SOUTHERN,4G,AL-MS,350,38641,WALLS,6380 HIGHWAY 161,WALLS,MS,38680,9998,,Y14588,P
SOUTHERN,4G,AL-MS,350,38642,LAMAR,10464 LAMAR RD,LAMAR,MS,38642,9998,,Y13854,P
SOUTHERN,4G,AL-MS,350,38643,LAMBERT,700 COVINGTON AVE,LAMBERT,MS,38643,9998,,Y13856,P
SOUTHERN,4G,AL-MS,350,38643,MARKS,423 POPLAR ST,MARKS,MS,38646,9998,,Y13947,P
SOUTHERN,4G,AL-MS,350,38645,CLARKSDALE,236 SHARKEY AVE RM 100,CLARKSDALE,MS,38614,9998,,Y13404,P
SOUTHERN,4G,AL-MS,350,38645,LYON,109 PARK ST,LYON,MS,38645,9998,,Y13923,P
SOUTHERN,4G,AL-MS,350,38646,MARKS,423 POPLAR ST,MARKS,MS,38646,9998,,Y13947,P
SOUTHERN,4G,AL-MS,350,38647,ASHLAND,16010 BOUNDARY DR,ASHLAND,MS,38603,9998,,Y13187,P
SOUTHERN,4G,AL-MS,350,38647,MICHIGAN CITY,73 MAIN ST,MICHIGAN CITY,MS,38647,9998,,Y14001,P
SOUTHERN,4G,AL-MS,350,38649,MOUNT PLEASANT,7490 HIGHWAY 311,HOLLY SPRINGS,MS,38635,7806,P,Y14062,C
SOUTHERN,4G,AL-MS,350,38650,MYRTLE,1183 SPRINGDALE AVE,MYRTLE,MS,38650,9998,,Y14082,P
SOUTHERN,4G,AL-MS,350,38651,NESBIT,600 OLD HIGHWAY 51 N,NESBIT,MS,38651,9998,,Y14096,P
SOUTHERN,4G,AL-MS,350,38652,NEW ALBANY,801 E BANKHEAD ST,NEW ALBANY,MS,38652,9998,,Y14099,P
SOUTHERN,4G,AL-MS,350,38654,OLIVE BRANCH,8850 MIDSOUTH DR,OLIVE BRANCH,MS,38654,9998,,Y14149,P
SOUTHERN,4G,AL-MS,350,38655,OXFORD,401 MCELROY DR,OXFORD,MS,38655,9998,,Y14162,P
SOUTHERN,4G,AL-MS,350,38658,POPE,774 MAIN ST,POPE,MS,38658,9998,,Y14247,P
SOUTHERN,4G,AL-MS,350,38659,POTTS CAMP,24 S CENTER ST,POTTS CAMP,MS,38659,9998,,Y14262,P
SOUTHERN,4G,AL-MS,350,38661,RED BANKS,406 YARBROUGH LOOP,RED BANKS,MS,38661,9998,,Y14290,P
SOUTHERN,4G,AL-MS,350,38661,IDA B WELLS,365 MARTIN LUTHER KING JR DR,HOLLY SPRINGS,MS,38635,9998,,000427,S
SOUTHERN,4G,AL-MS,350,38663,RIPLEY,919 CITY AVE S,RIPLEY,MS,38663,9998,,Y14310,P
SOUTHERN,4G,AL-MS,350,38664,ROBINSONVILLE,11457 OLD HIGHWAY 61 N,ROBINSONVILLE,MS,38664,9998,,Y14313,P
SOUTHERN,4G,AL-MS,350,38665,SARAH,1353 SARAH RD,SARAH,MS,38665,9998,,Y14361,P
SOUTHERN,4G,AL-MS,350,38666,SARDIS,209 S MAIN ST,SARDIS,MS,38666,9998,,Y14362,P
SOUTHERN,4G,AL-MS,350,38668,SENATOBIA,100 W MAIN ST,SENATOBIA,MS,38668,9998,,Y14379,P
SOUTHERN,4G,AL-MS,350,38670,SLEDGE,130 WILLIAMS AVE,SLEDGE,MS,38670,9998,,Y14412,P
SOUTHERN,4G,AL-MS,350,38671,SOUTHAVEN,7550 AIRWAYS BLVD,SOUTHAVEN,MS,38671,9998,,Y14428,P
SOUTHERN,4G,AL-MS,350,38672,SOUTHAVEN,7550 AIRWAYS BLVD,SOUTHAVEN,MS,38671,9998,,Y14428,P
SOUTHERN,4G,AL-MS,350,38673,OXFORD,401 MCELROY DR,OXFORD,MS,38655,9998,,Y14162,P
SOUTHERN,4G,AL-MS,350,38673,TAYLOR,1 MAIN ST,TAYLOR,MS,38673,9998,,Y14479,P
SOUTHERN,4G,AL-MS,350,38674,FALKNER,20610 HIGHWAY 15,FALKNER,MS,38629,9998,,Y13603,P
SOUTHERN,4G,AL-MS,350,38674,TIPLERSVILLE,24440 HIGHWAY 15,TIPLERSVILLE,MS,38674,9998,,Y14505,P
SOUTHERN,4G,AL-MS,350,38676,TUNICA,912 MAGNOLIA ST,TUNICA,MS,38676,9998,,Y14530,P
SOUTHERN,4G,AL-MS,350,38679,VICTORIA,5764 HIGHWAY 178 W,VICTORIA,MS,38679,9998,P,Y14574,P
SOUTHERN,4G,AL-MS,350,38680,WALLS,6380 HIGHWAY 161,WALLS,MS,38680,9998,,Y14588,P
SOUTHERN,4G,AL-MS,350,38683,WALNUT,50 HIGHWAY 354,WALNUT,MS,38683,9998,,Y14590,P
SOUTHERN,4G,AL-MS,350,38685,WATERFORD,9 BETHLEHEM RD,WATERFORD,MS,38685,9998,,Y14602,P
SOUTHERN,4G,AL-MS,350,38701,CROSSROADS,1910 HIGHWAY 82 E,GREENVILLE,MS,38703,9998,,Y13456,S
SOUTHERN,4G,AL-MS,350,38701,GREENVILLE,305 MAIN ST STE 154,GREENVILLE,MS,38701,9998,,Y13682,P
SOUTHERN,4G,AL-MS,350,38702,GREENVILLE,305 MAIN ST STE 154,GREENVILLE,MS,38701,9998,P,Y13682,P
SOUTHERN,4G,AL-MS,350,38703,CROSSROADS,1910 HIGHWAY 82 E,GREENVILLE,MS,38703,9998,,Y13456,S
SOUTHERN,4G,AL-MS,350,38704,CROSSROADS,1910 HIGHWAY 82 E,GREENVILLE,MS,38703,9998,P,Y13456,S
SOUTHERN,4G,AL-MS,350,38720,ALLIGATOR,5 MAIN ST,ALLIGATOR,MS,38720,9998,,Y13167,P
SOUTHERN,4G,AL-MS,350,38721,ANGUILLA,119 HOLLAND ST,ANGUILLA,MS,38721,9998,,Y13176,P
SOUTHERN,4G,AL-MS,350,38722,ARCOLA,101B TOWER LN,ARCOLA,MS,38722,9998,P,Y13180,P
SOUTHERN,4G,AL-MS,350,38723,AVON,50 AVON RD N,AVON,MS,38723,9998,P,Y13196,P
SOUTHERN,4G,AL-MS,350,38725,BENOIT,105 PRESTON ST,BENOIT,MS,38725,9998,,Y13246,P
SOUTHERN,4G,AL-MS,350,38726,BEULAH,220 N CLARK ST,BEULAH,MS,38726,9998,,Y13255,P
SOUTHERN,4G,AL-MS,350,38730,BOYLE,123 T M JONES HWY,BOYLE,MS,38730,9998,,Y13300,P
SOUTHERN,4G,AL-MS,350,38730,CLEVELAND,210 S CHRISMAN AVE,CLEVELAND,MS,38732,9998,,Y13410,P
SOUTHERN,4G,AL-MS,350,38732,CLEVELAND,210 S CHRISMAN AVE,CLEVELAND,MS,38732,9998,,Y13410,P
SOUTHERN,4G,AL-MS,350,38736,DODDSVILLE,110 5TH AVE,DODDSVILLE,MS,38736,9998,,Y13511,P
