area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,ID-MT-OR,970,59001,ABSAROKEE,25 N MONTANA AVE,ABSAROKEE,MT,59001,9998,,Z13006,P
WESTPAC,4E,ID-MT-OR,970,59003,ASHLAND,304 MAIN ST,ASHLAND,MT,59003,9998,,Z13020,P
WESTPAC,4E,ID-MT-OR,970,59006,BALLANTINE,1605 ASH ST,BALLANTINE,MT,59006,9998,,Z13026,P
WESTPAC,4E,ID-MT-OR,970,59007,BEARCREEK,139 MAIN ST,BEARCREEK,MT,59007,9998,,Z13028,P
WESTPAC,4E,ID-MT-OR,970,59008,BELFRY,115 VAILL AVE,BELFRY,MT,59008,9998,,Z13030,P
WESTPAC,4E,ID-MT-OR,970,59010,BIGHORN,138 BIGHORN RD,BIGHORN,MT,59010,9998,,Z13043,P
WESTPAC,4E,ID-MT-OR,970,59011,BIG TIMBER,415 WALNUT ST,BIG TIMBER,MT,59011,9998,,Z13041,P
WESTPAC,4E,ID-MT-OR,970,59012,BIRNEY,302 COMMERCIAL ST,BIRNEY,MT,59012,9998,,Z13048,P
WESTPAC,4E,ID-MT-OR,970,59013,BOYD,1 MONTANA ST,BOYD,MT,59013,9998,P,Z13056,C
WESTPAC,4E,ID-MT-OR,970,59014,BRIDGER,113 N MAIN ST,BRIDGER,MT,59014,9998,,Z13061,P
WESTPAC,4E,ID-MT-OR,970,59015,BROADVIEW,16713 IOWA AVE,BROADVIEW,MT,59015,9998,,Z13063,P
WESTPAC,4E,ID-MT-OR,970,59016,BUSBY,301 US HIGHWAY 212 E,BUSBY,MT,59016,9998,,Z13069,P
WESTPAC,4E,ID-MT-OR,970,59018,CLYDE PARK,103 1ST AVE N,CLYDE PARK,MT,59018,9998,P,Z13092,P
WESTPAC,4E,ID-MT-OR,970,59019,COLUMBUS,139 N PRATTEN ST,COLUMBUS,MT,59019,9998,,Z13097,P
WESTPAC,4E,ID-MT-OR,970,59020,COOKE CITY,208 MAIN ST E,COOKE CITY,MT,59020,9998,P,Z13102,P
WESTPAC,4E,ID-MT-OR,970,59022,CROW AGENCY,7001 E MAKAWASHA AVE,CROW AGENCY,MT,59022,9998,,Z13109,P
WESTPAC,4E,ID-MT-OR,970,59024,CUSTER,413 2ND AVE,CUSTER,MT,59024,9998,,Z13112,P
WESTPAC,4E,ID-MT-OR,970,59025,DECKER,1 HIGHWAY 314,DECKER,MT,59025,9998,,Z13118,P
WESTPAC,4E,ID-MT-OR,970,59026,EDGAR,201 ELWELL ST,EDGAR,MT,59026,9998,,Z13136,P
WESTPAC,4E,ID-MT-OR,970,59027,EMIGRANT,305 STORY RD,EMIGRANT,MT,59027,9998,,Z13140,P
WESTPAC,4E,ID-MT-OR,970,59028,FISHTAIL,200 W MAIN ST,FISHTAIL,MT,59028,9998,,Z13159,P
WESTPAC,4E,ID-MT-OR,970,59029,FROMBERG,123 W RIVER ST,FROMBERG,MT,59029,9998,,Z13176,P
WESTPAC,4E,ID-MT-OR,970,59030,GARDINER,707 SCOTT ST W,GARDINER,MT,59030,9998,,Z13180,P
WESTPAC,4E,ID-MT-OR,970,59031,GARRYOWEN,4185 GARRYOWEN RD,GARRYOWEN,MT,59031,9998,,Z13183,P
WESTPAC,4E,ID-MT-OR,970,59032,GRASS RANGE,614 MAIN ST,GRASS RANGE,MT,59032,9998,,Z13196,P
WESTPAC,4E,ID-MT-OR,970,59033,GREYCLIFF,217 A ST,GREYCLIFF,MT,59033,9998,,Z13200,P
WESTPAC,4E,ID-MT-OR,970,59034,HARDIN,502 N CHEYENNE AVE,HARDIN,MT,59034,9998,,Z13204,P
WESTPAC,4E,ID-MT-OR,970,59035,CPU YELLOWTAIL,1 PARKDALE CT,FORT SMITH,MT,59035,9998,P,Z13484,5
WESTPAC,4E,ID-MT-OR,970,59036,HARLOWTON,12 1ST ST SE,HARLOWTON,MT,59036,9998,P,Z13206,P
WESTPAC,4E,ID-MT-OR,970,59037,HUNTLEY,155 NORTHERN AVE,HUNTLEY,MT,59037,9998,,Z13231,P
WESTPAC,4E,ID-MT-OR,970,59038,HYSHAM,118 SPURLING ST,HYSHAM,MT,59038,9998,,Z13233,P
WESTPAC,4E,ID-MT-OR,970,59039,INGOMAR,403 1ST AVE,INGOMAR,MT,59039,9000,,Z13234,P
WESTPAC,4E,ID-MT-OR,970,59041,JOLIET,120 E FRONT AVE,JOLIET,MT,59041,9998,,Z13240,P
WESTPAC,4E,ID-MT-OR,970,59043,LAME DEER,346 LAME DEER RD,LAME DEER,MT,59043,9998,P,Z13256,P
WESTPAC,4E,ID-MT-OR,970,59044,LAUREL,614 1ST AVE,LAUREL,MT,59044,9998,,Z13259,P
WESTPAC,4E,ID-MT-OR,970,59046,LAVINA,2 MAIN ST,LAVINA,MT,59046,9998,,Z13260,P
WESTPAC,4E,ID-MT-OR,970,59047,LIVINGSTON,105 N 2ND ST FL 1,LIVINGSTON,MT,59047,9998,,Z13268,P
WESTPAC,4E,ID-MT-OR,970,59047,LIVINGSTON ANNEX,230 JEFFERSON ST,LIVINGSTON,MT,59047,4202,,Z18975,4
WESTPAC,4E,ID-MT-OR,970,59050,LODGE GRASS,14 S MAIN ST,LODGE GRASS,MT,59050,9998,,Z13271,P
WESTPAC,4E,ID-MT-OR,970,59052,BIG TIMBER,415 WALNUT ST,BIG TIMBER,MT,59011,9998,,Z13041,P
WESTPAC,4E,ID-MT-OR,970,59053,MARTINSDALE,202 MAIN ST,MARTINSDALE,MT,59053,9998,,Z13285,P
WESTPAC,4E,ID-MT-OR,970,59054,MELSTONE,310 1ST ST W,MELSTONE,MT,59054,9998,P,Z13295,P
WESTPAC,4E,ID-MT-OR,970,59055,BIG TIMBER,415 WALNUT ST,BIG TIMBER,MT,59011,9998,,Z13041,P
WESTPAC,4E,ID-MT-OR,970,59055,MELVILLE,7 JABS RD,MELVILLE,MT,59055,9998,,Z13296,P
WESTPAC,4E,ID-MT-OR,970,59057,MOLT,118 WOLFSKILL AVE,MOLT,MT,59057,9998,,Z13307,P
WESTPAC,4E,ID-MT-OR,970,59058,WINNETT,5 W MAIN ST,WINNETT,MT,59087,9998,,Z13474,P
WESTPAC,4E,ID-MT-OR,970,59059,MUSSELSHELL,17 S MUSSELSHELL RD,MUSSELSHELL,MT,59059,9998,,Z13315,P
WESTPAC,4E,ID-MT-OR,970,59061,NYE,1997 NYE RD,FISHTAIL,MT,59028,9900,,019128,C
WESTPAC,4E,ID-MT-OR,970,59062,OTTER,268 OTTER CREEK RD,OTTER,MT,59062,9998,,Z13328,P
WESTPAC,4E,ID-MT-OR,970,59063,PARK CITY,6 1ST AVE SW,PARK CITY,MT,59063,9998,,Z13333,P
WESTPAC,4E,ID-MT-OR,970,59064,POMPEYS PILLAR,3519 2ND ST S,POMPEYS PILLAR,MT,59064,9998,,Z13345,P
WESTPAC,4E,ID-MT-OR,970,59065,PRAY,8 PRAY RD,PRAY,MT,59065,9998,,Z13351,P
WESTPAC,4E,ID-MT-OR,970,59066,PRYOR,130 MAKPUA AVE,PRYOR,MT,59066,9998,P,Z13353,P
WESTPAC,4E,ID-MT-OR,970,59067,RAPELJE,219 4TH ST,RAPELJE,MT,59067,9998,,Z13356,P
WESTPAC,4E,ID-MT-OR,970,59068,RED LODGE,119 S HAUSER AVE,RED LODGE,MT,59068,9998,,Z13360,P
WESTPAC,4E,ID-MT-OR,970,59069,REED POINT,3 DIVISION ST,REED POINT,MT,59069,9998,,Z13362,P
WESTPAC,4E,ID-MT-OR,970,59070,ROBERTS,1 N 1ST ST,ROBERTS,MT,59070,9998,,Z13369,P
WESTPAC,4E,ID-MT-OR,970,59071,ROSCOE,111 MAIN ST,ROSCOE,MT,59071,9998,,Z13375,P
WESTPAC,4E,ID-MT-OR,970,59072,ROUNDUP,908 MAIN ST,ROUNDUP,MT,59072,9998,,Z13377,P
WESTPAC,4E,ID-MT-OR,970,59074,RYEGATE,114 1ST ST N,RYEGATE,MT,59074,9998,,Z13380,P
WESTPAC,4E,ID-MT-OR,970,59075,SAINT XAVIER,108 FORT SMITH AVE,SAINT XAVIER,MT,59075,9998,,Z13387,P
WESTPAC,4E,ID-MT-OR,970,59077,SAND SPRINGS,3198 HIGHWAY 200 W,SAND SPRINGS,MT,59077,9998,,Z13390,P
WESTPAC,4E,ID-MT-OR,970,59078,SHAWMUT,4 W FIRST AVE,SHAWMUT,MT,59078,9998,,Z13396,P
WESTPAC,4E,ID-MT-OR,970,59079,SHEPHERD,5450 CAREY AVE,SHEPHERD,MT,59079,9998,,Z13398,P
WESTPAC,4E,ID-MT-OR,970,59081,COOKE CITY,208 MAIN ST E,COOKE CITY,MT,59020,9998,,Z13102,P
WESTPAC,4E,ID-MT-OR,970,59082,BIG TIMBER,415 WALNUT ST,BIG TIMBER,MT,59011,9998,,Z13041,P
WESTPAC,4E,ID-MT-OR,970,59083,SUMATRA,2960 SUMATRA HYSHAM RD,SUMATRA,MT,59083,9998,P,Z13420,P
WESTPAC,4E,ID-MT-OR,970,59085,TWO DOT,68 TWO DOT HWY,TWO DOT,MT,59085,9998,,Z13441,P
WESTPAC,4E,ID-MT-OR,970,59086,CLYDE PARK,103 1ST AVE N,CLYDE PARK,MT,59018,9998,,Z13092,P
WESTPAC,4E,ID-MT-OR,970,59086,WILSALL,310 ELLIOT ST N,WILSALL,MT,59086,9998,,Z13471,P
WESTPAC,4E,ID-MT-OR,970,59087,WINNETT,5 W MAIN ST,WINNETT,MT,59087,9998,,Z13474,P
WESTPAC,4E,ID-MT-OR,970,59088,WORDEN,2427 MAIN ST,WORDEN,MT,59088,9998,,Z13481,P
WESTPAC,4E,ID-MT-OR,970,59089,WYOLA,15 S MONDELL AVE,WYOLA,MT,59089,9998,,Z13482,P
WESTPAC,4E,ID-MT-OR,970,59101,BILLINGS,841 S 26TH ST,BILLINGS,MT,59101,9600,,Z13046,P
WESTPAC,4E,ID-MT-OR,970,59102,CENTENNIAL,2250 GRANT RD,BILLINGS,MT,59102,9998,,Z13081,S
WESTPAC,4E,ID-MT-OR,970,59102,PIONEER,724 15TH ST W,BILLINGS,MT,59102,4170,,Z13338,S
WESTPAC,4E,ID-MT-OR,970,59103,DOWNTOWN BILLINGS,2602 1ST AVE N FL 1,BILLINGS,MT,59101,2366,P,Z13128,S
WESTPAC,4E,ID-MT-OR,970,59104,PIONEER,724 15TH ST W,BILLINGS,MT,59102,4170,P,Z13338,S
WESTPAC,4E,ID-MT-OR,970,59105,RONALD REAGAN,710 WICKS LN,BILLINGS,MT,59105,9998,,001254,S
WESTPAC,4E,ID-MT-OR,970,59106,BILLINGS,841 S 26TH ST,BILLINGS,MT,59101,9600,,Z13046,P
WESTPAC,4E,ID-MT-OR,970,59107,BILLINGS,841 S 26TH ST,BILLINGS,MT,59101,9600,P,Z13046,P
WESTPAC,4E,ID-MT-OR,970,59108,CENTENNIAL,2250 GRANT RD,BILLINGS,MT,59102,9998,P,Z13081,S
WESTPAC,4E,ID-MT-OR,970,59201,WOLF POINT,131 FRONT ST,WOLF POINT,MT,59201,9998,,Z13480,P
WESTPAC,4E,ID-MT-OR,970,59211,ANTELOPE,104 MAIN ST,ANTELOPE,MT,59211,9998,,Z13016,P
