area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,NORTH CAROLINA,270,27006,ADVANCE,1860 NC HIGHWAY 801 S,ADVANCE,NC,27006,9998,,Y14681,P
ATLANTIC,4B,NORTH CAROLINA,270,27007,ARARAT,1354 ARARAT RD,ARARAT,NC,27007,9998,,Y14715,P
ATLANTIC,4B,NORTH CAROLINA,270,27007,PILOT MOUNTAIN,647K S KEY ST,PILOT MOUNTAIN,NC,27041,9998,,Y16164,P
ATLANTIC,4B,NORTH CAROLINA,270,27009,BELEWS CREEK,8540 BELEWS CREEK RD,BELEWS CREEK,NC,27009,9998,,Y14802,P
ATLANTIC,4B,NORTH CAROLINA,270,27010,BETHANIA,5670 MAIN ST,BETHANIA,NC,27010,9800,P,Y14821,P
ATLANTIC,4B,NORTH CAROLINA,270,27011,BOONVILLE,202 S CAROLINA AVE,BOONVILLE,NC,27011,9998,,Y14868,P
ATLANTIC,4B,NORTH CAROLINA,270,27012,CLEMMONS,3630 CLEMMONS RD,CLEMMONS,NC,27012,9998,,Y15021,P
ATLANTIC,4B,NORTH CAROLINA,270,27013,CLEVELAND,105 W MAIN ST,CLEVELAND,NC,27013,9998,,Y15022,P
ATLANTIC,4B,NORTH CAROLINA,270,27014,COOLEEMEE,7814 NC HWY 801 S,COOLEEMEE,NC,27014,9800,P,Y15062,P
ATLANTIC,4B,NORTH CAROLINA,270,27016,DANBURY,303 N MAIN ST,DANBURY,NC,27016,7654,,Y15115,P
ATLANTIC,4B,NORTH CAROLINA,270,27016,WALNUT COVE,217 N MAIN ST,WALNUT COVE,NC,27052,9998,,Y16720,P
ATLANTIC,4B,NORTH CAROLINA,270,27017,DOBSON,214 W KAPP ST,DOBSON,NC,27017,8826,,Y15139,P
ATLANTIC,4B,NORTH CAROLINA,270,27018,EAST BEND,448 E MAIN ST,EAST BEND,NC,27018,7487,,Y15198,P
ATLANTIC,4B,NORTH CAROLINA,270,27019,GERMANTON,3188 NC 65 HWY W,GERMANTON,NC,27019,8321,,Y15398,P
ATLANTIC,4B,NORTH CAROLINA,270,27020,HAMPTONVILLE,2943 ROCKY BRANCH RD,HAMPTONVILLE,NC,27020,8392,,Y15493,P
ATLANTIC,4B,NORTH CAROLINA,270,27021,KING,603 S MAIN ST,KING,NC,27021,9998,,Y15680,P
ATLANTIC,4B,NORTH CAROLINA,270,27022,LAWSONVILLE,3471 PINEY GROVE CHURCH RD,LAWSONVILLE,NC,27022,9998,,Y15721,P
ATLANTIC,4B,NORTH CAROLINA,270,27022,SANDY RIDGE,4918 NC 704 HWY E,SANDY RIDGE,NC,27046,9998,,Y16383,P
ATLANTIC,4B,NORTH CAROLINA,270,27023,LEWISVILLE,7011 GREAT WAGON RD,LEWISVILLE,NC,27023,9997,,Y15743,P
ATLANTIC,4B,NORTH CAROLINA,270,27024,LOWGAP,8855 W PINE ST,LOWGAP,NC,27024,9998,,Y15802,P
ATLANTIC,4B,NORTH CAROLINA,270,27025,MADISON,302 HIGHWAY ST STE 195,MADISON,NC,27025,1673,,Y15817,P
ATLANTIC,4B,NORTH CAROLINA,270,27027,MAYODAN,1000 W MAIN ST,MAYODAN,NC,27027,2532,,Y15859,P
ATLANTIC,4B,NORTH CAROLINA,270,27028,MOCKSVILLE,1119 YADKINVILLE RD,MOCKSVILLE,NC,27028,2565,,Y15926,P
