area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,MN-ND,553,56520,WAHPETON,926 2ND AVE N,WAHPETON,ND,58075,9998,,W19382,P
CENTRAL,4J,MN-ND,553,56721,GRAND FORKS,2501 28TH AVE S,GRAND FORKS,ND,58201,9998,,W18967,P
CENTRAL,4J,MN-ND,553,58001,ABERCROMBIE,515 BROADWAY,ABERCROMBIE,ND,58001,9998,P,W18705,P
CENTRAL,4J,MN-ND,553,58002,HUNTER,107 MAIN ST,HUNTER,ND,58048,9998,,W19025,P
CENTRAL,4J,MN-ND,553,58006,ARTHUR,330 MAIN ST,ARTHUR,ND,58006,9998,,W18730,P
CENTRAL,4J,MN-ND,553,58007,HUNTER,107 MAIN ST,HUNTER,ND,58048,9998,,W19025,P
CENTRAL,4J,MN-ND,553,58011,BUFFALO,305 MAIN ST,BUFFALO,ND,58011,9998,,W18788,P
CENTRAL,4J,MN-ND,553,58012,CASSELTON,840 FRONT ST,CASSELTON,ND,58012,9998,,W18807,P
CENTRAL,4J,MN-ND,553,58015,CHRISTINE,209 MAINE ST,CHRISTINE,ND,58015,9998,,W18816,P
CENTRAL,4J,MN-ND,553,58016,CLIFFORD,100 GARFIELD AVE W,CLIFFORD,ND,58016,9998,,W18820,P
CENTRAL,4J,MN-ND,553,58017,COGSWELL,299 4TH AVE,COGSWELL,ND,58017,9998,,W18823,P
CENTRAL,4J,MN-ND,553,58018,COLFAX,206 MAIN AVE,COLFAX,ND,58018,9998,,W18825,P
CENTRAL,4J,MN-ND,553,58021,DAVENPORT,50 1ST AVE,DAVENPORT,ND,58021,9998,,W18846,P
CENTRAL,4J,MN-ND,553,58027,ENDERLIN,309 RAILWAY ST,ENDERLIN,ND,58027,9998,,W18891,P
CENTRAL,4J,MN-ND,553,58029,ERIE,406 MAIN AVE,ERIE,ND,58029,9998,,W18894,P
CENTRAL,4J,MN-ND,553,58029,HUNTER,107 MAIN ST,HUNTER,ND,58048,9998,,W19025,P
CENTRAL,4J,MN-ND,553,58030,FAIRMOUNT,202 MAIN AVE,FAIRMOUNT,ND,58030,9998,,W18898,P
CENTRAL,4J,MN-ND,553,58031,FINGAL,406 3RD ST,FINGAL,ND,58031,9998,,W18907,P
CENTRAL,4J,MN-ND,553,58032,FORMAN,333 MAIN ST S,FORMAN,ND,58032,9998,,W18918,P
CENTRAL,4J,MN-ND,553,58033,FORT RANSOM,102 E MAIN ST,FORT RANSOM,ND,58033,9998,,W18920,P
CENTRAL,4J,MN-ND,553,58035,GALESBURG,102 DAKOTA AVE E,GALESBURG,ND,58035,9998,,W18940,P
CENTRAL,4J,MN-ND,553,58035,HUNTER,107 MAIN ST,HUNTER,ND,58048,9998,,W19025,P
CENTRAL,4J,MN-ND,553,58038,GRANDIN,301 3RD ST,GRANDIN,ND,58038,9998,,W18971,P
CENTRAL,4J,MN-ND,553,58040,GWINNER,21 S MAIN ST,GWINNER,ND,58040,9998,,W18981,P
CENTRAL,4J,MN-ND,553,58041,HANKINSON,345 MAIN AVE S,HANKINSON,ND,58041,9998,,W18991,P
CENTRAL,4J,MN-ND,553,58042,HARWOOD,521 DAKOTA AVE,HARWOOD,ND,58042,9998,,W19000,P
CENTRAL,4J,IA-NE-SD,500,58043,HAVANA,112 SARGENT AVE W,HAVANA,ND,58043,9998,,W19003,P
CENTRAL,4J,MN-ND,553,58045,HILLSBORO,16 1ST ST NW,HILLSBORO,ND,58045,9998,,W19018,P
CENTRAL,4J,MN-ND,553,58046,HOPE,206 STEELE AVE,HOPE,ND,58046,9998,,W19022,P
CENTRAL,4J,MN-ND,553,58047,HORACE,91 MAIN ST N,HORACE,ND,58047,9998,,W19023,P
CENTRAL,4J,MN-ND,553,58048,HUNTER,107 MAIN ST,HUNTER,ND,58048,9998,,W19025,P
CENTRAL,4J,MN-ND,553,58049,KATHRYN,307 1ST AVE,KATHRYN,ND,58049,9998,,W19042,P
CENTRAL,4J,MN-ND,553,58051,KINDRED,472 ELM ST,KINDRED,ND,58051,9998,,W19051,P
CENTRAL,4J,MN-ND,553,58052,LEONARD,406 RAILROAD AVE S,LEONARD,ND,58052,9998,,W19080,P
CENTRAL,4J,MN-ND,553,58053,LIDGERWOOD,34 WILEY AVE S,LIDGERWOOD,ND,58053,9998,,W19082,P
CENTRAL,4J,MN-ND,553,58054,LISBON,17 4TH AVE W,LISBON,ND,58054,9998,,W19087,P
CENTRAL,4J,MN-ND,553,58058,MANTADOR,102 MAIN ST,MANTADOR,ND,58058,9998,,W19109,P
CENTRAL,4J,MN-ND,553,58059,MAPLETON,651 2ND ST,MAPLETON,ND,58059,9998,,W19113,P
CENTRAL,4J,MN-ND,553,58060,MILNOR,420 MAIN ST,MILNOR,ND,58060,9998,,W19144,P
CENTRAL,4J,MN-ND,553,58061,MOORETON,105 MOORETON AVE S,MOORETON,ND,58061,9998,,W19158,P
CENTRAL,4J,MN-ND,553,58062,NOME,408 MAIN ST,NOME,ND,58062,9998,,W19183,P
CENTRAL,4J,MN-ND,553,58063,ORISKA,311 5TH ST,ORISKA,ND,58063,9998,,W19198,P
CENTRAL,4J,MN-ND,553,58064,PAGE,137 MORTON AVE,PAGE,ND,58064,9998,,W19205,P
CENTRAL,4J,MN-ND,553,58067,RUTLAND,113 1ST ST,RUTLAND,ND,58067,9998,,W19262,P
CENTRAL,4J,MN-ND,553,58068,SHELDON,216 FRONT ST,SHELDON,ND,58068,9998,,W19284,P
CENTRAL,4J,MN-ND,553,58071,TOWER CITY,505 BROADWAY ST,TOWER CITY,ND,58071,9998,,W19362,P
CENTRAL,4J,MN-ND,553,58072,VALLEY CITY,149 3RD ST NE,VALLEY CITY,ND,58072,9998,,W19375,P
CENTRAL,4J,MN-ND,553,58074,WAHPETON,926 2ND AVE N,WAHPETON,ND,58075,9998,P,W19382,P
CENTRAL,4J,MN-ND,553,58075,WAHPETON,926 2ND AVE N,WAHPETON,ND,58075,9998,,W19382,P
CENTRAL,4J,MN-ND,553,58077,WALCOTT,472 MAIN AVE,WALCOTT,ND,58077,9998,,W19383,P
CENTRAL,4J,MN-ND,553,58078,WEST FARGO,415 MAIN AVE E,WEST FARGO,ND,58078,9998,,W19398,P
CENTRAL,4J,MN-ND,553,58079,CASSELTON,840 FRONT ST,CASSELTON,ND,58012,9998,,W18807,P
CENTRAL,4J,MN-ND,553,58081,WYNDMERE,455 4TH ST,WYNDMERE,ND,58081,9998,,W19422,P
CENTRAL,4J,MN-ND,553,58102,TROLLWOOD,3105 BROADWAY N STE 44,FARGO,ND,58102,1490,,W1C598,4
CENTRAL,4J,MN-ND,553,58103,PRAIRIEWOOD,1455 32ND ST S,FARGO,ND,58103,3400,,W19229,S
CENTRAL,4J,MN-ND,553,58104,PRAIRIEWOOD,1455 32ND ST S,FARGO,ND,58103,3400,,W19229,S
CENTRAL,4J,MN-ND,553,58105,FARGO,657 2ND AVE N RM 104,FARGO,ND,58102,9001,P,W18903,P
CENTRAL,4J,MN-ND,553,58106,PRAIRIEWOOD,1455 32ND ST S,FARGO,ND,58103,3400,P,W19229,S
CENTRAL,4J,MN-ND,553,58107,FARGO,657 2ND AVE N RM 104,FARGO,ND,58102,9001,P,W18903,P
CENTRAL,4J,MN-ND,553,58108,FARGO,657 2ND AVE N RM 104,FARGO,ND,58102,9001,P,W18903,P
CENTRAL,4J,MN-ND,553,58109,PRAIRIEWOOD,1455 32ND ST S,FARGO,ND,58103,3400,P,W19229,S
CENTRAL,4J,MN-ND,553,58201,GRAND FORKS,2501 28TH AVE S,GRAND FORKS,ND,58201,9998,,W18967,P
CENTRAL,4J,MN-ND,553,58203,GRAND FORKS,2501 28TH AVE S,GRAND FORKS,ND,58201,9998,,W18967,P
CENTRAL,4J,MN-ND,553,58204,GRAND FORKS AFB,590 HOLZAPPLE ST,GRAND FORKS AFB,ND,58204,1000,,W18968,B
CENTRAL,4J,MN-ND,553,58206,GRAND FORKS,2501 28TH AVE S,GRAND FORKS,ND,58201,9998,P,W18967,P
CENTRAL,4J,MN-ND,553,58208,GRAND FORKS,2501 28TH AVE S,GRAND FORKS,ND,58201,9998,P,W18967,P
CENTRAL,4J,MN-ND,553,58210,ADAMS,500 MAIN ST,ADAMS,ND,58210,9998,,W18707,P
CENTRAL,4J,MN-ND,553,58212,ANETA,207 MAIN AVE,ANETA,ND,58212,9998,,W18721,P
CENTRAL,4J,MN-ND,553,58214,ARVILLA,303 HUGHES AVE,ARVILLA,ND,58214,9998,,W18731,P
CENTRAL,4J,MN-ND,553,58214,EMERADO,202 MAIN ST,EMERADO,ND,58228,9998,,W18888,P
CENTRAL,4J,MN-ND,553,58216,CAVALIER,306 MAIN ST W,CAVALIER,ND,58220,9998,,W18809,P
CENTRAL,4J,MN-ND,553,58218,BUXTON,309 BROADWAY,BUXTON,ND,58218,9998,,W18795,P
CENTRAL,4J,MN-ND,553,58220,CAVALIER,306 MAIN ST W,CAVALIER,ND,58220,9998,,W18809,P
CENTRAL,4J,MN-ND,553,58222,CRYSTAL,332 3RD ST,CRYSTAL,ND,58222,9998,,W18841,P
CENTRAL,4J,MN-ND,553,58225,DRAYTON,202 S MAIN ST,DRAYTON,ND,58225,9998,,W18867,P
CENTRAL,4J,MN-ND,553,58227,EDINBURG,250 MAIN AVE,EDINBURG,ND,58227,9998,,W18879,P
CENTRAL,4J,MN-ND,553,58228,EMERADO,202 MAIN ST,EMERADO,ND,58228,9998,,W18888,P
CENTRAL,4J,MN-ND,553,58229,FAIRDALE,209 MAIN ST,FAIRDALE,ND,58229,9998,,W18896,P
CENTRAL,4J,MN-ND,553,58230,FINLEY,207 4TH ST W,FINLEY,ND,58230,9998,,W18908,P
CENTRAL,4J,MN-ND,553,58231,FORDVILLE,104 MAIN ST N,FORDVILLE,ND,58231,9998,,W18916,P
CENTRAL,4J,MN-ND,553,58233,FOREST RIVER,106 FRONT ST,FOREST RIVER,ND,58233,9998,,W18917,P
CENTRAL,4J,MN-ND,553,58235,GILBY,209 MAIN AVE,GILBY,ND,58235,9998,,W18950,P
CENTRAL,4J,MN-ND,553,58237,GRAFTON,506 GRIGGS AVE,GRAFTON,ND,58237,9998,,W18965,P
CENTRAL,4J,MN-ND,553,58238,HAMILTON,402 PAGE AVE STE A,HAMILTON,ND,58238,9998,,W18988,P
CENTRAL,4J,MN-ND,553,58240,HATTON,611 RAILROAD AVE E,HATTON,ND,58240,9998,,W19002,P
CENTRAL,4J,MN-ND,553,58241,CAVALIER,306 MAIN ST W,CAVALIER,ND,58220,9998,,W18809,P
CENTRAL,4J,MN-ND,553,58243,HOOPLE,236 2ND ST,HOOPLE,ND,58243,9998,,W19021,P
CENTRAL,4J,MN-ND,553,58249,LANGDON,323 8TH AVE,LANGDON,ND,58249,9998,,W19067,P
CENTRAL,4J,MN-ND,553,58250,LANKIN,301 MAIN ST,LANKIN,ND,58250,9998,,W19068,P
CENTRAL,4J,MN-ND,553,58251,LARIMORE,208 E FRONT ST,LARIMORE,ND,58251,9998,,W19070,P
CENTRAL,4J,MN-ND,553,58254,MCVILLE,109 N MAIN ST,MCVILLE,ND,58254,9998,,W19133,P
CENTRAL,4J,MN-ND,553,58256,MANVEL,502 OLDHAM AVE,MANVEL,ND,58256,9998,,W19110,P
CENTRAL,4J,MN-ND,553,58257,MAYVILLE,37 1ST AVE NE,MAYVILLE,ND,58257,9998,,W19121,P
CENTRAL,4J,MN-ND,553,58258,MEKINOCK,150 MAIN ST,MEKINOCK,ND,58258,9998,,W19136,P
CENTRAL,4J,MN-ND,553,58259,MICHIGAN,105 1ST ST E STE 4,MICHIGAN,ND,58259,9998,,W19142,P
CENTRAL,4J,MN-ND,553,58261,MINTO,221 HARVEY AVE,MINTO,ND,58261,9998,,W19153,P
CENTRAL,4J,MN-ND,553,58262,MOUNTAIN,286 2ND AVE STE B,MOUNTAIN,ND,58262,7718,,W19161,P
CENTRAL,4J,MN-ND,553,58265,NECHE,434 MAIN AVE,NECHE,ND,58265,9998,,W19168,P
CENTRAL,4J,MN-ND,553,58266,NIAGARA,107 N 2ND ST,NIAGARA,ND,58266,9998,,W19181,P
CENTRAL,4J,MN-ND,553,58266,PETERSBURG,214 5TH ST,PETERSBURG,ND,58272,9998,,W19213,P
CENTRAL,4J,MN-ND,553,58267,NORTHWOOD,4 N RAYMOND ST,NORTHWOOD,ND,58267,9998,,W19190,P
CENTRAL,4J,MN-ND,553,58269,OSNABROCK,326 BROADWAY,OSNABROCK,ND,58269,9998,,W19201,P
CENTRAL,4J,MN-ND,553,58270,PARK RIVER,309 BRIGGS AVE S,PARK RIVER,ND,58270,9998,,W19207,P
CENTRAL,4J,MN-ND,553,58271,PEMBINA,554 W ROLETTE ST,PEMBINA,ND,58271,9998,,W19210,P
CENTRAL,4J,MN-ND,553,58272,PETERSBURG,214 5TH ST,PETERSBURG,ND,58272,9998,,W19213,P
CENTRAL,4J,MN-ND,553,58273,PISEK,68 LOVICK AVE,PISEK,ND,58273,9998,,W19219,P
CENTRAL,4J,MN-ND,553,58274,PORTLAND,629 PARKE AVE,PORTLAND,ND,58274,9998,,W19224,P
CENTRAL,4J,MN-ND,553,58275,REYNOLDS,321 4TH AVE,REYNOLDS,ND,58275,9998,,W19241,P
CENTRAL,4J,MN-ND,553,58276,SAINT THOMAS,340 MAIN ST,SAINT THOMAS,ND,58276,9998,,W19268,P
CENTRAL,4J,MN-ND,553,58277,SHARON,307 MAIN ST,SHARON,ND,58277,9998,,W19283,P
CENTRAL,4J,MN-ND,553,58278,THOMPSON,205 3RD ST,THOMPSON,ND,58278,9998,,W19355,P
CENTRAL,4J,MN-ND,553,58281,LANGDON,323 8TH AVE,LANGDON,ND,58249,9998,,W19067,P
CENTRAL,4J,MN-ND,553,58282,WALHALLA,408 10TH ST,WALHALLA,ND,58282,9998,,W19385,P
CENTRAL,4J,MN-ND,553,58301,DEVILS LAKE,502 3RD ST NE,DEVILS LAKE,ND,58301,9998,,W18855,P
CENTRAL,4J,MN-ND,553,58316,BELCOURT,1 EXPRESS LN,BELCOURT,ND,58316,9998,,W18749,P
