area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,IA-NE-SD,500,51510,AMES AVENUE,3030 MEREDITH AVE,OMAHA,NE,68111,9998,,W19451,S
CENTRAL,4J,IA-NE-SD,500,68002,ARLINGTON,237 N 2ND ST,ARLINGTON,NE,68002,3106,,W19465,P
CENTRAL,4J,IA-NE-SD,500,68003,ASHLAND,1542 SILVER ST,ASHLAND,NE,68003,9998,,W19471,P
CENTRAL,4J,IA-NE-SD,500,68004,BANCROFT,203 W POPLAR ST,BANCROFT,NE,68004,9700,,W19482,P
CENTRAL,4J,IA-NE-SD,500,68004,LYONS,165 MAIN ST,LYONS,NE,68038,9701,,W19963,P
CENTRAL,4J,IA-NE-SD,500,68005,BELLEVUE,2609 VICTORIA AVE,BELLEVUE,NE,68005,9998,,W19503,P
CENTRAL,4J,IA-NE-SD,500,68005,OLDE TOWNE,103 E MISSION AVE,BELLEVUE,NE,68005,5261,,018833,S
CENTRAL,4J,IA-NE-SD,500,68007,NORTHWEST,6012 N 102ND ST,OMAHA,NE,68134,9998,,W1A074,B
CENTRAL,4J,IA-NE-SD,500,68007,BENNINGTON,124 S STARK ST,BENNINGTON,NE,68007,5158,,W19512,P
CENTRAL,4J,IA-NE-SD,500,68008,BLAIR,201 N 16TH ST,BLAIR,NE,68008,9998,,W19528,P
CENTRAL,4J,IA-NE-SD,500,68010,BOYS TOWN,139 S 144TH ST,OMAHA,NE,68154,5300,P,W19539,P
CENTRAL,4J,IA-NE-SD,500,68014,BRUNO,205 2ND ST,BRUNO,NE,68014,9700,,W19558,P
CENTRAL,4J,IA-NE-SD,500,68015,CEDAR BLUFFS,105 W MAIN ST,CEDAR BLUFFS,NE,68015,3110,,W19585,P
CENTRAL,4J,IA-NE-SD,500,68016,CEDAR CREEK,104 PARSON DR,CEDAR CREEK,NE,68016,9700,P,W19586,P
CENTRAL,4J,IA-NE-SD,500,68017,CERESCO,313 2ND ST,CERESCO,NE,68017,9700,,W19596,P
