area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,ME-NH-VT,040,03031,AMHERST,199 STATE ROUTE 101 UNIT 4D,AMHERST,NH,03031,9998,,V25338,P
ATLANTIC,4B,ME-NH-VT,040,03032,AUBURN,61 RAYMOND RD,AUBURN,NH,03032,9998,,V25344,P
ATLANTIC,4B,ME-NH-VT,040,03033,BROOKLINE,2 POST OFFICE DR,BROOKLINE,NH,03033,9998,,V25368,P
ATLANTIC,4B,ME-NH-VT,040,03033,MILFORD ANNEX,14 CAPRON RD,MILFORD,NH,03055,9997,,V28364,4
ATLANTIC,4B,ME-NH-VT,040,03034,CANDIA,115 RAYMOND RD,CANDIA,NH,03034,2135,,V25373,P
ATLANTIC,4B,ME-NH-VT,040,03036,CHESTER,5 CHESTER ST,CHESTER,NH,03036,9998,,V25389,P
ATLANTIC,4B,ME-NH-VT,040,03036,DERRY,24 TSIENNETO RD,DERRY,NH,03038,1599,,V25426,P
ATLANTIC,4B,ME-NH-VT,040,03037,DEERFIELD,17A RAYMOND RD,DEERFIELD,NH,03037,9998,,V25423,P
ATLANTIC,4B,ME-NH-VT,040,03038,DERRY,24 TSIENNETO RD,DERRY,NH,03038,1599,,V25426,P
ATLANTIC,4B,ME-NH-VT,040,03040,CANDIA,115 RAYMOND RD,CANDIA,NH,03034,2135,P,V25373,P
ATLANTIC,4B,ME-NH-VT,040,03041,EAST DERRY,50 E DERRY RD,EAST DERRY,NH,03041,9998,P,V25451,P
ATLANTIC,4B,ME-NH-VT,040,03042,EPPING,71 MAIN ST,EPPING,NH,03042,9998,,V25469,P
ATLANTIC,4B,ME-NH-VT,040,03043,FRANCESTOWN,158 2ND NH TPKE S,FRANCESTOWN,NH,03043,9998,,V25476,P
ATLANTIC,4B,ME-NH-VT,040,03044,FREMONT,51 BEEDE HILL RD,FREMONT,NH,03044,9998,,V25480,P
ATLANTIC,4B,ME-NH-VT,040,03044,RAYMOND,15 FREETOWN RD STE 1,RAYMOND,NH,03077,9998,,V25681,P
ATLANTIC,4B,ME-NH-VT,040,03045,GOFFSTOWN,11 CHURCH ST STE 1,GOFFSTOWN,NH,03045,9998,,V25492,P
ATLANTIC,4B,ME-NH-VT,040,03046,GOFFSTOWN,11 CHURCH ST STE 1,GOFFSTOWN,NH,03045,9998,,V25492,P
ATLANTIC,4B,ME-NH-VT,040,03047,GREENFIELD,75 SLIP RD,GREENFIELD,NH,03047,9998,,V25498,P
ATLANTIC,4B,ME-NH-VT,040,03048,GREENVILLE,15 MAIN ST,GREENVILLE,NH,03048,9998,,V25501,P
ATLANTIC,4B,ME-NH-VT,040,03049,HOLLIS,5 HUTCHINGS DR STE 100,HOLLIS,NH,03049,9998,,V25524,P
ATLANTIC,4B,ME-NH-VT,040,03051,HUDSON,35 EXECUTIVE DR,HUDSON,NH,03051,9997,,V25527,P
ATLANTIC,4B,ME-NH-VT,040,03051,HUDSON MALL,77 DERRY ST STE 13,HUDSON,NH,03051,3798,,V27584,S
ATLANTIC,4B,ME-NH-VT,040,03052,HUDSON,35 EXECUTIVE DR,HUDSON,NH,03051,9997,,V25527,P
ATLANTIC,4B,ME-NH-VT,040,03053,LONDONDERRY,86 NASHUA RD,LONDONDERRY,NH,03053,9998,,V25556,P
ATLANTIC,4B,ME-NH-VT,040,03054,MERRIMACK,510 DANIEL WEBSTER HWY,MERRIMACK,NH,03054,9998,,V25581,P
ATLANTIC,4B,ME-NH-VT,040,03055,MILFORD,12 MONT VERNON ST,MILFORD,NH,03055,9998,,V25584,P
ATLANTIC,4B,ME-NH-VT,040,03055,MILFORD ANNEX,14 CAPRON RD,MILFORD,NH,03055,9997,,V28364,4
ATLANTIC,4B,ME-NH-VT,040,03057,MONT VERNON,4 GRAND HILL RD,MONT VERNON,NH,03057,9998,,V25591,P
ATLANTIC,4B,ME-NH-VT,040,03057,MILFORD ANNEX,14 CAPRON RD,MILFORD,NH,03055,9997,,V28364,4
ATLANTIC,4B,ME-NH-VT,040,03060,NASHUA,38 SPRING ST,NASHUA,NH,03060,9998,,V25611,P
ATLANTIC,4B,ME-NH-VT,040,03060,NASHUA SOUTH,254 DANIEL WEBSTER HWY UNIT 1,NASHUA,NH,03060,9996,,V25726,S
ATLANTIC,4B,ME-NH-VT,040,03061,NASHUA,38 SPRING ST,NASHUA,NH,03060,9998,P,V25611,P
