area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,NEW JERSEY,070,07001,AVENEL,1065 RAHWAY AVE,AVENEL,NJ,07001,9998,,V10063,P
ATLANTIC,4B,NEW JERSEY,070,07002,BAYONNE,570 BROADWAY,BAYONNE,NJ,07002,9998,,V10082,P
ATLANTIC,4B,NEW JERSEY,070,07002,PAMRAPO,893 BROADWAY STE 1,BAYONNE,NJ,07002,9991,,V11145,S
ATLANTIC,4B,NEW JERSEY,070,07002,BERGEN POINT,195 BROADWAY STE 2,BAYONNE,NJ,07002,9992,,V19727,S
ATLANTIC,4B,NEW JERSEY,070,07003,BLOOMFIELD,13 MUNICIPAL PLZ,BLOOMFIELD,NJ,07003,9998,,V10137,P
ATLANTIC,4B,NEW JERSEY,070,07003,BROOKDALE,1296 BROAD ST,BLOOMFIELD,NJ,07003,9991,,V10182,S
ATLANTIC,4B,NEW JERSEY,070,07004,FAIRFIELD,400 FAIRFIELD RD STE 5,FAIRFIELD,NJ,07004,9998,,V10452,B
ATLANTIC,4B,NEW JERSEY,070,07004,WEST CALDWELL,155 CLINTON RD,CALDWELL,NJ,07006,9998,,V11705,B
ATLANTIC,4B,NEW JERSEY,070,07005,BOONTON,501 MAIN ST,BOONTON,NJ,07005,9998,,V10141,P
ATLANTIC,4B,NEW JERSEY,070,07006,CALDWELL,10 PARK AVE,CALDWELL,NJ,07006,9991,,V10203,P
ATLANTIC,4B,NEW JERSEY,070,07006,WEST CALDWELL,155 CLINTON RD,CALDWELL,NJ,07006,9998,,V11705,B
ATLANTIC,4B,NEW JERSEY,070,07007,WEST CALDWELL,155 CLINTON RD,CALDWELL,NJ,07006,9998,P,V11705,B
ATLANTIC,4B,NEW JERSEY,070,07008,CARTERET,212 PERSHING AVE,CARTERET,NJ,07008,9998,,V10219,P
ATLANTIC,4B,NEW JERSEY,070,07009,CEDAR GROVE,519 POMPTON AVE,CEDAR GROVE,NJ,07009,9998,,V10229,P
ATLANTIC,4B,NEW JERSEY,070,07010,CLIFF PARK,589 ANDERSON AVE STE 1,CLIFFSIDE PARK,NJ,07010,9991,,V10265,S
ATLANTIC,4B,NEW JERSEY,070,07010,CLIFFSIDE PARK,289 GORGE RD,CLIFFSIDE PARK,NJ,07010,9998,,V10266,P
ATLANTIC,4B,NEW JERSEY,070,07011,CLIFTON,811 PAULISON AVE,CLIFTON,NJ,07011,9998,,V10273,P
ATLANTIC,4B,NEW JERSEY,070,07012,ALLWOOD,495 ALLWOOD RD,CLIFTON,NJ,07012,9998,,V10026,S
ATLANTIC,4B,NEW JERSEY,070,07012,CLIFTON,811 PAULISON AVE,CLIFTON,NJ,07011,9998,,V10273,P
ATLANTIC,4B,NEW JERSEY,070,07013,CLIFTON,811 PAULISON AVE,CLIFTON,NJ,07011,9998,,V10273,P
ATLANTIC,4B,NEW JERSEY,070,07014,CLIFTON,811 PAULISON AVE,CLIFTON,NJ,07011,9998,,V10273,P
ATLANTIC,4B,NEW JERSEY,070,07014,DELAWANNA,266 MAIN AVE,CLIFTON,NJ,07014,9998,,V10325,S
ATLANTIC,4B,NEW JERSEY,070,07015,MAIN AVENUE,1114 MAIN AVE,CLIFTON,NJ,07011,9991,P,V10822,S
ATLANTIC,4B,NEW JERSEY,070,07016,CRANFORD,3 MILN ST,CRANFORD,NJ,07016,9998,,V10302,P
ATLANTIC,4B,NEW JERSEY,070,07017,EAST ORANGE,26 CITY HALL PLZ,EAST ORANGE,NJ,07018,9997,,V10385,P
ATLANTIC,4B,NEW JERSEY,070,07018,EAST ORANGE,26 CITY HALL PLZ,EAST ORANGE,NJ,07018,9997,,V10385,P
ATLANTIC,4B,NEW JERSEY,070,07019,EVERGREEN,60 EVERGREEN PL STE 101,EAST ORANGE,NJ,07018,9992,P,V1A522,S
ATLANTIC,4B,NEW JERSEY,070,07019,AMPERE,75 4TH AVE,EAST ORANGE,NJ,07017,9994,P,V10031,S
ATLANTIC,4B,NEW JERSEY,070,07019,DODDTOWN,333 DODD ST STE 1,EAST ORANGE,NJ,07017,9991,P,V10341,S
ATLANTIC,4B,NEW JERSEY,070,07019,EAST ORANGE,26 CITY HALL PLZ,EAST ORANGE,NJ,07018,9997,P,V10385,P
ATLANTIC,4B,NEW JERSEY,070,07020,EDGEWATER,770 RIVER RD,EDGEWATER,NJ,07020,9998,,V10398,P
ATLANTIC,4B,NEW JERSEY,070,07021,ESSEX FELLS,297 RUNNYMEDE RD,ESSEX FELLS,NJ,07021,9998,,V10440,P
ATLANTIC,4B,NEW JERSEY,070,07021,WEST CALDWELL,155 CLINTON RD,CALDWELL,NJ,07006,9998,,V11705,B
ATLANTIC,4B,NEW JERSEY,070,07022,CLIFFSIDE PARK,289 GORGE RD,CLIFFSIDE PARK,NJ,07010,9998,,V10266,P
ATLANTIC,4B,NEW JERSEY,070,07022,FAIRVIEW,6 ANDERSON AVE,FAIRVIEW,NJ,07022,9998,,V10459,P
ATLANTIC,4B,NEW JERSEY,070,07023,FANWOOD,275 SOUTH AVE,FANWOOD,NJ,07023,9998,,V10461,P
ATLANTIC,4B,NEW JERSEY,070,07024,FORT LEE,231 MAIN ST FL 1,FORT LEE,NJ,07024,9995,,V10494,P
ATLANTIC,4B,NEW JERSEY,070,07024,PALISADE,1213 ANDERSON AVE,FORT LEE,NJ,07024,9991,,V11137,S
ATLANTIC,4B,NEW JERSEY,070,07024,FORT LEE ANNEX,360 SYLVAN AVE STE 3,ENGLEWOOD CLIFFS,NJ,07632,2721,,V19874,4
ATLANTIC,4B,NEW JERSEY,070,07026,GARFIELD,254 PALISADE AVE,GARFIELD,NJ,07026,9998,,V10518,P
ATLANTIC,4B,NEW JERSEY,070,07026,OUTWATER,85 OUTWATER LN STE 4B,GARFIELD,NJ,07026,9991,,V11127,S
ATLANTIC,4B,NEW JERSEY,070,07027,CRANFORD,3 MILN ST,CRANFORD,NJ,07016,9998,,V10302,P
ATLANTIC,4B,NEW JERSEY,070,07027,GARWOOD,202 CENTER ST,GARWOOD,NJ,07027,9998,,V10519,P
ATLANTIC,4B,NEW JERSEY,070,07028,GLEN RIDGE,225 RIDGEWOOD AVE,GLEN RIDGE,NJ,07028,9998,,V10537,P
ATLANTIC,4B,NEW JERSEY,070,07029,HARRISON,427 HARRISON AVE,HARRISON,NJ,07029,9998,,V10609,P
ATLANTIC,4B,NEW JERSEY,070,07030,HOBOKEN,89 RIVER ST,HOBOKEN,NJ,07030,9998,,V10652,P
ATLANTIC,4B,NEW JERSEY,070,07030,UPTOWN,57 14TH ST,HOBOKEN,NJ,07030,9992,,V11615,S
ATLANTIC,4B,NEW JERSEY,070,07030,WASHINGTON STREET,734 WASHINGTON ST STE A,HOBOKEN,NJ,07030,9993,,V11679,S
ATLANTIC,4B,NEW JERSEY,070,07030,WEST SIDE HOBOKEN,502 GRAND ST STE A,HOBOKEN,NJ,07030,9994,,V11737,S
ATLANTIC,4B,NEW JERSEY,070,07031,KEARNY,64 MIDLAND AVE,KEARNY,NJ,07032,9998,,V10714,P
ATLANTIC,4B,NEW JERSEY,070,07031,NORTH ARLINGTON,10 RIDGE PARK DR,NORTH ARLINGTON,NJ,07031,9992,,V11054,B
ATLANTIC,4B,NEW JERSEY,070,07032,KEARNY,64 MIDLAND AVE,KEARNY,NJ,07032,9998,,V10714,P
ATLANTIC,4B,NEW JERSEY,070,07033,KENILWORTH,641 BOULEVARD,KENILWORTH,NJ,07033,9998,,V10719,P
ATLANTIC,4B,NEW JERSEY,070,07034,LAKE HIAWATHA,494 N BEVERWYCK RD,LAKE HIAWATHA,NJ,07034,9998,,V10738,P
ATLANTIC,4B,NEW JERSEY,070,07035,LINCOLN PARK,9 ZELIFF PL,LINCOLN PARK,NJ,07035,9998,,V10775,P
ATLANTIC,4B,NEW JERSEY,070,07036,GRASSELLI,938 S WOOD AVE,LINDEN,NJ,07036,9992,,V10554,S
ATLANTIC,4B,NEW JERSEY,070,07036,LINDEN,400 N WOOD AVE STE A,LINDEN,NJ,07036,9998,,V10777,P
ATLANTIC,4B,NEW JERSEY,070,07039,LIVINGSTON,49 W MOUNT PLEASANT AVE,LIVINGSTON,NJ,07039,9998,,V10791,P
ATLANTIC,4B,NEW JERSEY,070,07039,SOUTH LIVINGSTON,25 W NORTHFIELD RD STE C,LIVINGSTON,NJ,07039,9991,,V11444,S
ATLANTIC,4B,NEW JERSEY,070,07040,MAPLECREST,1767 SPRINGFIELD AVE STE 2,MAPLEWOOD,NJ,07040,9991,,V10840,S
ATLANTIC,4B,NEW JERSEY,070,07040,MAPLEWOOD,195 MAPLEWOOD AVE STE 1,MAPLEWOOD,NJ,07040,9998,,V10841,P
ATLANTIC,4B,NEW JERSEY,070,07040,UNION,1130 W CHESTNUT ST,UNION,NJ,07083,9998,,V11586,P
ATLANTIC,4B,NEW JERSEY,070,07041,MILLBURN,300 MILLBURN AVE,MILLBURN,NJ,07041,9998,,V10909,P
ATLANTIC,4B,NEW JERSEY,070,07042,MONTCLAIR,125 GLENRIDGE AVE,MONTCLAIR,NJ,07042,9998,,V10940,P
ATLANTIC,4B,NEW JERSEY,070,07043,MONTCLAIR,125 GLENRIDGE AVE,MONTCLAIR,NJ,07042,9998,,V10940,P
ATLANTIC,4B,NEW JERSEY,070,07043,UPPER MONTCLAIR,572 VALLEY RD STE 2,MONTCLAIR,NJ,07043,9998,,V11603,S
ATLANTIC,4B,NEW JERSEY,070,07043,MEMORIAL,128 WATCHUNG AVE STE 2,MONTCLAIR,NJ,07043,9991,,V19393,S
ATLANTIC,4B,NEW JERSEY,070,07044,MONTCLAIR,125 GLENRIDGE AVE,MONTCLAIR,NJ,07042,9998,,V10940,P
ATLANTIC,4B,NEW JERSEY,070,07044,VERONA,682 BLOOMFIELD AVE,VERONA,NJ,07044,9998,,V11630,B
ATLANTIC,4B,NEW JERSEY,070,07045,MONTVILLE,16 SKYLINE DR,MONTVILLE,NJ,07045,9998,,V10943,P
ATLANTIC,4B,NEW JERSEY,070,07046,MOUNTAIN LAKES,13 ELM RD,MOUNTAIN LAKES,NJ,07046,9998,,V10967,P
ATLANTIC,4B,NEW JERSEY,070,07046,PARSIPPANY,3299 US HIGHWAY 46,PARSIPPANY,NJ,07054,9998,,V11155,P
ATLANTIC,4B,NEW JERSEY,070,07047,NORTH BERGEN,4608 TONNELLE AVE,NORTH BERGEN,NJ,07047,9998,,V11057,P
ATLANTIC,4B,NEW JERSEY,070,07047,TYLER PARK,609 KENNEDY BLVD,NORTH BERGEN,NJ,07047,9994,,V11584,S
ATLANTIC,4B,NEW JERSEY,070,07047,WOODCLIFF,7915 BERGENLINE AVE,NORTH BERGEN,NJ,07047,9996,,V11801,S
ATLANTIC,4B,NEW JERSEY,070,07050,ORANGE,384 MAIN ST,ORANGE,NJ,07050,9998,,V11121,P
ATLANTIC,4B,NEW JERSEY,070,07051,ORANGE,384 MAIN ST,ORANGE,NJ,07050,9998,P,V11121,P
ATLANTIC,4B,NEW JERSEY,070,07052,ORANGE,384 MAIN ST,ORANGE,NJ,07050,9998,,V11121,P
ATLANTIC,4B,NEW JERSEY,070,07052,TOWN CENTER,16 MAIN ST,WEST ORANGE,NJ,07052,9994,,V11566,S
ATLANTIC,4B,NEW JERSEY,070,07052,WEST ORANGE,634 EAGLE ROCK AVE,WEST ORANGE,NJ,07052,9991,,V11730,B
ATLANTIC,4B,NEW JERSEY,070,07054,PARSIPPANY,3299 US HIGHWAY 46,PARSIPPANY,NJ,07054,9998,,V11155,P
ATLANTIC,4B,NEW JERSEY,070,07055,PASSAIC,46 GROVE ST,PASSAIC,NJ,07055,9998,,V11157,P
ATLANTIC,4B,NEW JERSEY,070,07055,PASSAIC PARK,158 MAIN AVE,PASSAIC,NJ,07055,9992,,V11159,S
ATLANTIC,4B,NEW JERSEY,070,07057,PASSAIC,46 GROVE ST,PASSAIC,NJ,07055,9998,,V11157,P
ATLANTIC,4B,NEW JERSEY,070,07057,WALLINGTON,218 MAPLE AVE,WALLINGTON,NJ,07057,9998,,V11663,B
ATLANTIC,4B,NEW JERSEY,070,07058,MONTVILLE,16 SKYLINE DR,MONTVILLE,NJ,07045,9998,,V10943,P
ATLANTIC,4B,NEW JERSEY,070,07058,PINE BROOK,50 US HIGHWAY 46,PINE BROOK,NJ,07058,9998,,V11194,P
ATLANTIC,4B,NEW JERSEY,070,07059,WARREN,2 TECHNOLOGY DR,WARREN,NJ,07059,5148,,V11671,B
ATLANTIC,4B,NEW JERSEY,070,07060,MUHLENBERG,1080 ARLINGTON AVE,PLAINFIELD,NJ,07060,9991,,V10981,S
ATLANTIC,4B,NEW JERSEY,070,07060,PLAINFIELD,201 WATCHUNG AVE,PLAINFIELD,NJ,07060,9998,,V11208,P
ATLANTIC,4B,NEW JERSEY,070,07061,PLAINFIELD,201 WATCHUNG AVE,PLAINFIELD,NJ,07060,9998,P,V11208,P
ATLANTIC,4B,NEW JERSEY,070,07062,NETHERWOOD,1120 NORTH AVE,PLAINFIELD,NJ,07062,9998,,V11014,S
ATLANTIC,4B,NEW JERSEY,070,07063,MUHLENBERG,1080 ARLINGTON AVE,PLAINFIELD,NJ,07060,9991,,V10981,S
ATLANTIC,4B,NEW JERSEY,070,07063,STA A PLAINFIELD,14 CLINTON AVE,PLAINFIELD,NJ,07063,9998,,V11497,S
ATLANTIC,4B,NEW JERSEY,070,07064,PORT READING,605 PORT READING AVE,PORT READING,NJ,07064,9998,,V11236,P
ATLANTIC,4B,NEW JERSEY,070,07064,WOODBRIDGE,60 MAIN ST,WOODBRIDGE,NJ,07095,9998,,V11795,P
ATLANTIC,4B,NEW JERSEY,070,07065,RAHWAY,123 E MILTON AVE,RAHWAY,NJ,07065,9998,,V11271,P
ATLANTIC,4B,NEW JERSEY,070,07066,CLARK,1087 RARITAN RD,CLARK,NJ,07066,9998,,V10257,B
ATLANTIC,4B,NEW JERSEY,070,07066,RAHWAY,123 E MILTON AVE,RAHWAY,NJ,07065,9998,,V11271,P
ATLANTIC,4B,NEW JERSEY,070,07067,COLONIA,574 INMAN AVE,COLONIA,NJ,07067,9998,,V10289,B
ATLANTIC,4B,NEW JERSEY,070,07067,RAHWAY,123 E MILTON AVE,RAHWAY,NJ,07065,9998,,V11271,P
ATLANTIC,4B,NEW JERSEY,070,07068,ROSELAND,160 EAGLE ROCK AVE,ROSELAND,NJ,07068,9998,,V11318,P
ATLANTIC,4B,NEW JERSEY,070,07069,PLAINFIELD,201 WATCHUNG AVE,PLAINFIELD,NJ,07060,9998,,V11208,P
ATLANTIC,4B,NEW JERSEY,070,07069,WATCHUNG,475 WATCHUNG AVE STE 1,WATCHUNG,NJ,07069,9994,,V11685,B
ATLANTIC,4B,NEW JERSEY,070,07070,RUTHERFORD,156 PARK AVE,RUTHERFORD,NJ,07070,9998,,V11328,P
ATLANTIC,4B,NEW JERSEY,070,07071,LYNDHURST,436 VALLEY BROOK AVE,LYNDHURST,NJ,07071,9998,,V10815,B
ATLANTIC,4B,NEW JERSEY,070,07072,CARLSTADT,331 1ST ST,CARLSTADT,NJ,07072,9998,,V10215,B
ATLANTIC,4B,NEW JERSEY,070,07073,EAST RUTHERFORD,193 PARK AVE,EAST RUTHERFORD,NJ,07073,9998,,V10387,B
ATLANTIC,4B,NEW JERSEY,070,07074,WOOD RIDGE,290 HACKENSACK ST,WOOD RIDGE,NJ,07075,9998,,V11792,B
ATLANTIC,4B,NEW JERSEY,070,07075,WOOD RIDGE,290 HACKENSACK ST,WOOD RIDGE,NJ,07075,9998,,V11792,B
ATLANTIC,4B,NEW JERSEY,070,07076,SCOTCH PLAINS,536 PARK AVE,SCOTCH PLAINS,NJ,07076,9998,,V11364,P
ATLANTIC,4B,NEW JERSEY,070,07077,SEWAREN,85 WOODBRIDGE AVE,SEWAREN,NJ,07077,9998,,V11377,P
ATLANTIC,4B,NEW JERSEY,070,07077,WOODBRIDGE,60 MAIN ST,WOODBRIDGE,NJ,07095,9998,,V11795,P
ATLANTIC,4B,NEW JERSEY,070,07078,SHORT HILLS,30 CHATHAM RD,SHORT HILLS,NJ,07078,9998,,V11391,P
ATLANTIC,4B,NEW JERSEY,070,07079,SOUTH ORANGE,31 VOSE AVE,SOUTH ORANGE,NJ,07079,9998,,V11445,P
ATLANTIC,4B,NEW JERSEY,070,07080,SOUTH PLAINFIELD,114 OAK TREE AVE,SOUTH PLAINFIELD,NJ,07080,9998,,V11448,P
ATLANTIC,4B,NEW JERSEY,070,07081,SPRINGFIELD,210 MOUNTAIN AVE,SPRINGFIELD,NJ,07081,9998,,V11466,P
ATLANTIC,4B,NEW JERSEY,070,07082,MONTVILLE,16 SKYLINE DR,MONTVILLE,NJ,07045,9998,,V10943,P
ATLANTIC,4B,NEW JERSEY,070,07082,TOWACO,666 MAIN RD,TOWACO,NJ,07082,9998,,V11563,P
ATLANTIC,4B,NEW JERSEY,070,07083,CHESTNUT,611 CHESTNUT ST,UNION,NJ,07083,9991,,V10253,S
