area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,AZ-NM,852,79821,ANTHONY,1190 ANTHONY DR,ANTHONY,NM,88021,9800,,Z13520,P
WESTPAC,4E,AZ-NM,852,87001,BERNALILLO,145 CALLE DEL PRESIDENTE,BERNALILLO,NM,87004,9998,,Z13548,P
WESTPAC,4E,AZ-NM,852,87002,BELEN,400 N MAIN ST,BELEN,NM,87002,9998,,Z13541,P
WESTPAC,4E,AZ-NM,852,87004,BERNALILLO,145 CALLE DEL PRESIDENTE,BERNALILLO,NM,87004,9998,,Z13548,P
WESTPAC,4E,AZ-NM,852,87005,BLUEWATER,75 MAIN ST,BLUEWATER,NM,87005,9998,,Z13557,P
WESTPAC,4E,AZ-NM,852,87006,BOSQUE,1002 S HIGHWAY 116,BOSQUE,NM,87006,9998,,Z13559,P
WESTPAC,4E,AZ-NM,852,87007,CASA BLANCA,182 CASA BLANCA RD,CASA BLANCA,NM,87007,1000,P,Z13595,P
WESTPAC,4E,AZ-NM,852,87008,CEDAR CREST,12218 N HIGHWAY 14,CEDAR CREST,NM,87008,9998,,Z13598,P
WESTPAC,4E,AZ-NM,852,87010,CERRILLOS,8A MAIN ST,CERRILLOS,NM,87010,9998,,Z13602,P
WESTPAC,4E,AZ-NM,852,87011,CLAUNCH,1468 S HIGHWAY 55,CLAUNCH,NM,87011,9998,P,Z13621,P
WESTPAC,4E,AZ-NM,852,87012,COYOTE,3390 STATE HIGHWAY 96,COYOTE,NM,87012,9998,,Z13653,P
WESTPAC,4E,AZ-NM,852,87013,CUBA,6358 MAIN ST,CUBA,NM,87013,9998,,Z13658,P
WESTPAC,4E,AZ-NM,852,87014,CUBERO,6 CAMINO REAL RD,CUBERO,NM,87014,9998,,Z13659,P
WESTPAC,4E,AZ-NM,852,87015,EDGEWOOD,13 PLAZA LOOP,EDGEWOOD,NM,87015,9998,,Z13686,P
WESTPAC,4E,AZ-NM,852,87016,ESTANCIA,413 E HIGHLAND AVE,ESTANCIA,NM,87016,9998,,Z13717,P
WESTPAC,4E,AZ-NM,852,87017,GALLINA,1970 STATE HIGHWAY 96,GALLINA,NM,87017,9998,,Z13752,P
WESTPAC,4E,AZ-NM,852,87018,NAGEEZI,11577 US HIGHWAY 550,NAGEEZI,NM,87037,9998,P,Z13952,P
WESTPAC,4E,AZ-NM,852,87020,GRANTS,816 W SANTA FE AVE,GRANTS,NM,87020,7000,,Z13776,P
WESTPAC,4E,AZ-NM,852,87021,MILAN,105 AIRPORT RD,MILAN,NM,87021,9998,P,Z13934,B
WESTPAC,4E,AZ-NM,852,87022,ISLETA,119 TRIBAL ROAD 40,ISLETA,NM,87022,9998,P,Z13812,P
WESTPAC,4E,AZ-NM,852,87023,JARALES,483 HIGHWAY 109,JARALES,NM,87023,9998,,Z13817,P
WESTPAC,4E,AZ-NM,852,87024,JEMEZ PUEBLO,4965 HIGHWAY 4,JEMEZ PUEBLO,NM,87024,9998,,Z13818,P
WESTPAC,4E,AZ-NM,852,87025,JEMEZ SPRINGS,16957 HIGHWAY 4,JEMEZ SPRINGS,NM,87025,9998,,Z13819,P
WESTPAC,4E,AZ-NM,852,87026,LAGUNA,6 RIO SAN JOSE RD,LAGUNA,NM,87026,9998,,Z13847,P
WESTPAC,4E,AZ-NM,852,87027,CUBA,6358 MAIN ST,CUBA,NM,87013,9998,,Z13658,P
WESTPAC,4E,AZ-NM,852,87027,LA JARA,167 STATE HIGHWAY 96,LA JARA,NM,87027,9998,,Z13834,P
WESTPAC,4E,AZ-NM,852,87028,LA JOYA,8 HIGHWAY 304,LA JOYA,NM,87028,9998,,Z13849,P
WESTPAC,4E,AZ-NM,852,87029,LINDRITH,1094 STATE HIGHWAY 595,LINDRITH,NM,87029,9998,,Z13869,P
WESTPAC,4E,AZ-NM,852,87031,LOS LUNAS,100 CARSON DR SE,LOS LUNAS,NM,87031,9998,,Z13883,P
WESTPAC,4E,AZ-NM,852,87031,LOS LUNAS,351 CANAL BLVD SW,LOS LUNAS,NM,87031,9997,,001872,4
WESTPAC,4E,AZ-NM,852,87032,MCINTOSH,1820 HIGHWAY 41,MCINTOSH,NM,87032,9998,P,Z13913,P
WESTPAC,4E,AZ-NM,852,87034,CPU PUEBLO OF ACOMA,43 PINSBAARI DR UNIT A,PUEBLO OF ACOMA,NM,87034,1001,P,Z14035,5
WESTPAC,4E,AZ-NM,852,87035,MORIARTY,514 ROUTE 66,MORIARTY,NM,87035,9998,,Z13944,P
WESTPAC,4E,AZ-NM,852,87036,MOUNTAINAIR,221 BROADWAY W,MOUNTAINAIR,NM,87036,9998,,Z13949,P
WESTPAC,4E,AZ-NM,852,87037,NAGEEZI,11577 US HIGHWAY 550,NAGEEZI,NM,87037,9998,P,Z13952,P
WESTPAC,4E,AZ-NM,852,87038,NEW LAGUNA,22 STATE ROAD 124,NEW LAGUNA,NM,87038,1000,P,Z13959,P
WESTPAC,4E,AZ-NM,852,87040,PAGUATE,31 POSTAL RD,PAGUATE,NM,87040,9998,P,Z13987,P
WESTPAC,4E,AZ-NM,852,87041,PENA BLANCA,823 STATE ROAD 22,PENA BLANCA,NM,87041,9998,,Z13995,P
WESTPAC,4E,AZ-NM,852,87042,PERALTA,2470 BOSQUE FARMS BLVD,PERALTA,NM,87042,9998,,Z13999,P
WESTPAC,4E,AZ-NM,852,87043,PLACITAS,652 STATE HIGHWAY 165,PLACITAS,NM,87043,9998,,Z14020,P
WESTPAC,4E,AZ-NM,852,87044,PONDEROSA,6335 HIGHWAY 290,PONDEROSA,NM,87044,9998,,Z17936,C
WESTPAC,4E,AZ-NM,852,87045,PREWITT,1692 STATE HIGHWAY 122,PREWITT,NM,87045,9998,,Z14030,P
WESTPAC,4E,AZ-NM,852,87046,LA JARA,167 STATE HIGHWAY 96,LA JARA,NM,87027,9998,,Z13834,P
WESTPAC,4E,AZ-NM,852,87047,SANDIA PARK,16 FROST RD,SANDIA PARK,NM,87047,9998,,Z14126,P
WESTPAC,4E,AZ-NM,852,87048,CORRALES,4101 CORRALES RD,CORRALES,NM,87048,9998,,Z13645,P
WESTPAC,4E,AZ-NM,852,87049,SAN FIDEL,1094 STATE HIGHWAY 124,SAN FIDEL,NM,87049,1003,P,Z14107,P
WESTPAC,4E,AZ-NM,852,87051,SAN RAFAEL,116 MAIN ST,SAN RAFAEL,NM,87051,9998,P,Z14122,P
WESTPAC,4E,AZ-NM,852,87052,SANTO DOMINGO PUEBLO,175 TANO ST,SANTO DOMINGO PUEBLO,NM,87052,9998,,Z14137,P
WESTPAC,4E,AZ-NM,852,87053,SAN YSIDRO,90 BOBBY GARCIA LN,SAN YSIDRO,NM,87053,9998,,Z14123,P
WESTPAC,4E,AZ-NM,852,87056,MORIARTY,514 ROUTE 66,MORIARTY,NM,87035,9998,,Z13944,P
WESTPAC,4E,AZ-NM,852,87059,TIJERAS,499 NM 333,TIJERAS,NM,87059,9998,,Z14223,P
WESTPAC,4E,AZ-NM,852,87060,TOME,2971 STATE HIGHWAY 47,TOME,NM,87060,9998,P,Z14232,P
WESTPAC,4E,AZ-NM,852,87061,TORREON,8563 HIGHWAY 55,TORREON,NM,87061,9998,P,Z14234,P
WESTPAC,4E,AZ-NM,852,87062,VEGUITA,1351 HIGHWAY 304,VEGUITA,NM,87062,9998,,Z14274,P
WESTPAC,4E,AZ-NM,852,87063,WILLARD,712 DUNLAVY AVE,WILLARD,NM,87063,9998,,Z17935,C
WESTPAC,4E,AZ-NM,852,87064,YOUNGSVILLE,3774 STATE HIGHWAY 96,YOUNGSVILLE,NM,87064,9998,,Z14301,P
WESTPAC,4E,AZ-NM,852,87068,PERALTA,2470 BOSQUE FARMS BLVD,PERALTA,NM,87042,9998,,Z13999,P
