area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,NV-UT,890,89001,ALAMO,40 N PURPLE SAGE AVE,ALAMO,NV,89001,9801,,Z14306,P
WESTPAC,4E,NV-UT,890,89002,HENDERSON,404 S BOULDER HWY,HENDERSON,NV,89015,9998,,Z14441,P
WESTPAC,4E,NV-UT,890,89003,BEATTY,600 E HWY 95 N,BEATTY,NV,89003,0107,P,Z14321,P
WESTPAC,4E,NV-UT,890,89004,BLUE DIAMOND,2 DIAMOND ST,BLUE DIAMOND,NV,89004,9800,P,Z14324,P
WESTPAC,4E,NV-UT,890,89005,BOULDER CITY,1101 COLORADO ST,BOULDER CITY,NV,89005,9998,,Z14329,P
WESTPAC,4E,NV-UT,890,89006,BOULDER CITY,1101 COLORADO ST,BOULDER CITY,NV,89005,9998,P,Z14329,P
WESTPAC,4E,NV-UT,890,89007,BUNKERVILLE,170 MAIN ST,BUNKERVILLE,NV,89007,9900,P,Z14331,P
WESTPAC,4E,NV-UT,890,89008,CALIENTE,700 FRONT ST,CALIENTE,NV,89008,0100,,Z14336,P
WESTPAC,4E,NV-UT,890,89009,HENDERSON,404 S BOULDER HWY,HENDERSON,NV,89015,9998,P,Z14441,P
WESTPAC,4E,NV-UT,890,89010,DYER,1 VALLEY CENTER RD,DYER,NV,89010,9997,,Z14389,P
WESTPAC,4E,NV-UT,890,89011,HENDERSON,404 S BOULDER HWY,HENDERSON,NV,89015,9998,,Z14441,P
WESTPAC,4E,NV-UT,890,89012,HENDERSON NV VALLE VERDE SDC,1575 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,9900,,021235,4
WESTPAC,4E,NV-UT,890,89013,GOLDFIELD,400 S 4TH ST,GOLDFIELD,NV,89013,9997,,Z14430,P
WESTPAC,4E,NV-UT,890,89014,HENDERSON NV VALLE VERDE SDC,1575 W HORIZON RIDGE PKWY,HENDERSON,NV,89012,9900,,021235,4
WESTPAC,4E,NV-UT,890,89015,HENDERSON,404 S BOULDER HWY,HENDERSON,NV,89015,9998,,Z14441,P
WESTPAC,4E,NV-UT,890,89016,GREEN VALLEY,2722 N GREEN VALLEY PKWY,HENDERSON,NV,89014,9997,P,Z14434,S
WESTPAC,4E,NV-UT,890,89017,ALAMO,40 N PURPLE SAGE AVE,ALAMO,NV,89001,9801,,Z14306,P
WESTPAC,4E,NV-UT,890,89018,INDIAN SPRINGS,185 N HWY 95,INDIAN SPRINGS,NV,89018,0139,P,Z14451,P
WESTPAC,4E,NV-UT,890,89019,JEAN,18500 LAS VEGAS BLVD S,JEAN,NV,89019,9995,,Z14460,P
WESTPAC,4E,NV-UT,890,89020,AMARGOSA VALLEY,3830 E SAGE ST,AMARGOSA VALLEY,NV,89020,0482,,Z14307,P
WESTPAC,4E,NV-UT,890,89021,LOGANDALE,3145 N MOAPA VALLEY BLVD,LOGANDALE,NV,89021,9995,P,Z14488,P
