area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,CONNECTICUT,060,06390,FISHERS ISLAND,1 ORIENTAL AVE,FISHERS ISLAND,NY,06390,9992,P,V25832,P
ATLANTIC,4B,NEW YORK 1,100,10001,JAMES A FARLEY,421 8TH AVE,NEW YORK,NY,10001,9998,,V14060,S
ATLANTIC,4B,NEW YORK 1,100,10001,GREELEY SQUARE,4 E 27TH ST,NEW YORK,NY,10001,9994,,015756,S
ATLANTIC,4B,NEW YORK 1,100,10002,KNICKERBOCKER,128 E BROADWAY,NEW YORK,NY,10002,9998,,V14186,S
ATLANTIC,4B,NEW YORK 1,100,10003,COOPER,93 4TH AVE,NEW YORK,NY,10003,9998,,V12745,S
ATLANTIC,4B,NEW YORK 1,100,10004,BOWLING GREEN ANNEX,90 CHURCH ST STE 200,NEW YORK,NY,10007,9997,,013065,Z
ATLANTIC,4B,NEW YORK 1,100,10005,WALL STREET ANNEX,90 CHURCH ST STE 208,NEW YORK,NY,10007,9994,,013063,Z
ATLANTIC,4B,NEW YORK 1,100,10006,TRINITY CARRIER ANNEX,90 CHURCH ST STE 200,NEW YORK,NY,10007,9996,,013070,Z
ATLANTIC,4B,NEW YORK 1,100,10007,CHURCH STREET,90 CHURCH ST FL 1,NEW YORK,NY,10007,9998,,V12586,S
ATLANTIC,4B,NEW YORK 1,100,10008,CHURCH STREET,90 CHURCH ST FL 1,NEW YORK,NY,10007,9998,P,V12586,S
ATLANTIC,4B,NEW YORK 1,100,10009,TOMPKINS SQUARE,244 E 3RD ST,NEW YORK,NY,10009,9991,,V16543,S
ATLANTIC,4B,NEW YORK 1,100,10009,PETER STUYVESANT ANNEX,149 E 23RD ST STE 201,NEW YORK,NY,10010,9995,,016204,Z
ATLANTIC,4B,NEW YORK 1,100,10009,PETER STUYVESANT,335 E 14TH ST,NEW YORK,NY,10009,9997,,016521,S
ATLANTIC,4B,NEW YORK 1,100,10010,MADISON SQUARE,149 E 23RD ST,NEW YORK,NY,10010,9998,,V14469,S
ATLANTIC,4B,NEW YORK 1,100,10011,LONDON TERRACE,234 10TH AVE,NEW YORK,NY,10011,9993,,V14414,S
ATLANTIC,4B,NEW YORK 1,100,10011,OLD CHELSEA,217 W 18TH ST,NEW YORK,NY,10011,9998,,V15197,S
ATLANTIC,4B,NEW YORK 1,100,10011,PORT AUTHORITY HIGH LINE,426A W 14TH ST,NEW YORK,NY,10014,9805,,019094,S
ATLANTIC,4B,NEW YORK 1,100,10012,CANAL STREET,350 CANAL ST STE 2A,NEW YORK,NY,10013,9998,,V12411,S
ATLANTIC,4B,NEW YORK 1,100,10013,CANAL STREET,350 CANAL ST STE 2A,NEW YORK,NY,10013,9998,,V12411,S
ATLANTIC,4B,NEW YORK 1,100,10013,CHINATOWN,6 DOYERS ST,NEW YORK,NY,10013,9991,,V12578,S
ATLANTIC,4B,NEW YORK 1,100,10014,VILLAGE,201 VARICK ST FRNT 1,NEW YORK,NY,10014,9998,,V16703,S
ATLANTIC,4B,NEW YORK 1,100,10014,WEST VILLAGE,527 HUDSON ST FRNT A,NEW YORK,NY,10014,9992,,001779,S
ATLANTIC,4B,NEW YORK 1,100,10016,MURRAY HILL ANNEX,205 E 36TH ST,NEW YORK,NY,10016,9998,,V14818,4
ATLANTIC,4B,NEW YORK 1,100,10017,GRAND CENTRAL,450 LEXINGTON AVE FL 2,NEW YORK,NY,10017,9998,,V13599,S
ATLANTIC,4B,NEW YORK 1,100,10018,MIDTOWN,223 W 38TH ST,NEW YORK,NY,10018,9998,,V14678,S
ATLANTIC,4B,NEW YORK 1,100,10019,RADIO CITY,322 W 52ND ST,NEW YORK,NY,10019,9998,,V15618,S
ATLANTIC,4B,NEW YORK 1,100,10020,RCU ANNEX,340 W 42ND ST FL 3,NEW YORK,NY,10036,9992,,001736,4
ATLANTIC,4B,NEW YORK 1,100,10021,CHEROKEE,1483 YORK AVE FRNT 1,NEW YORK,NY,10075,9991,,V12558,S
ATLANTIC,4B,NEW YORK 1,100,10021,LENOX HILL,217 E 70TH ST,NEW YORK,NY,10021,9998,,V14333,S
ATLANTIC,4B,NEW YORK 1,100,10022,FDR STATION,909 3RD AVE OFC,NEW YORK,NY,10022,9998,,V13429,S
ATLANTIC,4B,NEW YORK 1,100,10023,ANSONIA,178 COLUMBUS AVE,NEW YORK,NY,10023,9998,,V11923,S
ATLANTIC,4B,NEW YORK 1,100,10023,COLUMBUS CIRCLE,27 W 60TH ST,NEW YORK,NY,10023,9991,,V12711,S
ATLANTIC,4B,NEW YORK 1,100,10024,PLANETARIUM,127 W 83RD ST,NEW YORK,NY,10024,9998,,V15446,S
ATLANTIC,4B,NEW YORK 1,100,10025,CATHEDRAL,215 W 104TH ST,NEW YORK,NY,10025,9998,,V12460,S
ATLANTIC,4B,NEW YORK 1,100,10025,COLUMBIA UNIVERSITY,534 W 112TH ST,NEW YORK,NY,10025,9991,,V12707,S
ATLANTIC,4B,NEW YORK 1,100,10025,PARK WEST,700 COLUMBUS AVE FRNT 4,NEW YORK,NY,10025,9992,,V15315,S
