area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,OHIO 2,450,43001,ALEXANDRIA,2 W MAIN ST,ALEXANDRIA,OH,43001,9622,,X20044,P
CENTRAL,4J,OHIO 2,450,43001,JOHNSTOWN,211 W COSHOCTON ST,JOHNSTOWN,OH,43031,9998,,X21455,P
CENTRAL,4J,OHIO 2,450,43002,DUBLIN,6400 EMERALD PKWY,DUBLIN,OH,43016,9998,P,X20839,P
CENTRAL,4J,OHIO 2,450,43003,ASHLEY,100 E HIGH ST,ASHLEY,OH,43003,9002,,X20108,P
CENTRAL,4J,OHIO 2,450,43004,BLACKLICK,450 N BRICE RD,BLACKLICK,OH,43004,9366,,X20255,P
CENTRAL,4J,OHIO 2,450,43005,BLADENSBURG,25941 NEW GUILFORD RD,BLADENSBURG,OH,43005,8000,P,X20258,P
CENTRAL,4J,OHIO 2,450,43006,BRINKHAVEN,204 HIGH ST,BRINKHAVEN,OH,43006,8000,,X20330,P
CENTRAL,4J,OHIO 2,450,43006,DANVILLE,414 S MARKET ST,DANVILLE,OH,43014,9007,,X20760,P
CENTRAL,4J,OHIO 2,450,43007,RAYMOND,21655 MAIN ST,RAYMOND,OH,43067,9004,P,X22557,P
CENTRAL,4J,OHIO 2,450,43008,BUCKEYE LAKE,4717 WALNUT RD,BUCKEYE LAKE,OH,43008,8000,P,X20367,P
CENTRAL,4J,OHIO 2,450,43009,CABLE,3582 MAIN ST,CABLE,OH,43009,9010,,X20415,P
CENTRAL,4J,OHIO 2,450,43009,URBANA,200 S MAIN ST,URBANA,OH,43078,2188,,X23159,P
CENTRAL,4J,OHIO 2,450,43010,CATAWBA,7 W PLEASANT ST,CATAWBA,OH,43010,8000,P,X20470,P
CENTRAL,4J,OHIO 2,450,43011,CENTERBURG,55 N CLAYTON ST,CENTERBURG,OH,43011,9029,,X20484,P
CENTRAL,4J,OHIO 2,450,43013,CENTERBURG,55 N CLAYTON ST,CENTERBURG,OH,43011,9029,,X20484,P
CENTRAL,4J,OHIO 2,450,43013,CROTON,14 S HIGH ST,CROTON,OH,43013,8000,,X20738,P
CENTRAL,4J,OHIO 2,450,43014,DANVILLE,414 S MARKET ST,DANVILLE,OH,43014,9007,,X20760,P
CENTRAL,4J,OHIO 2,450,43015,DELAWARE,35 S LIBERTY ST,DELAWARE,OH,43015,2596,,X20793,P
CENTRAL,4J,OHIO 2,450,43016,DUBLIN,6400 EMERALD PKWY,DUBLIN,OH,43016,9998,,X20839,P
CENTRAL,4J,OHIO 2,450,43017,DUBLIN,6400 EMERALD PKWY,DUBLIN,OH,43016,9998,,X20839,P
CENTRAL,4J,OHIO 2,450,43017,SHAMROCK,715 SHAWAN FALLS DR,DUBLIN,OH,43017,9998,,X29588,S
CENTRAL,4J,OHIO 2,450,43018,ETNA,1045 PIKE ST SW,ETNA,OH,43018,8000,P,X20953,P
CENTRAL,4J,OHIO 2,450,43019,FREDERICKTOWN,67 N PLEASANT ST,FREDERICKTOWN,OH,43019,1187,,X21072,P
CENTRAL,4J,OHIO 2,450,43021,GALENA,34 W PARK ST,GALENA,OH,43021,9072,,X21095,P
CENTRAL,4J,OHIO 2,450,43021,SUNBURY,267 W GRANVILLE ST,SUNBURY,OH,43074,9013,,X23034,P
CENTRAL,4J,OHIO 2,450,43022,GAMBIER,107 CHASE AVE,GAMBIER,OH,43022,9001,,X21100,P
CENTRAL,4J,OHIO 2,450,43023,GRANVILLE,203 BROADWAY E,GRANVILLE,OH,43023,1544,,X21176,P
CENTRAL,4J,OHIO 2,450,43025,HEBRON,146 N HIGH ST,HEBRON,OH,43025,9028,,X21293,P
CENTRAL,4J,OHIO 2,450,43026,HILLIARD,4000 LEAP RD,HILLIARD,OH,43026,1278,,X21324,P
CENTRAL,4J,OHIO 2,450,43028,HOWARD,23359 COSHOCTON RD UPPR,HOWARD,OH,43028,9016,,X21354,P
CENTRAL,4J,OHIO 2,450,43029,IRWIN,24176 STATE ROUTE 161,IRWIN,OH,43029,8000,,X21398,P
CENTRAL,4J,OHIO 2,450,43030,JACKSONTOWN,6686 NATIONAL RD SE,JACKSONTOWN,OH,43030,8000,P,X21419,P
CENTRAL,4J,OHIO 2,450,43031,JOHNSTOWN,211 W COSHOCTON ST,JOHNSTOWN,OH,43031,9998,,X21455,P
CENTRAL,4J,OHIO 2,450,43033,KIRKERSVILLE,145 W MAIN ST,KIRKERSVILLE,OH,43033,8000,P,X21514,P
CENTRAL,4J,OHIO 2,450,43035,LEWIS CENTER,393 E ORANGE RD,LEWIS CENTER,OH,43035,9998,,X21599,P
CENTRAL,4J,OHIO 2,450,43036,RICHWOOD,12 E OTTAWA ST,RICHWOOD,OH,43344,9997,P,X22606,P
CENTRAL,4J,OHIO 2,450,43037,MARTINSBURG,110 E LIBERTY ST,MARTINSBURG,OH,43037,8000,,X21779,P
CENTRAL,4J,OHIO 2,450,43040,MARYSVILLE,202 N MAIN ST,MARYSVILLE,OH,43040,9998,,X21784,P
CENTRAL,4J,OHIO 2,450,43044,MECHANICSBURG,40 S MAIN ST,MECHANICSBURG,OH,43044,1199,,X21834,P
CENTRAL,4J,OHIO 2,450,43045,MILFORD CENTER,21 E STATE ST,MILFORD CENTER,OH,43045,9003,,X21896,P
CENTRAL,4J,OHIO 2,450,43046,MILLERSPORT,12050 LANCASTER ST,MILLERSPORT,OH,43046,9032,,X21903,P
CENTRAL,4J,OHIO 2,450,43048,MOUNT LIBERTY,7088 COLUMBUS RD,MOUNT LIBERTY,OH,43048,8000,P,X21987,P
CENTRAL,4J,OHIO 2,450,43050,MOUNT VERNON,101 W HIGH ST,MOUNT VERNON,OH,43050,2468,,X22002,P
CENTRAL,4J,OHIO 2,450,43054,NEW ALBANY,102 W MAIN ST,NEW ALBANY,OH,43054,9142,,X22072,P
CENTRAL,4J,OHIO 2,450,43055,NEWARK,70 E CHURCH ST,NEWARK,OH,43055,9998,,X22139,P
CENTRAL,4J,OHIO 2,450,43056,HEATH,789 HEBRON RD REAR,HEATH,OH,43056,9997,,X21288,B
CENTRAL,4J,OHIO 2,450,43056,NEWARK,70 E CHURCH ST,NEWARK,OH,43055,9998,,X22139,P
CENTRAL,4J,OHIO 2,450,43058,HEATH,789 HEBRON RD REAR,HEATH,OH,43056,9997,P,X21288,B
CENTRAL,4J,OHIO 2,450,43058,NEWARK,70 E CHURCH ST,NEWARK,OH,43055,9998,P,X22139,P
CENTRAL,4J,OHIO 2,450,43060,NORTH LEWISBURG,24 E MAPLE ST,NORTH LEWISBURG,OH,43060,9008,,X22196,P
CENTRAL,4J,OHIO 2,450,43061,OSTRANDER,420 W NORTH ST,OSTRANDER,OH,43061,9014,,X22323,P
CENTRAL,4J,OHIO 2,450,43062,PATASKALA,175 E BROAD ST,PATASKALA,OH,43062,7873,,X22373,P
CENTRAL,4J,OHIO 2,450,43064,PLAIN CITY,219 MAPLE ST,PLAIN CITY,OH,43064,1293,,X22438,P
CENTRAL,4J,OHIO 2,450,43065,POWELL,40 GRACE DR,POWELL,OH,43065,9113,,X22507,P
CENTRAL,4J,OHIO 2,450,43066,RADNOR,4355 STATE ROUTE 203,RADNOR,OH,43066,7000,,X22544,P
CENTRAL,4J,OHIO 2,450,43066,RICHWOOD,12 E OTTAWA ST,RICHWOOD,OH,43344,9997,,X22606,P
CENTRAL,4J,OHIO 2,450,43067,RAYMOND,21655 MAIN ST,RAYMOND,OH,43067,9004,,X22557,P
CENTRAL,4J,OHIO 2,450,43068,REYNOLDSBURG,7185 E MAIN ST,REYNOLDSBURG,OH,43068,9998,,X22589,P
CENTRAL,4J,OHIO 2,450,43070,ROSEWOOD,6492 KISER LAKE RD,ROSEWOOD,OH,43070,8000,P,X22671,P
CENTRAL,4J,OHIO 2,450,43071,SAINT LOUISVILLE,27 N SUGAR ST,SAINT LOUISVILLE,OH,43071,8000,,X22716,P
CENTRAL,4J,OHIO 2,450,43071,UTICA,20 N MAIN ST,UTICA,OH,43080,7000,,X23161,P
CENTRAL,4J,OHIO 2,450,43072,SAINT PARIS,131 E MAIN ST,SAINT PARIS,OH,43072,9008,,X22719,P
CENTRAL,4J,OHIO 2,450,43073,SUMMIT STATION,6396 SUMMIT RD SW,SUMMIT STATION,OH,43073,8000,P,X23032,P
CENTRAL,4J,OHIO 2,450,43074,SUNBURY,267 W GRANVILLE ST,SUNBURY,OH,43074,9013,,X23034,P
CENTRAL,4J,OHIO 2,450,43076,THORNVILLE,11 N MAIN ST,THORNVILLE,OH,43076,9442,,X23070,P
CENTRAL,4J,OHIO 2,450,43077,UNIONVILLE CENTER,110 W MAIN ST,UNIONVILLE CENTER,OH,43077,8000,P,X23139,P
CENTRAL,4J,OHIO 2,450,43078,URBANA,200 S MAIN ST,URBANA,OH,43078,2188,,X23159,P
CENTRAL,4J,OHIO 2,450,43080,UTICA,20 N MAIN ST,UTICA,OH,43080,7000,,X23161,P
CENTRAL,4J,OHIO 2,450,43081,WESTERVILLE,617 MCCORKLE BLVD,WESTERVILLE,OH,43082,9640,,X23348,P
CENTRAL,4J,OHIO 2,450,43082,WESTERVILLE,617 MCCORKLE BLVD,WESTERVILLE,OH,43082,9640,,X23348,P
CENTRAL,4J,OHIO 2,450,43083,WESTVILLE,3987 W US HIGHWAY 36,WESTVILLE,OH,43083,8000,P,X23356,P
CENTRAL,4J,OHIO 2,450,43084,MECHANICSBURG,40 S MAIN ST,MECHANICSBURG,OH,43044,1199,,X21834,P
CENTRAL,4J,OHIO 2,450,43085,WEST WORTHINGTON,6316 NICHOLAS DR,COLUMBUS,OH,43235,9998,,X23344,S
CENTRAL,4J,OHIO 2,450,43085,WORTHINGTON,597 HIGH ST,WORTHINGTON,OH,43085,9998,,X23429,B
CENTRAL,4J,OHIO 2,450,43086,WESTERVILLE,617 MCCORKLE BLVD,WESTERVILLE,OH,43082,9640,P,X23348,P
CENTRAL,4J,OHIO 2,450,43086,STATE STREET,260 S STATE ST,WESTERVILLE,OH,43081,2288,P,X29701,S
CENTRAL,4J,OHIO 2,450,43102,AMANDA,144 E MAIN ST,AMANDA,OH,43102,9900,,X20060,P
CENTRAL,4J,OHIO 2,450,43103,ASHVILLE,3 MAIN ST E,ASHVILLE,OH,43103,9998,,X20111,P
CENTRAL,4J,OHIO 2,450,43105,BALTIMORE,432 W MARKET ST,BALTIMORE,OH,43105,9998,,X20144,P
