area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,ID-MT-OR,970,97001,ANTELOPE,45404 MAIN ST,ANTELOPE,OR,97001,7001,P,Z14730,P
WESTPAC,4E,ID-MT-OR,970,97002,AURORA,14682 OTTAWAY RD NE,AURORA,OR,97002,7002,,Z14743,P
WESTPAC,4E,ID-MT-OR,970,97003,BEAVERTON OR S&DC,3685 NE ALOCLEK DR,PORTLAND,OR,97291,9800,,020666,4
WESTPAC,4E,ID-MT-OR,970,97004,BEAVERCREEK,16101 S LELAND RD,BEAVERCREEK,OR,97004,7004,,Z14759,P
WESTPAC,4E,ID-MT-OR,970,97005,BEAVERTON,4550 SW BETTS AVE,BEAVERTON,OR,97005,2869,,Z14760,P
WESTPAC,4E,ID-MT-OR,970,97006,ALOHA,3800 SW 185TH AVE,BEAVERTON,OR,97078,1570,,Z14721,B
WESTPAC,4E,ID-MT-OR,970,97006,BEAVERTON OR S&DC,3685 NE ALOCLEK DR,PORTLAND,OR,97291,9800,,020666,4
WESTPAC,4E,ID-MT-OR,970,97007,ALOHA,3800 SW 185TH AVE,BEAVERTON,OR,97078,1570,,Z14721,B
WESTPAC,4E,ID-MT-OR,970,97008,BEAVERTON,4550 SW BETTS AVE,BEAVERTON,OR,97005,2869,,Z14760,P
WESTPAC,4E,ID-MT-OR,970,97009,BORING,28515 SE HIGHWAY 212,BORING,OR,97009,9009,,Z14785,P
WESTPAC,4E,ID-MT-OR,970,97010,BRIDAL VEIL,47100 W MILL RD,BRIDAL VEIL,OR,97010,7010,P,Z14789,P
WESTPAC,4E,ID-MT-OR,970,97011,BRIGHTWOOD,20275 E AMBROSE ST,BRIGHTWOOD,OR,97011,7011,,Z14793,P
WESTPAC,4E,ID-MT-OR,970,97013,CANBY,615 NW 2ND AVE,CANBY,OR,97013,3434,,Z14823,P
WESTPAC,4E,ID-MT-OR,970,97014,CASCADE LOCKS,461 NW WA NA PA ST,CASCADE LOCKS,OR,97014,7014,,Z14834,P
WESTPAC,4E,ID-MT-OR,970,97015,CLACKAMAS,9009 SE ADAMS ST,CLACKAMAS,OR,97015,9594,,Z14861,P
WESTPAC,4E,ID-MT-OR,970,97015,CLACKAMAS DCU,9836 SE EMPIRE CT,CLACKAMAS,OR,97015,9630,,Z14862,4
WESTPAC,4E,ID-MT-OR,970,97016,CLATSKANIE,90 SW BELAIR DR,CLATSKANIE,OR,97016,9800,,Z14864,P
WESTPAC,4E,ID-MT-OR,970,97017,COLTON,20980 S HIGHWAY 211,COLTON,OR,97017,7017,,Z14872,P
WESTPAC,4E,ID-MT-OR,970,97018,COLUMBIA CITY,1905 2ND ST,COLUMBIA CITY,OR,97018,9600,,Z14873,P
WESTPAC,4E,ID-MT-OR,970,97018,SAINT HELENS,1571 COLUMBIA BLVD,SAINT HELENS,OR,97051,6223,,Z15474,P
WESTPAC,4E,ID-MT-OR,970,97019,CORBETT,36046 E HISTORIC COLUMBIA RIVER HWY,CORBETT,OR,97019,7019,,Z14879,P
