area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,PENNSYLVANIA 1,150,15001,ALIQUIPPA,517 FRANKLIN AVE,ALIQUIPPA,PA,15001,3727,,X16927,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15001,MAC ARTHUR,906 22ND ST,ALIQUIPPA,PA,15001,2719,,X19558,S
ATLANTIC,4B,PENNSYLVANIA 1,150,15003,AMBRIDGE,1020 MERCHANT ST,AMBRIDGE,PA,15003,9998,,X16961,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15004,ATLASBURG,1620 SMITH TWP STATE RD,ATLASBURG,PA,15004,1001,P,X17028,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15005,BADEN,398 STATE ST,BADEN,PA,15005,9998,,X17052,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15006,BAIRDFORD,453 BAIRDFORD RD,BAIRDFORD,PA,15006,1001,P,X17057,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15007,BAKERSTOWN,37 WINWOOD PLZ,BAKERSTOWN,PA,15007,9800,,X17059,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15009,BEAVER,777 CORPORATION ST,BEAVER,PA,15009,9998,,X17119,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15010,BEAVER FALLS,720 11TH ST,BEAVER FALLS,PA,15010,4499,,X17122,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15010,CHIPPEWA MALL,2580 CONSTITUTION BLVD STE 9,BEAVER FALLS,PA,15010,1273,,006848,B
ATLANTIC,4B,PENNSYLVANIA 1,150,15012,NORTH BELLE VERNON,306 GRANT ST,BELLE VERNON,PA,15012,1400,,X1A843,B
ATLANTIC,4B,PENNSYLVANIA 1,150,15012,BELLE VERNON,611 CIRCLE DR,ROSTRAVER TOWNSHIP,PA,15012,9998,,X17155,P
ATLANTIC,4B,PENNSYLVANIA 1,150,15014,NATRONA HEIGHTS,1715 UNION AVE,NATRONA HEIGHTS,PA,15065,9998,,X1A072,P
