area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,PUERTO RICO,006,00601,ADJUNTAS,37 CALLE MUNOZ RIVERA,ADJUNTAS,PR,00601,9998,,V17135,P
SOUTHERN,4G,PUERTO RICO,006,00602,AGUADA,5 AVE NATIVO ALERS,AGUADA,PR,00602,9998,,V17136,P
SOUTHERN,4G,PUERTO RICO,006,00603,AGUADILLA,50 CARR 459 STE 1,AGUADILLA,PR,00603,9998,,V17137,P
SOUTHERN,4G,PUERTO RICO,006,00604,RAMEY,100 AVE BORINQUEN,AGUADILLA,PR,00603,9996,P,V17257,S
SOUTHERN,4G,PUERTO RICO,006,00605,AGUADILLA,50 CARR 459 STE 1,AGUADILLA,PR,00603,9998,P,V17137,P
SOUTHERN,4G,PUERTO RICO,006,00605,VICTORIA,68 CALLE RAMON E BETANCES,AGUADILLA,PR,00603,9997,P,V17294,S
SOUTHERN,4G,PUERTO RICO,006,00606,MARICAO,9 CALLE ZUZUARREGUI FRNT,MARICAO,PR,00606,9998,,V17225,P
SOUTHERN,4G,PUERTO RICO,006,00610,ANASCO,93 CALLE 65 INFANTERIA STE 1,ANASCO,PR,00610,2947,,V17142,P
SOUTHERN,4G,PUERTO RICO,006,00611,ANGELES,100 CARR 111,ANGELES,PR,00611,9998,P,V17143,P
SOUTHERN,4G,PUERTO RICO,006,00612,ARECIBO,10 AVE SAN PATRICIO,ARECIBO,PR,00612,9998,,V17144,P
SOUTHERN,4G,PUERTO RICO,006,00613,ARECIBO PUEBLO,442 AVE JUAN ROSADO STE 1,ARECIBO,PR,00612,1997,P,V19847,S
SOUTHERN,4G,PUERTO RICO,006,00613,COTTO,22 CALLE CENTRO COMERCIAL,ARECIBO,PR,00612,9996,P,V19848,S
SOUTHERN,4G,PUERTO RICO,006,00614,ARECIBO,10 AVE SAN PATRICIO,ARECIBO,PR,00612,9998,P,V17144,P
SOUTHERN,4G,PUERTO RICO,006,00616,BAJADERO,100 CARR 656,BAJADERO,PR,00616,9800,,V17147,P
SOUTHERN,4G,PUERTO RICO,006,00617,BARCELONETA,H1 CALLE 5,BARCELONETA,PR,00617,9998,,V17148,P
SOUTHERN,4G,PUERTO RICO,006,00622,BOQUERON,300 CARR 101,BOQUERON,PR,00622,9997,,V17154,P
SOUTHERN,4G,PUERTO RICO,006,00623,CABO ROJO,64 CALLE CARBONELL,CABO ROJO,PR,00623,9998,,V17156,P
SOUTHERN,4G,PUERTO RICO,006,00624,PENUELAS,100 CARR 132,PENUELAS,PR,00624,9998,,V17242,P
SOUTHERN,4G,PUERTO RICO,006,00627,CAMUY,2 CALLE CORREO,CAMUY,PR,00627,9998,,V17158,P
SOUTHERN,4G,PUERTO RICO,006,00631,CPU CASTANER CONTRACT,135 CARR PRINCIPAL,CASTANER,PR,00631,9997,P,V19850,5
SOUTHERN,4G,PUERTO RICO,006,00637,SABANA GRANDE,1 AVE VICENTE QUILINCHINI STE 4,SABANA GRANDE,PR,00637,9998,,V17264,P
SOUTHERN,4G,PUERTO RICO,006,00638,CIALES,25 CARR 149,CIALES,PR,00638,9998,,V17172,P
SOUTHERN,4G,PUERTO RICO,006,00641,UTUADO,41 AVE FERNANDO L RIBAS,UTUADO,PR,00641,9998,,V17290,P
SOUTHERN,4G,PUERTO RICO,006,00646,DORADO,618 AVE JOSE EFRON,DORADO,PR,00646,9997,,V17181,P
SOUTHERN,4G,PUERTO RICO,006,00647,ENSENADA,6 CALLE SEGUNDA SUR,ENSENADA,PR,00647,9998,,V17182,P
SOUTHERN,4G,PUERTO RICO,006,00650,FLORIDA,66 CALLE MUNOZ RIVERA,FLORIDA,PR,00650,9998,,V17188,P
SOUTHERN,4G,PUERTO RICO,006,00652,GARROCHALES,100 CARR 682,GARROCHALES,PR,00652,9997,,V17190,P
SOUTHERN,4G,PUERTO RICO,006,00653,GUANICA,39 CALLE 13 DE MARZO STE 101,GUANICA,PR,00653,9998,,V17192,P
SOUTHERN,4G,PUERTO RICO,006,00656,GUAYANILLA,285 CALLE LUIS MUNOZ RIVERA,GUAYANILLA,PR,00656,9998,,V17194,P
SOUTHERN,4G,PUERTO RICO,006,00659,HATILLO,192 AVE DR SUSONI,HATILLO,PR,00659,9998,,V17198,P
SOUTHERN,4G,PUERTO RICO,006,00660,HORMIGUEROS,250 CARR 344,HORMIGUEROS,PR,00660,9998,,V17202,P
SOUTHERN,4G,PUERTO RICO,006,00662,ISABELA,5 CALLE PINEIRO,ISABELA,PR,00662,3669,,V17204,P
SOUTHERN,4G,PUERTO RICO,006,00664,JAYUYA,15 CALLE A BARCELO STE 2,JAYUYA,PR,00664,9998,,V17206,P
SOUTHERN,4G,PUERTO RICO,006,00667,LAJAS,72 CALLE 65 DE INFANTERIA S,LAJAS,PR,00667,9998,,V17211,P
SOUTHERN,4G,PUERTO RICO,006,00669,LARES,100 AVE LOS PATRIOTAS STE 1,LARES,PR,00669,9998,,V17212,P
