area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,MA-RI,020,02801,ADAMSVILLE,70A CRANDALL RD,ADAMSVILLE,RI,02801,9800,P,V25833,P
ATLANTIC,4B,MA-RI,020,02802,ALBION,15 SCHOOL ST,ALBION,RI,02802,9800,P,V25834,P
ATLANTIC,4B,MA-RI,020,02804,ASHAWAY,129 MAIN ST,ASHAWAY,RI,02804,2249,,V25836,P
ATLANTIC,4B,MA-RI,020,02806,BARRINGTON,200 MIDDLE HWY,BARRINGTON,RI,02806,9998,,V25837,P
ATLANTIC,4B,MA-RI,020,02807,BLOCK ISLAND,32T WATER ST,BLOCK ISLAND,RI,02807,9800,P,V25838,P
ATLANTIC,4B,MA-RI,020,02808,BRADFORD,416 BRADFORD RD,BRADFORD,RI,02808,9998,,V25841,P
ATLANTIC,4B,MA-RI,020,02809,BRISTOL,515 HOPE ST,BRISTOL,RI,02809,9998,,V25844,P
ATLANTIC,4B,MA-RI,020,02812,CAROLINA,790 ALTON CAROLINA RD,CAROLINA,RI,02812,9800,,V25849,P
ATLANTIC,4B,MA-RI,020,02812,CHARLESTOWN,3970 OLD POST RD,CHARLESTOWN,RI,02813,9998,,V25854,P
ATLANTIC,4B,MA-RI,020,02813,CHARLESTOWN,3970 OLD POST RD,CHARLESTOWN,RI,02813,9998,,V25854,P
ATLANTIC,4B,MA-RI,020,02814,CHEPACHET,1151 PUTNAM PIKE,CHEPACHET,RI,02814,1960,,V25855,P
ATLANTIC,4B,MA-RI,020,02816,COVENTRY,1550 NOOSENECK HILL RD,COVENTRY,RI,02816,9998,,V25859,P
ATLANTIC,4B,MA-RI,020,02817,COVENTRY,1550 NOOSENECK HILL RD,COVENTRY,RI,02816,9998,,V25859,P
ATLANTIC,4B,MA-RI,020,02818,EAST GREENWICH,5775 POST RD,EAST GREENWICH,RI,02818,9998,,V25867,P
ATLANTIC,4B,MA-RI,020,02818,NORTH KINGSTOWN,7715 POST RD,NORTH KINGSTOWN,RI,02852,9998,,V25921,P
ATLANTIC,4B,MA-RI,020,02822,EXETER,260 S COUNTY TRL,EXETER,RI,02822,3500,,V25877,P
ATLANTIC,4B,MA-RI,020,02823,FISKEVILLE,206 MAIN ST,FISKEVILLE,RI,02823,9800,P,V25879,P
ATLANTIC,4B,MA-RI,020,02824,FORESTDALE,134 SCHOOL ST,FORESTDALE,RI,02824,9800,P,V25880,P
ATLANTIC,4B,MA-RI,020,02825,FOSTER,81 FOSTER CENTER RD,FOSTER,RI,02825,1326,,V25881,P
ATLANTIC,4B,MA-RI,020,02826,GLENDALE,1916 VICTORY HWY,GLENDALE,RI,02826,9800,P,V25885,P
ATLANTIC,4B,MA-RI,020,02827,COVENTRY,1550 NOOSENECK HILL RD,COVENTRY,RI,02816,9998,,V25859,P
ATLANTIC,4B,MA-RI,020,02828,GREENVILLE,1 AUSTIN AVE REAR,GREENVILLE,RI,02828,9998,,V25889,P
ATLANTIC,4B,MA-RI,020,02829,HARMONY,391 PUTNAM PIKE,HARMONY,RI,02829,9800,P,V25890,P
ATLANTIC,4B,MA-RI,020,02830,HARRISVILLE,131 HARRISVILLE MAIN ST,HARRISVILLE,RI,02830,9998,,V25891,P
ATLANTIC,4B,MA-RI,020,02831,HOPE,134 JACKSON FLAT RD,HOPE,RI,02831,9998,,V25893,P
ATLANTIC,4B,MA-RI,020,02832,HOPE VALLEY,1027 MAIN ST,HOPE VALLEY,RI,02832,9998,,V25894,P
ATLANTIC,4B,MA-RI,020,02833,HOPKINTON,482 MAIN ST,HOPKINTON,RI,02833,9800,,V25897,P
ATLANTIC,4B,MA-RI,020,02835,JAMESTOWN,109 NARRAGANSETT AVE,JAMESTOWN,RI,02835,9998,,V25899,P
ATLANTIC,4B,MA-RI,020,02837,LITTLE COMPTON,4 S OF COMMONS RD,LITTLE COMPTON,RI,02837,9998,,V25906,P
ATLANTIC,4B,MA-RI,020,02838,MANVILLE,30 RAILROAD ST STE 3,MANVILLE,RI,02838,9998,,V25908,P
ATLANTIC,4B,MA-RI,020,02839,HARRISVILLE,131 HARRISVILLE MAIN ST,HARRISVILLE,RI,02830,9998,,V25891,P
ATLANTIC,4B,MA-RI,020,02839,MAPLEVILLE,963 VICTORY HWY,MAPLEVILLE,RI,02839,1180,,V25909,P
ATLANTIC,4B,MA-RI,020,02840,BROADWAY,169 BROADWAY,NEWPORT,RI,02840,9994,,V25845,S
ATLANTIC,4B,MA-RI,020,02840,NEWPORT,320 THAMES ST STE 1,NEWPORT,RI,02840,9998,,V25919,P
ATLANTIC,4B,MA-RI,020,02841,NETC STATION,1900 PEARY ST STE 2,NEWPORT,RI,02841,1644,,002046,S
ATLANTIC,4B,MA-RI,020,02842,MIDDLETOWN,7 COMMERCIAL BLVD,MIDDLETOWN,RI,02842,6290,,V25911,B
ATLANTIC,4B,MA-RI,020,02852,NORTH KINGSTOWN,7715 POST RD,NORTH KINGSTOWN,RI,02852,9998,,V25921,P
ATLANTIC,4B,MA-RI,020,02857,NORTH SCITUATE,175 DANIELSON PIKE,NORTH SCITUATE,RI,02857,1961,,V25924,P
ATLANTIC,4B,MA-RI,020,02859,PASCOAG,35 BRIDGE WAY,PASCOAG,RI,02859,3132,,V25928,P
ATLANTIC,4B,MA-RI,020,02860,PAWTUCKET,40 MONTGOMERY ST,PAWTUCKET,RI,02860,9998,,V25929,P
ATLANTIC,4B,MA-RI,020,02861,DARLINGTON,30 MONTICELLO RD,PAWTUCKET,RI,02861,3810,,V25864,S
ATLANTIC,4B,MA-RI,020,02862,PAWTUCKET,40 MONTGOMERY ST,PAWTUCKET,RI,02860,9998,P,V25929,P
ATLANTIC,4B,MA-RI,020,02863,CENTRAL FALLS,575 DEXTER ST,CENTRAL FALLS,RI,02863,2603,,V25851,B
ATLANTIC,4B,MA-RI,020,02863,CENTRAL FALLS CARRIERS,40 MONTGOMERY ST,PAWTUCKET,RI,02860,2020,,020157,Z
ATLANTIC,4B,MA-RI,020,02864,CUMBERLAND,2055 DIAMOND HILL RD,CUMBERLAND,RI,02864,9998,,V25862,B
ATLANTIC,4B,MA-RI,020,02865,CUMBERLAND,2055 DIAMOND HILL RD,CUMBERLAND,RI,02864,9998,,V25862,B
ATLANTIC,4B,MA-RI,020,02865,LINCOLN,203 FRONT ST,LINCOLN,RI,02865,9998,,V25905,B
ATLANTIC,4B,MA-RI,020,02871,PORTSMOUTH,95 CHASE RD,PORTSMOUTH,RI,02871,9998,,V25933,P
ATLANTIC,4B,MA-RI,020,02872,PRUDENCE ISLAND,837 NARRAGANSETT AVE,PRUDENCE ISLAND,RI,02872,9900,P,V25938,C
ATLANTIC,4B,MA-RI,020,02873,ROCKVILLE,332 CANONCHET RD,ROCKVILLE,RI,02873,1015,P,V25947,P
ATLANTIC,4B,MA-RI,020,02874,NORTH KINGSTOWN,7715 POST RD,NORTH KINGSTOWN,RI,02852,9998,,V25921,P
ATLANTIC,4B,MA-RI,020,02874,SAUNDERSTOWN,20 FERRY RD,SAUNDERSTOWN,RI,02874,3818,,V25949,P
ATLANTIC,4B,MA-RI,020,02875,SHANNOCK,196A SHANNOCK VILLAGE RD,SHANNOCK,RI,02875,1001,,V25951,P
ATLANTIC,4B,MA-RI,020,02876,SLATERSVILLE,42 MAIN ST,SLATERSVILLE,RI,02876,9800,,V25952,P
ATLANTIC,4B,MA-RI,020,02877,EXETER,260 S COUNTY TRL,EXETER,RI,02822,3500,,V25877,P
ATLANTIC,4B,MA-RI,020,02878,TIVERTON,600 MAIN RD,TIVERTON,RI,02878,9998,,V25965,P
ATLANTIC,4B,MA-RI,020,02879,WAKEFIELD,551 KINGSTOWN RD,WAKEFIELD,RI,02879,9994,,V25967,P
ATLANTIC,4B,MA-RI,020,02880,WAKEFIELD,551 KINGSTOWN RD,WAKEFIELD,RI,02879,9994,P,V25967,P
