area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,SOUTH CAROLINA,290,29001,ALCOLU,1842 MAIN ST,ALCOLU,SC,29001,8812,,X23480,P
SOUTHERN,4G,SOUTH CAROLINA,290,29001,MANNING,10 W KEITT ST,MANNING,SC,29102,9998,,X24206,P
SOUTHERN,4G,SOUTH CAROLINA,290,29002,BALLENTINE,1720 DUTCH FORK RD STE A,BALLENTINE,SC,29002,9803,P,X23507,P
SOUTHERN,4G,SOUTH CAROLINA,290,29003,BAMBERG,11955 HERITAGE HWY,BAMBERG,SC,29003,9998,,X23508,P
SOUTHERN,4G,SOUTH CAROLINA,290,29006,BATESBURG LEESVILLE,110 E CHURCH ST,LEESVILLE,SC,29070,9998,,X24147,P
SOUTHERN,4G,SOUTH CAROLINA,290,29009,BETHUNE,503 KING ST E,BETHUNE,SC,29009,9735,,X23546,P
SOUTHERN,4G,SOUTH CAROLINA,290,29010,BISHOPVILLE,451 N MAIN ST,BISHOPVILLE,SC,29010,1473,,X23550,P
SOUTHERN,4G,SOUTH CAROLINA,290,29014,BLACKSTOCK,1083 DURHAM RD,BLACKSTOCK,SC,29014,9998,,X23553,P
SOUTHERN,4G,SOUTH CAROLINA,290,29015,BLAIR,96 GRANITE RD,BLAIR,SC,29015,9998,,X23555,P
SOUTHERN,4G,SOUTH CAROLINA,290,29015,JENKINSVILLE,11298 STATE HIGHWAY 215 S,JENKINSVILLE,SC,29065,9722,,X24077,P
SOUTHERN,4G,SOUTH CAROLINA,290,29016,BLYTHEWOOD,401 MCNULTY ST,BLYTHEWOOD,SC,29016,9998,,X23567,P
SOUTHERN,4G,SOUTH CAROLINA,290,29018,BOWMAN,6902 CHARLESTON HWY,BOWMAN,SC,29018,9998,,X23581,P
SOUTHERN,4G,SOUTH CAROLINA,290,29020,KING HAIGLER,2629 LIBERTY HILL RD,CAMDEN,SC,29020,1862,,001242,S
SOUTHERN,4G,SOUTH CAROLINA,290,29021,CAMDEN,542 E DEKALB ST,CAMDEN,SC,29020,9998,P,X23622,P
SOUTHERN,4G,SOUTH CAROLINA,290,29030,CAMERON,304 BOYCE LAWTON DR,CAMERON,SC,29030,9998,,X23623,P
SOUTHERN,4G,SOUTH CAROLINA,290,29030,SAINT MATTHEWS,616 F R HUFF DR,SAINT MATTHEWS,SC,29135,1282,,X24545,P
SOUTHERN,4G,SOUTH CAROLINA,290,29031,CARLISLE,4512 KING KENNEDY ST,CARLISLE,SC,29031,9998,,X23634,P
SOUTHERN,4G,SOUTH CAROLINA,290,29031,WHITMIRE,205 MAIN ST,WHITMIRE,SC,29178,1367,,X24810,P
SOUTHERN,4G,SOUTH CAROLINA,290,29032,BETHUNE,503 KING ST E,BETHUNE,SC,29009,9735,,X23546,P
SOUTHERN,4G,SOUTH CAROLINA,290,29032,CASSATT,2589 HIGHWAY 1 N,CASSATT,SC,29032,9389,,X23639,P
SOUTHERN,4G,SOUTH CAROLINA,290,29033,CAYCE WEST COLUMBIA,1535 PLATT SPRINGS RD,WEST COLUMBIA,SC,29169,9998,,X24785,P
SOUTHERN,4G,SOUTH CAROLINA,290,29036,CHAPIN,1249 CHAPIN RD,CHAPIN,SC,29036,7332,,X23658,P
SOUTHERN,4G,SOUTH CAROLINA,290,29037,SALUDA,424 TRAVIS AVE,SALUDA,SC,29138,9998,,X24551,P
SOUTHERN,4G,SOUTH CAROLINA,290,29038,BAMBERG,11955 HERITAGE HWY,BAMBERG,SC,29003,9998,,X23508,P
SOUTHERN,4G,SOUTH CAROLINA,290,29038,COPE,204 COTTON AVE,COPE,SC,29038,9998,,X23742,P
SOUTHERN,4G,SOUTH CAROLINA,290,29039,CORDOVA,2046 LEGRAND SMOAK ST,CORDOVA,SC,29039,9998,,X23746,P
SOUTHERN,4G,SOUTH CAROLINA,290,29039,ORANGEBURG,1550 MIDDLETON ST,ORANGEBURG,SC,29115,9998,,X24387,P
SOUTHERN,4G,SOUTH CAROLINA,290,29040,DALZELL,4235 CAMDEN HWY,DALZELL,SC,29040,8362,,X23773,P
SOUTHERN,4G,SOUTH CAROLINA,290,29041,DAVIS STATION,5232 MOSES DINGLE RD,DAVIS STATION,SC,29041,9800,P,X23780,P
SOUTHERN,4G,SOUTH CAROLINA,290,29042,DENMARK,5022 CAROLINA HWY,DENMARK,SC,29042,9998,,X23785,P
SOUTHERN,4G,SOUTH CAROLINA,290,29044,EASTOVER,301 MAIN ST,EASTOVER,SC,29044,9998,,X23832,P
SOUTHERN,4G,SOUTH CAROLINA,290,29045,ELGIN,1100 CHURCH ST,ELGIN,SC,29045,8543,,X23847,P
SOUTHERN,4G,SOUTH CAROLINA,290,29046,ELLIOTT,1783 ELLIOTT HWY,ELLIOTT,SC,29046,9801,P,X23850,P
SOUTHERN,4G,SOUTH CAROLINA,290,29047,ELLOREE,6417 OLD NUMBER SIX HWY,ELLOREE,SC,29047,9998,,X23851,P
SOUTHERN,4G,SOUTH CAROLINA,290,29048,EUTAWVILLE,313 PORCHER AVE,EUTAWVILLE,SC,29048,9998,,X23858,P
SOUTHERN,4G,SOUTH CAROLINA,290,29051,GABLE,12306 HWY 301,GABLE,SC,29051,9679,,X23926,P
SOUTHERN,4G,SOUTH CAROLINA,290,29052,EASTOVER,301 MAIN ST,EASTOVER,SC,29044,9998,,X23832,P
SOUTHERN,4G,SOUTH CAROLINA,290,29052,GADSDEN,7731 BLUFF RD,GADSDEN,SC,29052,9998,,X23927,P
SOUTHERN,4G,SOUTH CAROLINA,290,29053,GASTON,220 S MAIN ST,GASTON,SC,29053,9331,,X23941,P
SOUTHERN,4G,SOUTH CAROLINA,290,29054,GILBERT,401 BROAD ST,GILBERT,SC,29054,8497,,X23946,P
SOUTHERN,4G,SOUTH CAROLINA,290,29055,GREAT FALLS,649 DEARBORN ST,GREAT FALLS,SC,29055,1649,,X23974,P
SOUTHERN,4G,SOUTH CAROLINA,290,29056,GREELEYVILLE,24 C E MURRAY BLVD,GREELEYVILLE,SC,29056,9700,,X23976,P
SOUTHERN,4G,SOUTH CAROLINA,290,29058,HEATH SPRINGS,101 N MAIN ST,HEATH SPRINGS,SC,29058,9998,,X24022,P
SOUTHERN,4G,SOUTH CAROLINA,290,29059,HOLLY HILL,525 GARDNER BLVD,HOLLY HILL,SC,29059,9998,,X24038,P
SOUTHERN,4G,SOUTH CAROLINA,290,29061,HOPKINS,6200 LOWER RICHLAND BLVD,HOPKINS,SC,29061,8210,,X24049,P
SOUTHERN,4G,SOUTH CAROLINA,290,29061,LEESBURG,7406 GARNERS FERRY RD,COLUMBIA,SC,29209,9998,,X24146,S
SOUTHERN,4G,SOUTH CAROLINA,290,29062,HORATIO,3240 HORATIO HAGOOD RD,HORATIO,SC,29062,9800,P,X24050,P
SOUTHERN,4G,SOUTH CAROLINA,290,29063,IRMO,7821 SAINT ANDREWS RD,IRMO,SC,29063,2867,,X24061,P
SOUTHERN,4G,SOUTH CAROLINA,290,29065,JENKINSVILLE,11298 STATE HIGHWAY 215 S,JENKINSVILLE,SC,29065,9722,,X24077,P
SOUTHERN,4G,SOUTH CAROLINA,290,29067,KERSHAW,521 N MATSON ST,KERSHAW,SC,29067,1000,,X24101,P
SOUTHERN,4G,SOUTH CAROLINA,290,29069,LAMAR,110 MAIN ST,LAMAR,SC,29069,9755,,X24130,P
SOUTHERN,4G,SOUTH CAROLINA,290,29070,BATESBURG LEESVILLE,110 E CHURCH ST,LEESVILLE,SC,29070,9998,,X24147,P
SOUTHERN,4G,SOUTH CAROLINA,290,29071,DOWNTOWN LEXINGTON,710 W MAIN,LEXINGTON,SC,29071,9997,P,X2A538,S
SOUTHERN,4G,SOUTH CAROLINA,290,29072,LEXINGTON,1830 S LAKE DR,LEXINGTON,SC,29073,9998,,X24156,P
SOUTHERN,4G,SOUTH CAROLINA,290,29073,LEXINGTON,1830 S LAKE DR,LEXINGTON,SC,29073,9998,,X24156,P
SOUTHERN,4G,SOUTH CAROLINA,290,29074,LIBERTY HILL,4049 JOHN G RICHARDS RD,LIBERTY HILL,SC,29074,9800,P,X24158,P
SOUTHERN,4G,SOUTH CAROLINA,290,29075,CHAPIN,1249 CHAPIN RD,CHAPIN,SC,29036,7332,,X23658,P
SOUTHERN,4G,SOUTH CAROLINA,290,29075,LITTLE MOUNTAIN,5953 WHEELAND RD,LITTLE MOUNTAIN,SC,29075,9998,,X24167,P
SOUTHERN,4G,SOUTH CAROLINA,290,29078,LUGOFF,40 PLAZA DR,LUGOFF,SC,29078,8637,,X24194,P
SOUTHERN,4G,SOUTH CAROLINA,290,29079,LYDIA,5179 INDIAN BRANCH RD,LYDIA,SC,29079,9800,P,X24196,P
SOUTHERN,4G,SOUTH CAROLINA,290,29080,LYNCHBURG,85 MAGNOLIA ST,LYNCHBURG,SC,29080,9998,,X24200,P
SOUTHERN,4G,SOUTH CAROLINA,290,29080,TIMMONSVILLE,203 E MAIN ST,TIMMONSVILLE,SC,29161,1851,,X24724,P
SOUTHERN,4G,SOUTH CAROLINA,290,29081,EHRHARDT,13443 BROXTON BRIDGE RD,EHRHARDT,SC,29081,9998,,X23846,P
SOUTHERN,4G,SOUTH CAROLINA,290,29082,EHRHARDT,13443 BROXTON BRIDGE RD,EHRHARDT,SC,29081,9998,,X23846,P
SOUTHERN,4G,SOUTH CAROLINA,290,29082,LODGE,21080 BELLS HWY,LODGE,SC,29082,9998,,X24181,P
SOUTHERN,4G,SOUTH CAROLINA,290,29101,BETHUNE,503 KING ST E,BETHUNE,SC,29009,9735,,X23546,P
SOUTHERN,4G,SOUTH CAROLINA,290,29101,MC BEE,56 W PINE AVE,MC BEE,SC,29101,9223,,X24230,P
SOUTHERN,4G,SOUTH CAROLINA,290,29102,MANNING,10 W KEITT ST,MANNING,SC,29102,9998,,X24206,P
SOUTHERN,4G,SOUTH CAROLINA,290,29104,MAYESVILLE,4650 FLORENCE HWY,MAYESVILLE,SC,29104,9998,,X24225,P
SOUTHERN,4G,SOUTH CAROLINA,290,29104,SUMTER,311 N MAIN ST,SUMTER,SC,29150,9998,,X24690,P
SOUTHERN,4G,SOUTH CAROLINA,290,29105,BATESBURG LEESVILLE,110 E CHURCH ST,LEESVILLE,SC,29070,9998,,X24147,P
SOUTHERN,4G,SOUTH CAROLINA,290,29105,MONETTA,230 MAIN ST,MONETTA,SC,29105,9998,,X24279,P
SOUTHERN,4G,SOUTH CAROLINA,290,29107,NEESES,323 RICE ST,NEESES,SC,29107,9998,,X24322,P
SOUTHERN,4G,SOUTH CAROLINA,290,29108,NEWBERRY,1321 COLLEGE ST,NEWBERRY,SC,29108,2761,,X24330,P
