area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,IA-NE-SD,500,57001,ALCESTER,111 DAKOTA ST,ALCESTER,SD,57001,9998,,W1A468,P
CENTRAL,4J,IA-NE-SD,500,57002,AURORA,219 N BROADWAY ST,AURORA,SD,57002,9998,,W1A496,P
CENTRAL,4J,IA-NE-SD,500,57003,BALTIC,132 ST OLAF AVE,BALTIC,SD,57003,9998,,W1A503,P
CENTRAL,4J,IA-NE-SD,500,57004,BERESFORD,100 S 3RD ST,BERESFORD,SD,57004,9998,,W1A516,P
CENTRAL,4J,IA-NE-SD,500,57005,BRANDON,1420 E ASPEN BLVD,BRANDON,SD,57005,9998,,W1A540,P
CENTRAL,4J,IA-NE-SD,500,57006,BROOKINGS,500 MAIN AVE,BROOKINGS,SD,57006,9998,,W1A548,P
CENTRAL,4J,IA-NE-SD,500,57012,CANISTOTA,222 W MAIN ST,CANISTOTA,SD,57012,9998,,W1A567,P
CENTRAL,4J,IA-NE-SD,500,57013,CANTON,315 E 5TH ST,CANTON,SD,57013,9998,,W1A570,P
CENTRAL,4J,IA-NE-SD,500,57014,CENTERVILLE,533 BROADWAY ST,CENTERVILLE,SD,57014,9998,,W1A585,P
CENTRAL,4J,IA-NE-SD,500,57015,CHANCELLOR,224 MAIN ST,CHANCELLOR,SD,57015,9998,,W1A590,P
CENTRAL,4J,IA-NE-SD,500,57015,LENNOX,200 S MAIN ST,LENNOX,SD,57039,9998,,W1A872,P
CENTRAL,4J,IA-NE-SD,500,57016,CHESTER,410 4TH ST,CHESTER,SD,57016,9998,,W1A593,P
CENTRAL,4J,IA-NE-SD,500,57017,COLMAN,129 N MAIN ST,COLMAN,SD,57017,9998,,W1A606,P
CENTRAL,4J,IA-NE-SD,500,57018,COLTON,213 E 4TH ST,COLTON,SD,57018,9998,,W1A608,P
CENTRAL,4J,IA-NE-SD,500,57020,CROOKS,112 MAIN ST,CROOKS,SD,57020,9998,,W1A625,P
CENTRAL,4J,IA-NE-SD,500,57021,DAVIS,110 E US HIGHWAY 18,DAVIS,SD,57021,9998,,W1A636,P
CENTRAL,4J,IA-NE-SD,500,57022,DELL RAPIDS,305 E 4TH ST,DELL RAPIDS,SD,57022,9998,,W1A641,P
CENTRAL,4J,IA-NE-SD,500,57025,ELK POINT,123 W MAIN ST,ELK POINT,SD,57025,9998,,W1A664,P
CENTRAL,4J,IA-NE-SD,500,57026,ELKTON,207 ELK ST,ELKTON,SD,57026,9998,,W1A665,P
CENTRAL,4J,IA-NE-SD,500,57027,FAIRVIEW,320 LINCOLN AVE,FAIRVIEW,SD,57027,9998,,W1A686,P
CENTRAL,4J,IA-NE-SD,500,57028,FLANDREAU,102 W 2ND AVE,FLANDREAU,SD,57028,9998,,W1A694,P
CENTRAL,4J,IA-NE-SD,500,57029,BRIDGEWATER,235 N MAIN AVE,BRIDGEWATER,SD,57319,9998,,W1A544,P
CENTRAL,4J,IA-NE-SD,500,57029,FREEMAN,421 S POPLAR ST,FREEMAN,SD,57029,9998,,W1A710,P
CENTRAL,4J,IA-NE-SD,500,57030,GARRETSON,641 N MAIN AVE,GARRETSON,SD,57030,9998,,W1A716,P
CENTRAL,4J,IA-NE-SD,500,57031,GAYVILLE,508 WASHINGTON ST,GAYVILLE,SD,57031,9998,,W1A718,P
CENTRAL,4J,IA-NE-SD,500,57032,HARRISBURG,518 N CLIFF AVE,HARRISBURG,SD,57032,2729,,W1A749,P
CENTRAL,4J,IA-NE-SD,500,57033,HARTFORD,901 N OAKS AVE,HARTFORD,SD,57033,9998,,W1A752,P
CENTRAL,4J,IA-NE-SD,500,57034,ALCESTER,111 DAKOTA ST,ALCESTER,SD,57001,9998,,W1A468,P
CENTRAL,4J,IA-NE-SD,500,57034,HUDSON,318 WHEELOCK ST,HUDSON,SD,57034,9998,,W1A793,P
CENTRAL,4J,IA-NE-SD,500,57035,HUMBOLDT,1005 W 2ND AVE,HUMBOLDT,SD,57035,9998,,W1A795,P
CENTRAL,4J,IA-NE-SD,500,57036,HURLEY,608 CENTER AVE,HURLEY,SD,57036,9998,,W1A797,P
CENTRAL,4J,IA-NE-SD,500,57037,IRENE,205 W MAIN ST,IRENE,SD,57037,9998,,W1A811,P
CENTRAL,4J,IA-NE-SD,500,57038,JEFFERSON,303 MAIN ST,JEFFERSON,SD,57038,9998,,W1A820,P
CENTRAL,4J,IA-NE-SD,500,57038,NORTH SIOUX CITY,310 N DERBY LN,NORTH SIOUX CITY,SD,57049,9998,,W1A970,P
CENTRAL,4J,IA-NE-SD,500,57039,LENNOX,200 S MAIN ST,LENNOX,SD,57039,9998,,W1A872,P
CENTRAL,4J,IA-NE-SD,500,57040,LESTERVILLE,223 MAIN AVE,LESTERVILLE,SD,57040,9998,,W1A874,P
CENTRAL,4J,IA-NE-SD,500,57042,MADISON,119 E CENTER ST,MADISON,SD,57042,9998,,W1A898,P
CENTRAL,4J,IA-NE-SD,500,57043,MARION,209 N BROADWAY AVE,MARION,SD,57043,9998,,W1A908,P
CENTRAL,4J,IA-NE-SD,500,57045,MENNO,227 S 5TH ST,MENNO,SD,57045,9998,,W1A924,P
