area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,GEORGIA,300,30750,LOOKOUT MOUNTAIN,824 SCENIC HWY,LOOKOUT MOUNTAIN,TN,37350,9998,,X25431,P
SOUTHERN,4G,AL-MS,350,35739,ARDMORE,26050 MAIN ST,ARDMORE,TN,38449,9998,,X24873,P
SOUTHERN,4G,TENNESSEE,370,37010,ADAMS,104 S CHURCH ST,ADAMS,TN,37010,9998,,X24848,P
SOUTHERN,4G,TENNESSEE,370,37011,ANTIOCH,5424 BELL FORGE LN E,ANTIOCH,TN,37013,9998,P,X24869,P
SOUTHERN,4G,TENNESSEE,370,37012,ALEXANDRIA,100 HIGH ST,ALEXANDRIA,TN,37012,9998,,X24857,P
SOUTHERN,4G,TENNESSEE,370,37012,WATERTOWN,601 E MAIN ST,WATERTOWN,TN,37184,9998,,X25924,P
SOUTHERN,4G,TENNESSEE,370,37013,ANTIOCH,5424 BELL FORGE LN E,ANTIOCH,TN,37013,9998,,X24869,P
SOUTHERN,4G,TENNESSEE,370,37014,ARRINGTON,4817 MURFREESBORO RD,ARRINGTON,TN,37014,9998,,X24881,P
SOUTHERN,4G,TENNESSEE,370,37015,ASHLAND CITY,102 N VINE ST,ASHLAND CITY,TN,37015,9998,,X24883,P
SOUTHERN,4G,TENNESSEE,370,37016,AUBURNTOWN,42 E MAIN ST,AUBURNTOWN,TN,37016,9998,,X24889,P
SOUTHERN,4G,TENNESSEE,370,37018,BEECHGROVE,13975 MURFREESBORO HWY,BEECHGROVE,TN,37018,9998,,X24908,P
SOUTHERN,4G,TENNESSEE,370,37019,BELFAST,2235 FAYETTEVILLE HWY,BELFAST,TN,37019,9998,,X24913,P
SOUTHERN,4G,TENNESSEE,370,37019,LEWISBURG,557 E COMMERCE ST,LEWISBURG,TN,37091,9998,,X25417,P
SOUTHERN,4G,TENNESSEE,370,37020,BELL BUCKLE,1 RAILROAD SQ E,BELL BUCKLE,TN,37020,9998,,X24914,P
SOUTHERN,4G,TENNESSEE,370,37022,BETHPAGE,516 OLD HIGHWAY 31 E 3,BETHPAGE,TN,37022,9998,,X24927,P
SOUTHERN,4G,TENNESSEE,370,37023,BIG ROCK,515 BIG ROCK RD,BIG ROCK,TN,37023,9998,,X24928,P
SOUTHERN,4G,TENNESSEE,370,37023,BUMPUS MILLS,3035 HIGHWAY 120,BUMPUS MILLS,TN,37028,9998,,X24969,P
