area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,NV-UT,890,84001,ALTAMONT,15537 W 4000 N,ALTAMONT,UT,84001,8000,,Z15783,P
WESTPAC,4E,NV-UT,890,84002,ALTAMONT,15537 W 4000 N,ALTAMONT,UT,84001,8000,,Z15783,P
WESTPAC,4E,NV-UT,890,84003,AMERICAN FORK,55 N MERCHANT ST,AMERICAN FORK,UT,84003,9998,,Z15789,P
WESTPAC,4E,NV-UT,890,84004,AMERICAN FORK,55 N MERCHANT ST,AMERICAN FORK,UT,84003,9998,,Z15789,P
WESTPAC,4E,NV-UT,890,84005,LEHI,333 E MAIN ST,LEHI,UT,84043,9998,,Z16108,P
WESTPAC,4E,NV-UT,890,84006,BINGHAM CANYON,8545 W STATE HWY,BINGHAM CANYON,UT,84006,9998,,Z15820,P
WESTPAC,4E,NV-UT,890,84007,BLUEBELL,11978 W 4000 N,BLUEBELL,UT,84007,8001,,Z15827,P
WESTPAC,4E,NV-UT,890,84009,SOUTH JORDAN,10102 S REDWOOD RD,SOUTH JORDAN,UT,84095,9998,,Z18331,B
WESTPAC,4E,NV-UT,890,84010,BOUNTIFUL,20 S MAIN ST,BOUNTIFUL,UT,84010,9998,,Z15836,P
WESTPAC,4E,NV-UT,890,84011,BOUNTIFUL,20 S MAIN ST,BOUNTIFUL,UT,84010,9998,P,Z15836,P
WESTPAC,4E,NV-UT,890,84013,CEDAR VALLEY,103 S 200 E,CEDAR VALLEY,UT,84013,9997,,Z15870,P
WESTPAC,4E,NV-UT,890,84014,CENTERVILLE,275 N MAIN ST,CENTERVILLE,UT,84014,1805,,Z15874,P
WESTPAC,4E,NV-UT,890,84015,CLEARFIELD,98 N MAIN ST,CLEARFIELD,UT,84015,9998,,Z15884,P
WESTPAC,4E,NV-UT,890,84016,FREEPORT CENTER,391 E 1700 S,CLEARFIELD,UT,84015,2300,P,Z16001,S
WESTPAC,4E,NV-UT,890,84017,COALVILLE,33 E CENTER ST,COALVILLE,UT,84017,8001,,Z15889,P
WESTPAC,4E,NV-UT,890,84020,DRAPER,12180 S 300 E,DRAPER,UT,84020,2099,,Z15950,P
WESTPAC,4E,NV-UT,890,84021,DUCHESNE,243 E MAIN ST,DUCHESNE,UT,84021,8001,,Z15952,P
WESTPAC,4E,NV-UT,890,84022,DUGWAY,5326 VALDEZ CIR,DUGWAY,UT,84022,9998,,Z15954,P
WESTPAC,4E,NV-UT,890,84023,DUTCH JOHN,690 SOUTH BLVD,DUTCH JOHN,UT,84023,8002,,Z15955,P
WESTPAC,4E,NV-UT,890,84024,ECHO,3455 ECHO RD,ECHO,UT,84024,8001,P,004491,C
WESTPAC,4E,NV-UT,890,84025,FARMINGTON,145 E STATE ST,FARMINGTON,UT,84025,9998,,Z15983,P
WESTPAC,4E,NV-UT,890,84026,FORT DUCHESNE,7299 E HIGHWAY 40,FORT DUCHESNE,UT,84026,8001,,Z15996,P
WESTPAC,4E,NV-UT,890,84027,DUCHESNE,243 E MAIN ST,DUCHESNE,UT,84021,8001,,Z15952,P
WESTPAC,4E,NV-UT,890,84028,GARDEN CITY,95 W LOGAN RD,GARDEN CITY,UT,84028,8001,,Z16008,P
WESTPAC,4E,NV-UT,890,84029,GRANTSVILLE,36 W MAIN ST,GRANTSVILLE,UT,84029,6001,,Z16020,P
WESTPAC,4E,NV-UT,890,84031,TABIONA,38060 W STATE HIGHWAY 35,TABIONA,UT,84072,8001,,Z16312,P
WESTPAC,4E,NV-UT,890,84032,HEBER CITY,125 E 100 N,HEBER CITY,UT,84032,3200,,Z16041,P
WESTPAC,4E,NV-UT,890,84033,HENEFER,95 S MAIN ST,HENEFER,UT,84033,8001,P,Z16043,P
WESTPAC,4E,NV-UT,890,84034,WENDOVER,550 E WENDOVER BLVD,WENDOVER,UT,84083,8001,,Z16376,P
WESTPAC,4E,NV-UT,890,84035,JENSEN,9947 E 6000 S,JENSEN,UT,84035,9712,,Z16071,P
WESTPAC,4E,NV-UT,890,84036,KAMAS,55 W 100 N,KAMAS,UT,84036,8001,,Z16074,P
WESTPAC,4E,NV-UT,890,84037,KAYSVILLE,285 N MAIN ST,KAYSVILLE,UT,84037,9998,,Z16079,P
WESTPAC,4E,NV-UT,890,84038,LAKETOWN,80 W CENTER ST,LAKETOWN,UT,84038,8001,P,Z16096,P
WESTPAC,4E,NV-UT,890,84039,LAPOINT,10815 E 7000 N,LAPOINT,UT,84039,8001,,Z16098,P
WESTPAC,4E,NV-UT,890,84040,LAYTON,1123 N FAIRFIELD RD,LAYTON,UT,84041,9998,,Z16101,P
WESTPAC,4E,NV-UT,890,84041,LAYTON,1123 N FAIRFIELD RD,LAYTON,UT,84041,9998,,Z16101,P
WESTPAC,4E,NV-UT,890,84042,PLEASANT GROVE,180 S 100 W,PLEASANT GROVE,UT,84062,6200,,Z16224,P
WESTPAC,4E,NV-UT,890,84043,LEHI,333 E MAIN ST,LEHI,UT,84043,9998,,Z16108,P
WESTPAC,4E,NV-UT,890,84044,MAGNA,8470 W MAGNA MAIN ST,MAGNA,UT,84044,4450,,Z16122,P
WESTPAC,4E,NV-UT,890,84045,LEHI,333 E MAIN ST,LEHI,UT,84043,9998,,Z16108,P
WESTPAC,4E,NV-UT,890,84046,MANILA,32 E 2ND N,MANILA,UT,84046,8001,,Z16126,P
WESTPAC,4E,NV-UT,890,84047,MIDVALE,35 W CENTER ST,MIDVALE,UT,84047,9998,,Z16139,P
WESTPAC,4E,NV-UT,890,84048,LEHI,333 E MAIN ST,LEHI,UT,84043,9998,,Z16108,P
WESTPAC,4E,NV-UT,890,84049,MIDWAY,125 W MAIN ST,MIDWAY,UT,84049,8001,,Z16140,P
WESTPAC,4E,NV-UT,890,84050,MORGAN,188 N STATE ST,MORGAN,UT,84050,8001,,Z16157,P
WESTPAC,4E,NV-UT,890,84051,DUCHESNE,243 E MAIN ST,DUCHESNE,UT,84021,8001,,Z15952,P
WESTPAC,4E,NV-UT,890,84052,MYTON,80 E MAIN ST,MYTON,UT,84052,8001,,Z16170,P
WESTPAC,4E,NV-UT,890,84053,NEOLA,9086 N 2000 W,NEOLA,UT,84053,8000,,Z16176,P
WESTPAC,4E,NV-UT,890,84054,BOUNTIFUL,20 S MAIN ST,BOUNTIFUL,UT,84010,9998,,Z15836,P
WESTPAC,4E,NV-UT,890,84054,NORTH SALT LAKE,345 N HIGHWAY 89,NORTH SALT LAKE,UT,84054,9998,,Z16186,B
WESTPAC,4E,NV-UT,890,84055,OAKLEY,4820 N STATE ROAD 32,OAKLEY,UT,84055,8001,,Z16191,P
WESTPAC,4E,NV-UT,890,84056,CLEARFIELD,98 N MAIN ST,CLEARFIELD,UT,84015,9998,,Z15884,P
WESTPAC,4E,NV-UT,890,84056,HILL AIR FORCE BASE,7338 LONCKI ST,HILL AIR FORCE BASE,UT,84056,5001,,Z16050,B
WESTPAC,4E,NV-UT,890,84057,OREM,222 W CENTER ST,OREM,UT,84057,9998,,Z16197,P
WESTPAC,4E,NV-UT,890,84058,MOUNTAIN SHADOWS,877 E 1200 S,OREM,UT,84097,9998,,Z18363,S
WESTPAC,4E,NV-UT,890,84059,OREM,222 W CENTER ST,OREM,UT,84057,9998,,Z16197,P
WESTPAC,4E,NV-UT,890,84060,PARK CITY,2100 PARK AVE,PARK CITY,UT,84060,8100,,Z16204,P
WESTPAC,4E,NV-UT,890,84060,OLD TOWN,450 MAIN ST,PARK CITY,UT,84060,9501,,001682,S
WESTPAC,4E,NV-UT,890,84062,PLEASANT GROVE,180 S 100 W,PLEASANT GROVE,UT,84062,6200,,Z16224,P
WESTPAC,4E,NV-UT,890,84063,FORT DUCHESNE,7299 E HIGHWAY 40,FORT DUCHESNE,UT,84026,8001,,Z15996,P
WESTPAC,4E,NV-UT,890,84064,RANDOLPH,75 S MAIN ST,RANDOLPH,UT,84064,8001,P,Z16234,P
WESTPAC,4E,NV-UT,890,84065,RIVERTON,12760 S PARK AVE,RIVERTON,UT,84065,6599,,Z16242,P
WESTPAC,4E,NV-UT,890,84066,ROOSEVELT,81 S 300 E,ROOSEVELT,UT,84066,6600,,Z16244,P
WESTPAC,4E,NV-UT,890,84067,ROY,4879 S 1900 W,ROY,UT,84067,9998,,Z16247,P
WESTPAC,4E,NV-UT,890,84068,PARK CITY,2100 PARK AVE,PARK CITY,UT,84060,8100,P,Z16204,P
WESTPAC,4E,NV-UT,890,84069,RUSH VALLEY,326 W CENTER ST,RUSH VALLEY,UT,84069,8001,,Z16249,P
WESTPAC,4E,NV-UT,890,84070,SANDY,8850 S 700 E,SANDY,UT,84070,9998,,Z16262,P
WESTPAC,4E,NV-UT,890,84070,SANDY CITY CENTRE,215 W SEGO LILY DR,SANDY,UT,84070,9997,,001980,S
WESTPAC,4E,NV-UT,890,84071,STOCKTON,231 N CONNER AVE,STOCKTON,UT,84071,8001,,Z16300,P
