area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,MARYLAND,200,20041,DULLES,45005 AVIATION DR STE 120,STERLING,VA,20166,7533,P,V20956,B
ATLANTIC,4B,VIRGINIA,230,20105,SULLY STATION,5003 WESTFIELDS BLVD,CENTREVILLE,VA,20120,9997,,X2A597,B
ATLANTIC,4B,VIRGINIA,230,20105,ALDIE,39344 LITTLE RIVER TPKE,ALDIE,VA,20105,2000,,X26001,P
ATLANTIC,4B,VIRGINIA,230,20106,AMISSVILLE,768 VIEWTOWN RD,AMISSVILLE,VA,20106,9998,,X26022,P
ATLANTIC,4B,VIRGINIA,230,20108,DOWNTOWN MANASSAS,9108 CHURCH ST,MANASSAS,VA,20110,9997,P,X26505,S
ATLANTIC,4B,VIRGINIA,230,20108,MANASSAS,8801 SUDLEY RD,MANASSAS,VA,20110,9998,P,X27067,P
ATLANTIC,4B,VIRGINIA,230,20109,MANASSAS,8801 SUDLEY RD,MANASSAS,VA,20110,9998,,X27067,P
ATLANTIC,4B,VIRGINIA,230,20110,MANASSAS,8801 SUDLEY RD,MANASSAS,VA,20110,9998,,X27067,P
ATLANTIC,4B,VIRGINIA,230,20111,MANASSAS ANNEX,9020 EUCLID AVE STE L,MANASSAS,VA,20110,5347,,X29653,4
ATLANTIC,4B,VIRGINIA,230,20112,MANASSAS ANNEX,9020 EUCLID AVE STE L,MANASSAS,VA,20110,5347,,X29653,4
ATLANTIC,4B,VIRGINIA,230,20113,MANASSAS PARK,2049 OLD CENTREVILLE RD,MANASSAS PARK,VA,20111,9998,P,X27068,B
ATLANTIC,4B,VIRGINIA,230,20115,MARSHALL,8361 W MAIN ST,MARSHALL,VA,20115,9998,,X27086,P
ATLANTIC,4B,VIRGINIA,230,20116,MARSHALL,8361 W MAIN ST,MARSHALL,VA,20115,9998,P,X27086,P
ATLANTIC,4B,VIRGINIA,230,20117,MIDDLEBURG,113 W WASHINGTON ST,MIDDLEBURG,VA,20117,9998,,X27150,P
ATLANTIC,4B,VIRGINIA,230,20118,MIDDLEBURG,113 W WASHINGTON ST,MIDDLEBURG,VA,20117,9998,P,X27150,P
ATLANTIC,4B,VIRGINIA,230,20119,BRISTOW,11151 VALLEY VIEW DR,BRISTOW,VA,20136,9998,,X26197,P
ATLANTIC,4B,VIRGINIA,230,20119,CATLETT,3584 CATLETT RD,CATLETT,VA,20119,9997,,X26286,P
ATLANTIC,4B,VIRGINIA,230,20120,SULLY STATION,5003 WESTFIELDS BLVD,CENTREVILLE,VA,20120,9997,,X2A597,B
ATLANTIC,4B,VIRGINIA,230,20121,CENTREVILLE,14120A ROUTE 29,CENTREVILLE,VA,20120,9998,,X26298,P
ATLANTIC,4B,VIRGINIA,230,20122,CENTREVILLE,14120A ROUTE 29,CENTREVILLE,VA,20120,9998,P,X26298,P
ATLANTIC,4B,VIRGINIA,230,20124,CENTREVILLE,14120A ROUTE 29,CENTREVILLE,VA,20120,9998,,X26298,P
