area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
SOUTHERN,4G,PUERTO RICO,006,00801,HAVENSIGHT,9007 HAVENSIGHT SHOPP CTR STE D,ST THOMAS,VI,00802,9994,P,V1A435,S
SOUTHERN,4G,PUERTO RICO,006,00801,CHARLOTTE AMALIE,9846 ESTATE THOMAS,ST THOMAS,VI,00802,9998,P,V17301,P
SOUTHERN,4G,PUERTO RICO,006,00802,CHARLOTTE AMALIE,9846 ESTATE THOMAS,ST THOMAS,VI,00802,9998,,V17301,P
SOUTHERN,4G,PUERTO RICO,006,00802,VETERANS ANNEX,6500 VETERANS DR,ST THOMAS,VI,00802,9992,,V17312,S
SOUTHERN,4G,PUERTO RICO,006,00803,VETERANS ANNEX,6500 VETERANS DR,ST THOMAS,VI,00802,9992,P,V17312,S
SOUTHERN,4G,PUERTO RICO,006,00804,EMANCIPATION GARDENS,5046 NORRE GADE,ST THOMAS,VI,00802,9995,P,V19865,S
SOUTHERN,4G,PUERTO RICO,006,00805,EAST END,4605 TUTU PARK MALL STE 179,ST THOMAS,VI,00802,9993,P,V19866,S
SOUTHERN,4G,PUERTO RICO,006,00820,CHRISTIANSTED,1104 ESTATE RICHMOND,CHRISTIANSTED,VI,00820,9998,,V17302,P
SOUTHERN,4G,PUERTO RICO,006,00821,CHRISTIANSTED,1104 ESTATE RICHMOND,CHRISTIANSTED,VI,00820,9998,P,V17302,P
SOUTHERN,4G,PUERTO RICO,006,00822,DOWNTOWN,2119 MARKET SQ,CHRISTIANSTED,VI,00820,9996,P,V19862,S
SOUTHERN,4G,PUERTO RICO,006,00823,SUNNY ISLE,4500 SUNNY ISLE STE 53,CHRISTIANSTED,VI,00820,9997,P,V19863,S
SOUTHERN,4G,PUERTO RICO,006,00824,GALLOWS BAY,5027 ANCHOR WAY STE 1,CHRISTIANSTED,VI,00820,9995,P,V19864,S
SOUTHERN,4G,PUERTO RICO,006,00830,CRUZ BAY,100 VESTER GADE,ST JOHN,VI,00830,9998,,V17303,P
SOUTHERN,4G,PUERTO RICO,006,00831,CRUZ BAY,100 VESTER GADE,ST JOHN,VI,00830,9998,P,V17303,P
SOUTHERN,4G,PUERTO RICO,006,00840,FREDERIKSTED,1 MARS HL,FREDERIKSTED,VI,00840,9998,,V17305,P
SOUTHERN,4G,PUERTO RICO,006,00841,FREDERIKSTED,1 MARS HL,FREDERIKSTED,VI,00840,9998,P,V17305,P
SOUTHERN,4G,PUERTO RICO,006,00850,KINGSHILL,2 EST LA REINE,KINGSHILL,VI,00850,9998,,V17306,P
SOUTHERN,4G,PUERTO RICO,006,00851,KINGSHILL,2 EST LA REINE,KINGSHILL,VI,00850,9998,P,V17306,P
