area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,ME-NH-VT,040,05001,WHITE RIVER JUNCTION,195 SYKES MOUNTAIN AVE,WHITE RIVER JUNCTION,VT,05001,9998,,V27271,P
ATLANTIC,4B,ME-NH-VT,040,05001,LYMAN DPOBU,27 S MAIN ST,WHITE RIVER JUNCTION,VT,05001,9995,,016733,6
ATLANTIC,4B,ME-NH-VT,040,05030,ASCUTNEY,5159 ROUTE 5,ASCUTNEY,VT,05030,9998,P,V26009,P
ATLANTIC,4B,ME-NH-VT,040,05031,BARNARD,6430 STAGE RD UNIT 1,BARNARD,VT,05031,9998,P,V26016,P
ATLANTIC,4B,ME-NH-VT,040,05032,BETHEL,34 N MAIN ST,BETHEL,VT,05032,9998,,V26062,P
ATLANTIC,4B,ME-NH-VT,040,05033,BRADFORD,41 BARTON ST,BRADFORD,VT,05033,9998,,V26080,P
ATLANTIC,4B,ME-NH-VT,040,05034,BRIDGEWATER,102 MILL RD,BRIDGEWATER,VT,05034,9998,,V26094,P
ATLANTIC,4B,ME-NH-VT,040,05035,BRIDGEWATER CORNERS,39 VT ROUTE 100A,BRIDGEWATER CORNERS,VT,05035,9998,,V26096,P
ATLANTIC,4B,ME-NH-VT,040,05036,BROOKFIELD,1870 VT ROUTE 65,BROOKFIELD,VT,05036,9998,,V26110,P
ATLANTIC,4B,ME-NH-VT,040,05037,BROWNSVILLE,1269 ROUTE 44,BROWNSVILLE,VT,05037,9998,,V26121,P
ATLANTIC,4B,ME-NH-VT,040,05038,CHELSEA,298 VT RTE 110,CHELSEA,VT,05038,9998,,V26166,P
ATLANTIC,4B,ME-NH-VT,040,05039,CORINTH,1776 CENTER RD,CORINTH,VT,05039,9998,,V26198,P
ATLANTIC,4B,ME-NH-VT,040,05040,EAST CORINTH,749 VILLAGE RD,EAST CORINTH,VT,05040,9998,,V26286,P
ATLANTIC,4B,ME-NH-VT,040,05041,EAST RANDOLPH,100 VT ROUTE 14 S,EAST RANDOLPH,VT,05041,9998,,V26321,P
ATLANTIC,4B,ME-NH-VT,040,05042,EAST RYEGATE,57 PAPERMILL RD,EAST RYEGATE,VT,05042,9998,,V26324,P
ATLANTIC,4B,ME-NH-VT,040,05043,EAST THETFORD,2969 ROUTE 5,EAST THETFORD,VT,05043,9998,,V26329,P
ATLANTIC,4B,ME-NH-VT,040,05045,FAIRLEE,21 SCHOOL ST,FAIRLEE,VT,05045,9998,,V26366,P
ATLANTIC,4B,ME-NH-VT,040,05046,GROTON,1236 SCOTT HWY,GROTON,VT,05046,9998,,V26450,P
ATLANTIC,4B,ME-NH-VT,040,05047,HARTFORD,1238 MAPLE ST,HARTFORD,VT,05047,9998,P,V26467,P
ATLANTIC,4B,ME-NH-VT,040,05048,HARTLAND,159 US ROUTE 5,HARTLAND,VT,05048,9998,,V26469,P
ATLANTIC,4B,ME-NH-VT,040,05049,HARTLAND,159 US ROUTE 5,HARTLAND,VT,05048,9998,P,V26469,P
ATLANTIC,4B,ME-NH-VT,040,05050,MC INDOE FALLS,37 ACADEMY LN,MC INDOE FALLS,VT,05050,9998,P,V26650,P
ATLANTIC,4B,ME-NH-VT,040,05051,NEWBURY,4982 MAIN ST N,NEWBURY,VT,05051,9998,,V26740,P
ATLANTIC,4B,ME-NH-VT,040,05052,NORTH HARTLAND,619 US ROUTE 5,NORTH HARTLAND,VT,05052,9998,,V26783,P
ATLANTIC,4B,ME-NH-VT,040,05053,NORTH POMFRET,7868 POMFRET RD,NORTH POMFRET,VT,05053,9998,,V26791,P
ATLANTIC,4B,ME-NH-VT,040,05054,NORTH THETFORD,5378 RTE 5,NORTH THETFORD,VT,05054,9998,P,V26800,P
ATLANTIC,4B,ME-NH-VT,040,05055,NORWICH,293 MAIN ST,NORWICH,VT,05055,9344,,V26814,P
ATLANTIC,4B,ME-NH-VT,040,05055,WILDER,80 DEPOT ST,WILDER,VT,05088,9998,,V27278,P
ATLANTIC,4B,ME-NH-VT,040,05056,PLYMOUTH,236 COOLIDGE MEMORIAL RD,PLYMOUTH,VT,05056,9998,,V26861,P
ATLANTIC,4B,ME-NH-VT,040,05058,POST MILLS,7788 VT ROUTE 113,POST MILLS,VT,05058,9998,,V26869,P
ATLANTIC,4B,ME-NH-VT,040,05059,QUECHEE,91 VILLAGE GREEN CIR,QUECHEE,VT,05059,9998,P,V26886,P
ATLANTIC,4B,ME-NH-VT,040,05060,RANDOLPH,9 SALISBURY ST,RANDOLPH,VT,05060,9998,,V26890,P
ATLANTIC,4B,ME-NH-VT,040,05061,RANDOLPH,9 SALISBURY ST,RANDOLPH,VT,05060,9998,,V26890,P
ATLANTIC,4B,ME-NH-VT,040,05061,RANDOLPH CENTER,2952 VT ROUTE 66,RANDOLPH CENTER,VT,05061,9998,,V26891,P
ATLANTIC,4B,ME-NH-VT,040,05062,READING,799 ROUTE 106,READING,VT,05062,9998,,V26895,P
ATLANTIC,4B,ME-NH-VT,040,05065,SHARON,5094 ROUTE 14,SHARON,VT,05065,9998,,V26976,P
ATLANTIC,4B,ME-NH-VT,040,05067,HARTFORD,1238 MAPLE ST,HARTFORD,VT,05047,9998,,V26467,P
ATLANTIC,4B,ME-NH-VT,040,05067,SOUTH POMFRET,2035 POMFRET RD UNIT B,SOUTH POMFRET,VT,05067,9998,,V27040,P
ATLANTIC,4B,ME-NH-VT,040,05068,SOUTH ROYALTON,239 CHELSEA ST,SOUTH ROYALTON,VT,05068,9998,,V27046,P
ATLANTIC,4B,ME-NH-VT,040,05069,SOUTH RYEGATE,2544 SCOTT HWY,SOUTH RYEGATE,VT,05069,9998,,V27047,P
ATLANTIC,4B,ME-NH-VT,040,05070,SOUTH STRAFFORD,216 VT RTE 132,SOUTH STRAFFORD,VT,05070,9998,,V27050,P
ATLANTIC,4B,ME-NH-VT,040,05071,SOUTH WOODSTOCK,4800 SOUTH RD,SOUTH WOODSTOCK,VT,05071,9998,,V27060,P
ATLANTIC,4B,ME-NH-VT,040,05072,STRAFFORD,1 BROOK RD,STRAFFORD,VT,05072,9998,,V27090,P
ATLANTIC,4B,ME-NH-VT,040,05073,TAFTSVILLE,33 HAPPY VALLEY RD,TAFTSVILLE,VT,05073,9998,,V27106,P
ATLANTIC,4B,ME-NH-VT,040,05074,THETFORD,2734 RTE 113,THETFORD,VT,05074,9998,P,V27116,P
ATLANTIC,4B,ME-NH-VT,040,05075,THETFORD,2734 RTE 113,THETFORD,VT,05074,9998,,V27116,P
ATLANTIC,4B,ME-NH-VT,040,05075,THETFORD CENTER CARRIERS,2734 RTE 113,THETFORD,VT,05074,9997,,021403,Z
ATLANTIC,4B,ME-NH-VT,040,05076,TOPSHAM DPOBU,365 TOPSHAM CORINTH RD,TOPSHAM,VT,05076,9801,,021795,6
ATLANTIC,4B,ME-NH-VT,040,05077,TUNBRIDGE,292 VT ROUTE 110,TUNBRIDGE,VT,05077,9998,,V27128,P
ATLANTIC,4B,ME-NH-VT,040,05079,VERSHIRE,6319 VT ROUTE 113,VERSHIRE,VT,05079,9998,,V27144,P
ATLANTIC,4B,ME-NH-VT,040,05081,WELLS RIVER,31 MAIN ST,WELLS RIVER,VT,05081,9998,,V27203,P
ATLANTIC,4B,ME-NH-VT,040,05083,THETFORD,2734 RTE 113,THETFORD,VT,05074,9998,,V27116,P
ATLANTIC,4B,ME-NH-VT,040,05084,HARTFORD,1238 MAPLE ST,HARTFORD,VT,05047,9998,,V26467,P
ATLANTIC,4B,ME-NH-VT,040,05085,WEST NEWBURY,3060 SNAKE RD,WEST NEWBURY,VT,05085,9998,P,V27240,P
ATLANTIC,4B,ME-NH-VT,040,05086,WEST TOPSHAM,7 BATTEN RD,WEST TOPSHAM,VT,05086,9998,,V27249,P
ATLANTIC,4B,ME-NH-VT,040,05088,WILDER,80 DEPOT ST,WILDER,VT,05088,9998,P,V27278,P
ATLANTIC,4B,ME-NH-VT,040,05089,WINDSOR,57 MAIN ST,WINDSOR,VT,05089,9998,,V27288,P
ATLANTIC,4B,ME-NH-VT,040,05091,WOODSTOCK,22 CENTRAL ST,WOODSTOCK,VT,05091,9998,,V27303,P
ATLANTIC,4B,ME-NH-VT,040,05101,BELLOWS FALLS,7 BRIDGE ST,BELLOWS FALLS,VT,05101,9998,,V26041,P
ATLANTIC,4B,ME-NH-VT,040,05141,SAXTONS RIVER,39 MAIN ST,SAXTONS RIVER,VT,05154,9998,,V26967,P
ATLANTIC,4B,ME-NH-VT,040,05142,CAVENDISH,2025 MAIN ST,CAVENDISH,VT,05142,9998,,V26156,P
ATLANTIC,4B,ME-NH-VT,040,05143,CHESTER,203 S MAIN ST,CHESTER,VT,05143,9998,,V26167,P
ATLANTIC,4B,ME-NH-VT,040,05146,GRAFTON,115 MAIN ST,GRAFTON,VT,05146,9998,,V26426,P
ATLANTIC,4B,ME-NH-VT,040,05148,LONDONDERRY,5690 VT ROUTE 100,LONDONDERRY,VT,05148,9997,,V26601,P
ATLANTIC,4B,ME-NH-VT,040,05149,LUDLOW,57 POND ST STE 8,LUDLOW,VT,05149,9998,,V26611,P
ATLANTIC,4B,ME-NH-VT,040,05150,NORTH SPRINGFIELD,365 GIDDINGS ST,NORTH SPRINGFIELD,VT,05150,9998,,V26799,P
ATLANTIC,4B,ME-NH-VT,040,05151,PERKINSVILLE,7290 VT ROUTE 131,PERKINSVILLE,VT,05151,9998,,V26843,P
ATLANTIC,4B,ME-NH-VT,040,05152,PERU,311 MAIN ST,PERU,VT,05152,9998,,V26846,P
ATLANTIC,4B,ME-NH-VT,040,05153,PROCTORSVILLE,7 DEPOT ST,PROCTORSVILLE,VT,05153,9998,,V26879,P
ATLANTIC,4B,ME-NH-VT,040,05154,SAXTONS RIVER,39 MAIN ST,SAXTONS RIVER,VT,05154,9998,,V26967,P
ATLANTIC,4B,ME-NH-VT,040,05155,LONDONDERRY,5690 VT ROUTE 100,LONDONDERRY,VT,05148,9997,,V26601,P
ATLANTIC,4B,ME-NH-VT,040,05155,SOUTH LONDONDERRY CARRIERS,5690 VT ROUTE 100,LONDONDERRY,VT,05148,9996,,021773,Z
ATLANTIC,4B,ME-NH-VT,040,05156,SPRINGFIELD,132 MAIN ST,SPRINGFIELD,VT,05156,9998,,V27064,P
ATLANTIC,4B,ME-NH-VT,040,05158,WESTMINSTER,3658 US ROUTE 5,WESTMINSTER,VT,05158,9998,,V27260,P
ATLANTIC,4B,ME-NH-VT,040,05159,WESTMINSTER STATION,5187 US ROUTE 5,WESTMINSTER STATION,VT,05159,9998,P,V27261,P
ATLANTIC,4B,ME-NH-VT,040,05161,WESTON,664 MAIN ST,WESTON,VT,05161,9998,,V27265,P
ATLANTIC,4B,ME-NH-VT,040,05201,BENNINGTON,108 ELM ST,BENNINGTON,VT,05201,9998,,V26052,P
ATLANTIC,4B,ME-NH-VT,040,05250,ARLINGTON,3575 VT ROUTE 7A,ARLINGTON,VT,05250,9998,,V26004,P
ATLANTIC,4B,ME-NH-VT,040,05250,MANCHESTER CENTER,3452 RICHVILLE RD,MANCHESTER CENTER,VT,05255,9998,,V26635,P
ATLANTIC,4B,ME-NH-VT,040,05251,DORSET,3309 ROUTE 30,DORSET,VT,05251,9998,,V26226,P
ATLANTIC,4B,ME-NH-VT,040,05251,MANCHESTER CENTER,3452 RICHVILLE RD,MANCHESTER CENTER,VT,05255,9998,,V26635,P
ATLANTIC,4B,ME-NH-VT,040,05252,EAST ARLINGTON,243 OLD MILL RD STE 1,EAST ARLINGTON,VT,05252,9998,,V26269,P
ATLANTIC,4B,ME-NH-VT,040,05253,EAST DORSET,35 MAD TOM RD,EAST DORSET,VT,05253,9998,,V26288,P
ATLANTIC,4B,ME-NH-VT,040,05253,MANCHESTER CENTER,3452 RICHVILLE RD,MANCHESTER CENTER,VT,05255,9998,,V26635,P
ATLANTIC,4B,ME-NH-VT,040,05254,MANCHESTER,300 SEMINARY AVE,MANCHESTER,VT,05254,9998,P,V26633,P
ATLANTIC,4B,ME-NH-VT,040,05255,MANCHESTER CENTER,3452 RICHVILLE RD,MANCHESTER CENTER,VT,05255,9998,,V26635,P
ATLANTIC,4B,ME-NH-VT,040,05257,BENNINGTON,108 ELM ST,BENNINGTON,VT,05201,9998,,V26052,P
