area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,ID-MT-OR,970,83822,NEWPORT,100 N WASHINGTON AVE,NEWPORT,WA,99156,9998,,Z17187,P
WESTPAC,4E,WASHINGTON,980,83824,TEKOA,101 S CROSBY ST,TEKOA,WA,99033,9998,,Z17608,P
WESTPAC,4E,WASHINGTON,980,83870,TEKOA,101 S CROSBY ST,TEKOA,WA,99033,9998,,Z17608,P
WESTPAC,4E,WASHINGTON,980,98001,AUBURN,11 3RD ST NW,AUBURN,WA,98002,9998,,Z16461,P
WESTPAC,4E,WASHINGTON,980,98002,AUBURN,11 3RD ST NW,AUBURN,WA,98002,9998,,Z16461,P
WESTPAC,4E,WASHINGTON,980,98003,TWIN LAKES AUBURN,1815 SW CAMPUS DR,FEDERAL WAY,WA,98023,9998,,Z16462,S
WESTPAC,4E,WASHINGTON,980,98004,BELLEVUE WAY CARRIER ANNEX,1171 BELLEVUE WAY NE,BELLEVUE,WA,98004,4292,,018223,4
WESTPAC,4E,WASHINGTON,980,98005,BELLEVUE CARRIER ANNEX,13400 SE 30TH ST,BELLEVUE,WA,98005,4406,,014596,4
WESTPAC,4E,WASHINGTON,980,98006,BELLEVUE CARRIER ANNEX,13400 SE 30TH ST,BELLEVUE,WA,98005,4406,,014596,4
WESTPAC,4E,WASHINGTON,980,98007,CROSSROADS,15731 NE 8TH ST,BELLEVUE,WA,98008,9998,,Z16662,S
WESTPAC,4E,WASHINGTON,980,98007,MIDLAKES,12400 SE 38TH ST,BELLEVUE,WA,98006,9899,,015713,S
WESTPAC,4E,WASHINGTON,980,98008,CROSSROADS,15731 NE 8TH ST,BELLEVUE,WA,98008,9998,,Z16662,S
WESTPAC,4E,WASHINGTON,980,98009,BELLEVUE,12224 NE BEL RED RD,BELLEVUE,WA,98005,9997,P,Z16493,P
WESTPAC,4E,WASHINGTON,980,98010,BLACK DIAMOND,25228 BAKER ST,BLACK DIAMOND,WA,98010,9799,,Z16507,P
WESTPAC,4E,WASHINGTON,980,98010,RAVENSDALE,27200 272ND AVE SE,RAVENSDALE,WA,98051,8101,,Z17349,P
WESTPAC,4E,WASHINGTON,980,98011,BOTHELL,10500 BEARDSLEE BLVD,BOTHELL,WA,98011,9998,,Z16521,P
WESTPAC,4E,WASHINGTON,980,98012,EVERETT WA S&DC,8120 HARDESON RD,EVERETT,WA,98203,9995,,020712,4
WESTPAC,4E,WASHINGTON,980,98013,VASHON,10005 SW 178TH ST,VASHON,WA,98070,5299,P,Z17671,P
WESTPAC,4E,WASHINGTON,980,98014,CARNATION,4440 MCKINLEY AVE,CARNATION,WA,98014,8799,,Z16568,P
WESTPAC,4E,WASHINGTON,980,98015,MIDLAKES,12400 SE 38TH ST,BELLEVUE,WA,98006,9899,P,015713,S
WESTPAC,4E,WASHINGTON,980,98019,DUVALL,26400 NE VALLEY ST,DUVALL,WA,98019,8499,,Z16711,P
WESTPAC,4E,WASHINGTON,980,98020,EDMONDS,130 2ND AVE N,EDMONDS,WA,98020,9998,,Z16735,P
WESTPAC,4E,WASHINGTON,980,98020,PERRINVILLE,7601 OLYMPIC VIEW DR,EDMONDS,WA,98026,9998,,Z17282,4
WESTPAC,4E,WASHINGTON,980,98021,EVERETT WA S&DC,8120 HARDESON RD,EVERETT,WA,98203,9995,,020712,4
WESTPAC,4E,WASHINGTON,980,98022,ENUMCLAW,1742 COLE ST,ENUMCLAW,WA,98022,9998,,Z16755,P
WESTPAC,4E,WASHINGTON,980,98022,ENUMCLAW CARRIER ANNEX,1005 WASHINGTON AVE,ENUMCLAW,WA,98022,9997,,000496,4
WESTPAC,4E,WASHINGTON,980,98023,TWIN LAKES AUBURN,1815 SW CAMPUS DR,FEDERAL WAY,WA,98023,9998,,Z16462,S
