area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
CENTRAL,4J,WISCONSIN,530,53001,ADELL,611 MAINE AVE,ADELL,WI,53001,9800,,Y16880,P
CENTRAL,4J,WISCONSIN,530,53002,ALLENTON,330 1ST ST,ALLENTON,WI,53002,9800,,Y16889,P
CENTRAL,4J,WISCONSIN,530,53002,WEST BEND,607 ELM ST,WEST BEND,WI,53095,9998,,Y18288,P
CENTRAL,4J,WISCONSIN,530,53003,ASHIPPUN,N546 STATE ROAD 67,ASHIPPUN,WI,53003,9800,P,Y16922,P
CENTRAL,4J,WISCONSIN,530,53004,BELGIUM,543 MAIN ST,BELGIUM,WI,53004,9998,,Y16975,P
CENTRAL,4J,WISCONSIN,530,53005,BROOKFIELD,17345 CIVIC DR,BROOKFIELD,WI,53045,9998,,Y17034,P
CENTRAL,4J,WISCONSIN,530,53006,BROWNSVILLE,860 MAIN ST,BROWNSVILLE,WI,53006,1439,,Y17040,P
CENTRAL,4J,WISCONSIN,530,53006,LOMIRA,827 RAILROAD AVE,LOMIRA,WI,53048,9800,,Y17588,P
CENTRAL,4J,WISCONSIN,530,53007,BROOKFIELD,17345 CIVIC DR,BROOKFIELD,WI,53045,9998,,Y17034,P
CENTRAL,4J,WISCONSIN,530,53007,BUTLER,12420 W HAMPTON AVE,BUTLER,WI,53007,9998,,Y17051,P
CENTRAL,4J,WISCONSIN,530,53008,BROOKFIELD,17345 CIVIC DR,BROOKFIELD,WI,53045,9998,P,Y17034,P
CENTRAL,4J,WISCONSIN,530,53010,CAMPBELLSPORT,324 N HELENA ST,CAMPBELLSPORT,WI,53010,9800,,Y17066,P
CENTRAL,4J,WISCONSIN,530,53011,CASCADE,205 LAKE ST,CASCADE,WI,53011,1602,,Y17075,P
CENTRAL,4J,WISCONSIN,530,53012,CEDARBURG,W63N605 HANOVER AVE,CEDARBURG,WI,53012,9998,,Y17091,P
CENTRAL,4J,WISCONSIN,530,53013,CEDAR GROVE,103 W WISCONSIN AVE,CEDAR GROVE,WI,53013,1338,,Y17089,P
CENTRAL,4J,WISCONSIN,530,53013,OOSTBURG,1508 CENTER AVE,OOSTBURG,WI,53070,9998,,Y17788,P
CENTRAL,4J,WISCONSIN,530,53014,CHILTON,57 E MAIN ST,CHILTON,WI,53014,9998,,Y17103,P
CENTRAL,4J,WISCONSIN,530,53015,CLEVELAND,1029 HEMLOCK ST,CLEVELAND,WI,53015,1499,,Y17121,P
CENTRAL,4J,WISCONSIN,530,53016,CLYMAN,900 MAIN ST,CLYMAN,WI,53016,9800,P,Y17126,P
CENTRAL,4J,WISCONSIN,530,53017,COLGATE,3392 COUNTY LINE RD,COLGATE,WI,53017,9998,,Y17134,P
CENTRAL,4J,WISCONSIN,530,53017,GERMANTOWN,W156N11301 PILGRIM RD,GERMANTOWN,WI,53022,9998,,Y17342,P
CENTRAL,4J,WISCONSIN,530,53018,DELAFIELD,925 GENESEE ST,DELAFIELD,WI,53018,9998,,Y17190,P
CENTRAL,4J,WISCONSIN,530,53019,EDEN,117 SHERIDAN ST,EDEN,WI,53019,9800,,Y17234,P
CENTRAL,4J,WISCONSIN,530,53019,OAKFIELD,120 BOOTH ST,OAKFIELD,WI,53065,9998,,Y17768,P
CENTRAL,4J,WISCONSIN,530,53020,ELKHART LAKE,146 E RHINE ST,ELKHART LAKE,WI,53020,2131,,Y17253,P
CENTRAL,4J,WISCONSIN,530,53020,KIEL,220 FREMONT ST,KIEL,WI,53042,9998,,Y17512,P
CENTRAL,4J,WISCONSIN,530,53021,FREDONIA,207 REGAL DR,FREDONIA,WI,53021,9998,,Y17322,P
CENTRAL,4J,WISCONSIN,530,53022,GERMANTOWN,W156N11301 PILGRIM RD,GERMANTOWN,WI,53022,9998,,Y17342,P
CENTRAL,4J,WISCONSIN,530,53023,GLENBEULAH,246 W MAIN ST,GLENBEULAH,WI,53023,1153,,Y17352,P
CENTRAL,4J,WISCONSIN,530,53024,GRAFTON,1817 HIGHLAND DR,GRAFTON,WI,53024,9998,,Y17364,P
