area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
ATLANTIC,4B,VIRGINIA,230,24605,BLUEFIELD,3010 E CUMBERLAND RD,BLUEFIELD,WV,24701,9998,,X28198,P
CENTRAL,4J,KY-WV,400,24701,BLUEFIELD,3010 E CUMBERLAND RD,BLUEFIELD,WV,24701,9998,,X28198,P
CENTRAL,4J,KY-WV,400,24701,FEDERAL,601 FEDERAL ST BSMT,BLUEFIELD,WV,24701,9994,,X28484,S
CENTRAL,4J,KY-WV,400,24712,ATHENS,203 VERMILLION ST,ATHENS,WV,24712,9998,,X28121,P
CENTRAL,4J,KY-WV,400,24714,LASHMEET,4226 MATOAKA RD,LASHMEET,WV,24733,9998,,X28750,P
ATLANTIC,4B,VIRGINIA,230,24715,BRAMWELL,137 MAIN ST,BRAMWELL,WV,24715,9998,,X28216,P
CENTRAL,4J,KY-WV,400,24716,BUD,3714 W VA RT 10 HERNDON RD,BUD,WV,24716,9998,P,X28240,P
CENTRAL,4J,KY-WV,400,24719,COVEL,252 GOONEY OTTER HOLLOW RD,COVEL,WV,24719,9998,P,X28352,P
CENTRAL,4J,KY-WV,400,24726,BUD,3714 W VA RT 10 HERNDON RD,BUD,WV,24716,9998,,X28240,P
CENTRAL,4J,KY-WV,400,24729,MATOAKA,103 MAIN ST,MATOAKA,WV,24736,9998,P,X28846,P
CENTRAL,4J,KY-WV,400,24731,KEGLEY,3376 BECKLEY RD,KEGLEY,WV,24731,9998,,X28713,P
CENTRAL,4J,KY-WV,400,24731,PRINCETON,1000 MERCER ST,PRINCETON,WV,24740,9998,,X29057,P
CENTRAL,4J,KY-WV,400,24732,KELLYSVILLE,4602 KELLYSVILLE RD,KELLYSVILLE,WV,24732,9998,P,X28714,P
CENTRAL,4J,KY-WV,400,24733,LASHMEET,4226 MATOAKA RD,LASHMEET,WV,24733,9998,,X28750,P
CENTRAL,4J,KY-WV,400,24736,MATOAKA,103 MAIN ST,MATOAKA,WV,24736,9998,,X28846,P
CENTRAL,4J,KY-WV,400,24737,MONTCALM,5427 SIMMONS RIVER RD,MONTCALM,WV,24737,9998,P,X28894,P
CENTRAL,4J,KY-WV,400,24738,NEMOURS,5609 FALLS MILLS RD,NEMOURS,WV,24738,9998,P,X28934,P
CENTRAL,4J,KY-WV,400,24739,PRINCETON,1000 MERCER ST,PRINCETON,WV,24740,9998,,X29057,P
CENTRAL,4J,KY-WV,400,24740,PRINCETON,1000 MERCER ST,PRINCETON,WV,24740,9998,,X29057,P
CENTRAL,4J,KY-WV,400,24747,ROCK,2757 ROCK RD,ROCK,WV,24747,9998,,X29120,P
CENTRAL,4J,KY-WV,400,24801,WELCH,9 MCDOWELL ST,WELCH,WV,24801,9998,,X29350,P
CENTRAL,4J,KY-WV,400,24808,ANAWALT,7 PLUM ST,ANAWALT,WV,24808,9998,,X28098,P
CENTRAL,4J,KY-WV,400,24811,AVONDALE,7060 MOUNTAINEER HWY,AVONDALE,WV,24811,9998,P,X28128,P
CENTRAL,4J,KY-WV,400,24813,RAYSAL,8672 MARSHALL HWY,RAYSAL,WV,24879,9998,P,X29085,P
ATLANTIC,4B,VIRGINIA,230,24815,BERWIND,2115 RIFT BERWIND RD,BERWIND,WV,24815,9998,,X28171,P
CENTRAL,4J,KY-WV,400,24816,BIG SANDY,62 ORA AVE,BIG SANDY,WV,24816,9998,P,X28182,P
ATLANTIC,4B,VIRGINIA,230,24817,BRADSHAW,58 MOUNTAINEER HWY,BRADSHAW,WV,24817,9998,P,X28215,P
CENTRAL,4J,KY-WV,400,24818,BRENTON,8079 R D BAILEY HWY,BRENTON,WV,24818,9998,,X28221,P
CENTRAL,4J,KY-WV,400,24822,CLEAR FORK,5510 CLEAR FORK VALLEY RD,CLEAR FORK,WV,24822,9998,,X28314,P
CENTRAL,4J,KY-WV,400,24823,COAL MOUNTAIN,8875 COAL MOUNTAIN RD,COAL MOUNTAIN,WV,24823,9997,,X28326,P
ATLANTIC,4B,VIRGINIA,230,24826,CUCUMBER,7836 ROCKET BOYS DR,CUCUMBER,WV,24826,9998,P,X28372,P
CENTRAL,4J,KY-WV,400,24827,CYCLONE,5449 COUNTRY RD,CYCLONE,WV,24827,9998,,X28377,P
CENTRAL,4J,KY-WV,400,24828,DAVY,83 DAVY SCHOOL HOUSE RD,DAVY,WV,24828,9998,,X28386,P
CENTRAL,4J,KY-WV,400,24829,NORTHFORK,33955 COAL HERITAGE RD,NORTHFORK,WV,24868,9998,,X28967,P
CENTRAL,4J,KY-WV,400,24830,ELBERT,2619 MIRACLE MOUNTAIN RD,ELBERT,WV,24830,9998,,X28443,P
CENTRAL,4J,KY-WV,400,24831,NORTHFORK,33955 COAL HERITAGE RD,NORTHFORK,WV,24868,9998,,X28967,P
CENTRAL,4J,KY-WV,400,24834,OCEANA,1524 COOK PKWY,OCEANA,WV,24870,9998,P,X28973,P
CENTRAL,4J,KY-WV,400,24836,GARY,5798 BLACK DIAMOND HWY,GARY,WV,24836,9998,P,X28530,P
CENTRAL,4J,KY-WV,400,24839,HANOVER,5541 INTERSTATE HWY,HANOVER,WV,24839,9998,,X28605,P
CENTRAL,4J,KY-WV,400,24843,RODERFIELD,12790 COAL HERITAGE RD,RODERFIELD,WV,24881,9998,P,X29129,P
CENTRAL,4J,KY-WV,400,24844,RODERFIELD,12790 COAL HERITAGE RD,RODERFIELD,WV,24881,9998,,X29129,P
CENTRAL,4J,KY-WV,400,24845,IKES FORK,8384 INTERSTATE HWY,IKES FORK,WV,24845,9998,P,X28668,P
CENTRAL,4J,KY-WV,400,24846,PANTHER,534 GREENBRIER MOUNTAIN RD,PANTHER,WV,24872,9998,,X28997,P
CENTRAL,4J,KY-WV,400,24847,ITMANN,11312 RIVER RD,ITMANN,WV,24847,9998,P,X28682,P
CENTRAL,4J,KY-WV,400,24848,JENKINJONES,23 EIGHT HOLLOW RD,JENKINJONES,WV,24848,9998,P,X28690,P
CENTRAL,4J,KY-WV,400,24849,JESSE,71 POPLAR GAP RD,JESSE,WV,24849,9998,,X28691,P
CENTRAL,4J,KY-WV,400,24849,PINEVILLE,145 MAIN AVE,PINEVILLE,WV,24874,9998,,X29030,P
ATLANTIC,4B,VIRGINIA,230,24850,JOLO,12499 MARSHALL HWY,JOLO,WV,24850,9998,,X28696,P
CENTRAL,4J,KY-WV,400,24851,JUSTICE,2937 RT 52,JUSTICE,WV,24851,9998,P,X28705,P
CENTRAL,4J,KY-WV,400,24853,KIMBALL,28499 COAL HERITAGE RD,KIMBALL,WV,24853,9998,P,X28728,P
CENTRAL,4J,KY-WV,400,24854,CPU KOPPERSTON UNIT,5657 KOPPERSTON ST,KOPPERSTON,WV,24854,5000,P,006393,5
CENTRAL,4J,KY-WV,400,24857,OCEANA,1524 COOK PKWY,OCEANA,WV,24870,9998,P,X28973,P
