area_name,area_code,district_name,district_no,delivery_zipcode,locale_name,physical_delivery_address,physical_city,physical_state,physical_zip,physical_zip4,zip_class_code,locale_key,locale_type
WESTPAC,4E,CO-WY,800,82001,CHEYENNE,4800 CONVERSE AVE,CHEYENNE,WY,82009,9998,,W1B337,P
WESTPAC,4E,CO-WY,800,82003,AIRPORT,124 E 8TH AVE,CHEYENNE,WY,82001,9981,P,W1B294,S
WESTPAC,4E,CO-WY,800,82003,CHEYENNE,4800 CONVERSE AVE,CHEYENNE,WY,82009,9998,P,W1B337,P
WESTPAC,4E,CO-WY,800,82003,FE WARREN AFB,6109 RANDALL AVE,FE WARREN AFB,WY,82001,9983,P,W1B371,B
WESTPAC,4E,CO-WY,800,82003,CAPITOL STA,2120 CAPITOL AVE STE 1108,CHEYENNE,WY,82001,9996,P,W1B700,S
WESTPAC,4E,CO-WY,800,82007,CHEYENNE,4800 CONVERSE AVE,CHEYENNE,WY,82009,9998,,W1B337,P
WESTPAC,4E,CO-WY,800,82009,CHEYENNE,4800 CONVERSE AVE,CHEYENNE,WY,82009,9998,,W1B337,P
WESTPAC,4E,CO-WY,800,82050,ALBIN,221 CHEYENNE AVE,ALBIN,WY,82050,9901,,W1B296,P
WESTPAC,4E,CO-WY,800,82051,LARAMIE ANNEX,715 PLAZA LN,LARAMIE,WY,82070,9996,,001375,4
WESTPAC,4E,CO-WY,800,82053,BURNS,102 MAIN ST,BURNS,WY,82053,9903,,W1B326,P
WESTPAC,4E,CO-WY,800,82054,BURNS,102 MAIN ST,BURNS,WY,82053,9903,,W1B326,P
WESTPAC,4E,CO-WY,800,82054,CARPENTER,322 1ST ST,CARPENTER,WY,82054,9610,,W1B332,P
WESTPAC,4E,CO-WY,800,82055,CENTENNIAL,1 PINE ST,CENTENNIAL,WY,82055,9900,P,W1B335,P
WESTPAC,4E,CO-WY,800,82058,ROCK RIVER,104 S 5TH ST,ROCK RIVER,WY,82083,9900,,W1B512,P
WESTPAC,4E,CO-WY,800,82060,HILLSDALE,1463 COATES AVE,HILLSDALE,WY,82060,9990,P,W1B408,P
WESTPAC,4E,CO-WY,800,82063,LARAMIE ANNEX,715 PLAZA LN,LARAMIE,WY,82070,9996,,001375,4
WESTPAC,4E,CO-WY,800,82070,LARAMIE ANNEX,715 PLAZA LN,LARAMIE,WY,82070,9996,,001375,4
WESTPAC,4E,CO-WY,800,82072,LARAMIE ANNEX,715 PLAZA LN,LARAMIE,WY,82070,9996,,001375,4
WESTPAC,4E,CO-WY,800,82073,LARAMIE,152 N 5TH ST,LARAMIE,WY,82072,9998,P,W1B434,P
WESTPAC,4E,CO-WY,800,82082,PINE BLUFFS,115 W 4TH ST,PINE BLUFFS,WY,82082,9901,,W1B491,P
WESTPAC,4E,CO-WY,800,82083,ROCK RIVER,104 S 5TH ST,ROCK RIVER,WY,82083,9900,,W1B512,P
WESTPAC,4E,CO-WY,800,82190,CPU CANYON VILLAGE,139 CANYON VLG,YELLOWSTONE NATIONAL PARK,WY,82190,9905,,W1B330,5
WESTPAC,4E,CO-WY,800,82190,CPU GRANT VILLAGE,1000 GRANT VLG,YELLOWSTONE NATIONAL PARK,WY,82190,9904,,W1B393,5
WESTPAC,4E,CO-WY,800,82190,CPU LAKE VILLAGE,1000 LAKE VLG,YELLOWSTONE NATIONAL PARK,WY,82190,9903,,W1B431,5
WESTPAC,4E,CO-WY,800,82190,CPU OLD FAITHFUL,1000 OLD FAITHFUL,YELLOWSTONE NATIONAL PARK,WY,82190,9900,,W1B481,5
WESTPAC,4E,CO-WY,800,82190,YELLOWSTONE NATIONAL PARK,114 ALBRIGHT AVE,YELLOWSTONE NATIONAL PARK,WY,82190,9998,,W1B581,P
WESTPAC,4E,CO-WY,800,82201,WHEATLAND,852 WALNUT ST,WHEATLAND,WY,82201,9998,,W1B570,P
WESTPAC,4E,CO-WY,800,82210,CHUGWATER,237 2ND ST,CHUGWATER,WY,82210,9624,,W1B340,P
WESTPAC,4E,CO-WY,800,82212,FORT LARAMIE,105 E MERRIAM ST,FORT LARAMIE,WY,82212,9900,,W1B376,P
WESTPAC,4E,CO-WY,800,82213,GLENDO,118 N YELLOWSTONE HWY,GLENDO,WY,82213,9901,,W1B389,P
WESTPAC,4E,CO-WY,800,82214,GUERNSEY,101 S WYOMING,GUERNSEY,WY,82214,9901,,W1B399,P
WESTPAC,4E,CO-WY,800,82215,HARTVILLE,135 MAIN ST,HARTVILLE,WY,82215,9901,,W1B404,P
WESTPAC,4E,CO-WY,800,82217,HAWK SPRINGS,114 RAILWAY ST,HAWK SPRINGS,WY,82217,9900,,W1B405,P
WESTPAC,4E,CO-WY,800,82218,HUNTLEY,245 BROADWAY,HUNTLEY,WY,82218,9901,P,W1B413,P
WESTPAC,4E,CO-WY,800,82219,JAY EM,220 AUTUMN ST,JAY EM,WY,82219,9900,,W1B416,P
WESTPAC,4E,CO-WY,800,82221,LAGRANGE,201 5TH AVE,LAGRANGE,WY,82221,9900,,W1B429,P
WESTPAC,4E,CO-WY,800,82222,LANCE CREEK,1805 HIGHWAY 270,LANCE CREEK,WY,82222,9900,,W1B432,P
WESTPAC,4E,CO-WY,800,82223,LINGLE,209 MAIN ST,LINGLE,WY,82223,9901,,W1B439,P
WESTPAC,4E,CO-WY,800,82224,MANVILLE,225 9TH AVE,MANVILLE,WY,82227,9901,,W1B453,P
WESTPAC,4E,CO-WY,800,82225,LUSK,116 W 3RD ST,LUSK,WY,82225,9903,,W1B447,P
WESTPAC,4E,CO-WY,800,82227,MANVILLE,225 9TH AVE,MANVILLE,WY,82227,9901,,W1B453,P
WESTPAC,4E,CO-WY,800,82240,TORRINGTON,2145 MAIN ST,TORRINGTON,WY,82240,9998,,W1B552,P
WESTPAC,4E,CO-WY,800,82243,VETERAN,111 3RD ST,VETERAN,WY,82243,9990,,W1B561,P
WESTPAC,4E,CO-WY,800,82244,YODER,200 MAIN ST,YODER,WY,82244,8800,,W1B582,P
WESTPAC,4E,CO-WY,800,82301,RAWLINS,106 5TH ST,RAWLINS,WY,82301,9998,,W1B502,P
WESTPAC,4E,CO-WY,800,82321,BAGGS,55 S PENLAND ST,BAGGS,WY,82321,9900,,W1B308,P
WESTPAC,4E,CO-WY,800,82322,BAIROIL,503 ANTELOPE DR,BAIROIL,WY,82322,9900,P,W1B309,P
WESTPAC,4E,CO-WY,800,82323,DIXON,207 HIGHWAY 70,DIXON,WY,82323,9900,,W1B355,P
WESTPAC,4E,CO-WY,800,82324,ELK MOUNTAIN,211 BRIDGE ST,ELK MOUNTAIN,WY,82324,9900,P,W1B361,P
WESTPAC,4E,CO-WY,800,82325,ENCAMPMENT,622 MCCAFFREY AVE,ENCAMPMENT,WY,82325,9904,,W1B364,P
WESTPAC,4E,CO-WY,800,82325,RAWLINS,106 5TH ST,RAWLINS,WY,82301,9998,,W1B502,P
WESTPAC,4E,CO-WY,800,82327,HANNA,1001 JADE DR,HANNA,WY,82327,9901,,W1B402,P
WESTPAC,4E,CO-WY,800,82329,MEDICINE BOW,113 CEDAR ST,MEDICINE BOW,WY,82329,8117,,W1B458,P
WESTPAC,4E,CO-WY,800,82331,SARATOGA,105 W MAIN ST,SARATOGA,WY,82331,9990,,W1B521,P
WESTPAC,4E,CO-WY,800,82332,SAVERY,1132 STATE HIGHWAY 70,SAVERY,WY,82332,9997,,W1B522,P
WESTPAC,4E,CO-WY,800,82334,RAWLINS,106 5TH ST,RAWLINS,WY,82301,9998,,W1B502,P
WESTPAC,4E,CO-WY,800,82334,SINCLAIR,100 N 5TH ST,SINCLAIR,WY,82334,9900,,W1B529,P
WESTPAC,4E,CO-WY,800,82335,RAWLINS,106 5TH ST,RAWLINS,WY,82301,9998,P,W1B502,P
WESTPAC,4E,CO-WY,800,82336,WAMSUTTER,302 BROADWAY ST,WAMSUTTER,WY,82336,9902,P,W1B563,P
WESTPAC,4E,CO-WY,800,82401,WORLAND,119 N 7TH ST,WORLAND,WY,82401,9998,,W1B577,P
WESTPAC,4E,CO-WY,800,82410,BASIN,402 W C ST,BASIN,WY,82410,9901,,W1B312,P
WESTPAC,4E,CO-WY,800,82411,BURLINGTON,211 S MAIN ST,BURLINGTON,WY,82411,9998,,W1B325,P
WESTPAC,4E,CO-WY,800,82412,BYRON,120 E MAIN ST,BYRON,WY,82412,9900,P,W1B328,P
WESTPAC,4E,CO-WY,800,82414,CODY,1301 STAMPEDE AVE,CODY,WY,82414,9998,,W1B342,P
WESTPAC,4E,CO-WY,800,82420,COWLEY,71 E MAIN ST,COWLEY,WY,82420,9900,P,W1B346,P
WESTPAC,4E,CO-WY,800,82421,DEAVER,18 CENTRAL AVE,DEAVER,WY,82421,9998,,W1B351,P
WESTPAC,4E,CO-WY,800,82422,EMBLEM,979 US HIGHWAY 20,EMBLEM,WY,82422,9900,P,W1B363,P
WESTPAC,4E,CO-WY,800,82423,FRANNIE,392 ASH ST,FRANNIE,WY,82423,9900,P,W1B380,P
WESTPAC,4E,CO-WY,800,82426,GREYBULL,401 GREYBULL AVE,GREYBULL,WY,82426,2059,,W1B397,P
WESTPAC,4E,CO-WY,800,82428,HYATTVILLE,223 S MAIN ST,HYATTVILLE,WY,82428,9900,,W1B414,P
WESTPAC,4E,CO-WY,800,82431,LOVELL,167 E 3RD ST,LOVELL,WY,82431,9998,,W1B445,P
WESTPAC,4E,CO-WY,800,82432,MANDERSON,193 N SHERMAN AVE,MANDERSON,WY,82432,9901,,W1B451,P
WESTPAC,4E,CO-WY,800,82433,MEETEETSE,1022 PARK AVE,MEETEETSE,WY,82433,9997,,W1B459,P
WESTPAC,4E,CO-WY,800,82434,BASIN,402 W C ST,BASIN,WY,82410,9901,,W1B312,P
WESTPAC,4E,CO-WY,800,82435,POWELL,270 N BENT ST,POWELL,WY,82435,9998,,W1B496,P
WESTPAC,4E,CO-WY,800,82440,RALSTON,680 MAIN ST,RALSTON,WY,82440,9900,P,W1B499,P
WESTPAC,4E,CO-WY,800,82441,SHELL,114 MAIN ST,SHELL,WY,82441,9901,,W1B524,P
WESTPAC,4E,CO-WY,800,82442,TEN SLEEP,115 PINE ST,TEN SLEEP,WY,82442,9901,,W1B546,P
WESTPAC,4E,CO-WY,800,82443,THERMOPOLIS,440 ARAPAHOE ST,THERMOPOLIS,WY,82443,9998,,W1B549,P
WESTPAC,4E,CO-WY,800,82450,WAPITI,4 STREAMSIDE DR,WAPITI,WY,82450,9998,P,W1B564,P
WESTPAC,4E,CO-WY,800,82501,RIVERTON,501 E MAIN ST,RIVERTON,WY,82501,9998,,W1B510,P
WESTPAC,4E,CO-WY,800,82501,RIVERTON ANNEX,1307 W MAIN ST,RIVERTON,WY,82501,9997,,W1C509,4
WESTPAC,4E,CO-WY,800,82512,CROWHEART,8526 US HIGHWAY 26 287,CROWHEART,WY,82512,9901,,W1B348,P
WESTPAC,4E,CO-WY,800,82513,DUBOIS,804 RAMSHORN ST,DUBOIS,WY,82513,9746,,W1B357,P
WESTPAC,4E,CO-WY,800,82514,FORT WASHAKIE,14 N FORK RD,FORT WASHAKIE,WY,82514,9900,,W1B378,P
WESTPAC,4E,CO-WY,800,82515,HUDSON,280 S MAIN ST,HUDSON,WY,82515,9900,P,W1B411,P
WESTPAC,4E,CO-WY,800,82516,KINNEAR,11517 US HIGHWAY 26,KINNEAR,WY,82516,8719,,W1B424,P
WESTPAC,4E,CO-WY,800,82520,LANDER,230 GRANDVIEW DR,LANDER,WY,82520,9998,,W1B433,P
WESTPAC,4E,CO-WY,800,82523,PAVILLION,224 N MAIN ST,PAVILLION,WY,82523,9001,,W1B489,P
